Order,Index,Topic,Argument,Words,Condition_Share,Share,Agreement,Agreement.Contacts,New
1,202,Bør salget af genetisk modificeret mad forbydes?,Genetiske modificerede afgrøder kan bidrage til at reducere verdens sult og ernæringsmæssige mangler,12,1,0,79.18025,17.18835,0
2,62,Hjælper eller skader elektroniske apparater børns udvikling?,"Kedsomhed giver anledning til kreativitet, men med en smartphone keder børn sig aldrig og lærer ikke at være kreative",17,1,0,93.53246,89.31122,0
3,228,Bør brugen af plastik undgås? ,"Plastik bliver sandsynligvis erstattet af noget, der er mindre miljøvenligt. Så det ville ikke give mening at undgå brugen af plastik",16,1,0,88.82879,57.35042,0
4,155,Er moderne teknologi er en ulempe for samfundet?,Teknologisk tilbagestående lande har ingen magt på den globale scene,10,1,1,100.0,50.0,0
5,184,Bør atomkraft erstatte fossile brændstoffer?,Der er bekymring vedrørende sikkerheden i forbindelse med kernekraftreaktorer og potentiel fare for aktørerne,13,1,1,12.00226,98.35673,0
6,280,Bør der ikke være nogen begrænsning for ytringsfriheden?,Ubegrænset ytringsfrihed kan bruges til at sprede hadefulde og/eller skadelige ideologier,13,1,0,99.5628,93.41185,0
7,23,Er mennesker fundamentalt anderledes end andre dyr?,Mennesker har en følelse af selvbevidsthed og individuel identitet,9,1,0,100.0,100.0,0
8,29,Er mennesker fundamentalt anderledes end andre dyr?,"Genetik beviser, at mennesker grundlæggende ligner andre arter",10,1,1,100.0,50.0,0
9,153,Er moderne teknologi er en ulempe for samfundet?,For at undgå en katastrofe bør teknologisk udvkling følge med den hurtige forandring i vores samfund ,17,1,1,89.67304,87.86394,0
10,247,Bør alle stoffer blive legaliseret?,At tage stoffer kan være en vigtig og positiv oplevelse for enkeltpersoner og fællesskaber,13,1,0,50.0,79.66268,0
11,195,Bør sexarbejde være lovligt?,Regeringen har ikke ret til at forbyde en interaktion mellem samtykkende voksne,12,1,0,0.0,27.80175,0
12,230,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,Dyrearter er allerede begyndt at uddø. Udryddelsen af menneskeheden er sandsynligvis det næste,14,1,1,24.90719,24.66598,0
13,49,Skabte et guddommeligt væsen universet?,Videnskaben tilbyder alternative forklaringer på universets oprindelse.,10,1,0,100.0,50.0,0
