Order,Index,Topic,Argument,Words,Condition_Share,Share,Agreement,Agreement.Contacts,New
1,149,Er moderne teknologi er en ulempe for samfundet?,Et samfund bliver sårbart ved at stole for meget på teknologi ,9,1,0,32.26589,33.58043,0
2,199,Bør salget af genetisk modificeret mad forbydes?,"Genetisk modificeret mad udgør en trussel mod sundheden for dem, der indtager det.",11,1,0,33.10242,41.34815,0
3,181,Bør atomkraft erstatte fossile brændstoffer?,Kerneenergi rummer langt større potentiale end fossile brændsler til at udvikle sig gennem teknologiske gennembrud og øget effektivitet,17,1,1,77.91616,75.52609,0
4,288,Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?,Menneskeheden har en lang historie med succesfuldt at tilpasse sig til klimaforandringer,11,1,0,29.03931,43.1407,0
5,152,Er moderne teknologi er en ulempe for samfundet?,"Moderne teknologi udvikler sig hurtigere end vores evne til at forstå, formulere og godkende effektive politikker, der kan beskytte os mod teknologisk skade",21,1,0,61.06619,56.76407,0
6,156,Er moderne teknologi er en ulempe for samfundet?,Mange samfund ville ikke være mulige uden moderne teknologi - især store urbaniserede samfund,14,1,0,67.75838,63.21725,0
7,54,Hjælper eller skader elektroniske apparater børns udvikling?,Elektroniske enheder kan gavne forældre ved at tilbyde dem større kontrol over deres børns udvikling,13,1,0,62.50023,56.88358,0
8,202,Bør salget af genetisk modificeret mad forbydes?,Genetiske modificerede afgrøder kan bidrage til at reducere verdens sult og ernæringsmæssige mangler,12,1,0,82.57679,78.75268,0
9,242,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,Menneskeskabte kulstofemissioner vil sandsynligvis beskytte mennesker mod en anden istid,12,1,0,74.57007,66.08533,0
10,222,Bør brugen af plastik undgås? ,"Plastik bliver eksporteret, hvorfor et nedsat forbrug af plastik vil reducere CO2-emmisionen, der stammer fra transport",13,1,0,53.17897,52.46195,1
11,176,Bør abort betragtes som mord?,At sidestille abort med mord ville få kvinder til at bruge usikre metoder og sætte deres liv i fare,17,1,0,82.9353,73.73354,0
12,49,Skabte et guddommeligt væsen universet?,Videnskaben tilbyder alternative forklaringer på universets oprindelse.,10,1,0,44.93325,47.08431,0
13,138,Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?,Politikere valgt gennem lotteri ville være bedre til deres arbejde,10,1,0,18.28401,20.79358,1
14,217,Er det etisk forkert at spise kød?,At indtage kød er en vigtig del af mange kulturer og religioner,11,1,0,70.38745,64.29278,0
15,151,Er moderne teknologi er en ulempe for samfundet?,Teknolgi forhindrer os i at nyde de nuværende øjeblikke,14,1,0,36.68752,36.44851,0
16,166,Liv vs. valg: Bør abort være lovligt?,"For at opnå kønslig lighed er det fundamentalt, at individer kan kontrollere deres egen reproduktion",15,1,0,93.45159,60.58818,0
17,134,Hjælper eller skader sociale medier menneskelige relationer?,"Det er blevet påvist, at sociale medier kan føre til depression hos individer",9,1,0,60.94669,62.26123,0
18,113,Er stråling fra mobiltelefoner og Wi-fi skadeligt?,Mobiltelefonstråling øger gennemtrængeligheden af blod-hjerne-barrieren,10,1,0,52.82046,56.64457,0
19,230,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,Dyrearter er allerede begyndt at uddø. Udryddelsen af menneskeheden er sandsynligvis det næste,14,1,0,80.06722,70.74596,0
20,173,Bør abort betragtes som mord?,"Da hensigten med abort er døden, bør sådanne procedurer betragtes som mord",11,1,0,6.21417,18.52301,0
21,136,Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?,Politik ville være mere repræsentativt under et lotterisystem,9,1,0,31.66838,35.9705,1
22,26,Er mennesker fundamentalt anderledes end andre dyr?,"Alle dyr er grundlæggende forskellige fra hinanden, og der er intet unikt ved mennesker, der adskiller dem fra dyr",19,1,0,27.00775,25.2152,0
23,158,Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?,"Politikere og politiske partier bør være ansvarlige for at vedtage de love og reguleringer, der er nødvendige for at foretage ændringer i en stor skala",19,1,0,76.48212,78.87219,0
24,62,Hjælper eller skader elektroniske apparater børns udvikling?,"Kedsomhed giver anledning til kreativitet, men med en smartphone keder børn sig aldrig og lærer ikke at være kreative",17,1,0,81.26225,74.92858,0
25,123,Er videnskab lig religion?,Videnskab er yderst dynamisk og konstant i udvikling; religioner er normalt statiske og bevarende,13,1,0,75.7651,76.12361,0
26,162,Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?,"Mennesker, der lever i privilegerede positioner, har et moralsk ansvar for at ændre deres livsstil",13,1,0,74.45056,76.96013,0
27,228,Bør brugen af plastik undgås? ,"Plastik bliver sandsynligvis erstattet af noget, der er mindre miljøvenligt. Så det ville ikke give mening at undgå brugen af plastik",16,1,0,44.33573,46.48679,0
