Timestamp,Corrected.Gaze.X,Corrected.Gaze.Y,Fixation.Start,Fixation.End,Fixation.Duration,Corrected.Fixation.X,Corrected.Fixation.Y
92404,1000,779,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92412,969,784,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92420,984,802,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92429,983,809.5,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92437,989,784,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92445,942.5,766.5,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92454,983.5,792,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92462,998.5,808.5,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92470,965.5,804.5,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92479,995,793,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92487,951,829,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92495,968,807.5,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92504,963,775.5,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92512,997,803.5,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92520,964,799.5,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92529,956,781,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92537,964.5,791.5,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92545,957.5,792,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92554,954.5,800,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92562,950,791,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92570,960,792.5,92141.1842,92574.5346,433.350399999996,978.277408202173,793.23496955713
92579,972,784.5,,,,,
92587,997,633.5,,,,,
92595,1062,547.5,,,,,
92604,1078,496,,,,,
92612,1038.5,500.5,,,,,
92620,1031,486.5,92616.2218,92899.5874,283.365600000005,1033.26850069183,485.39254329949404
92629,1030,493.5,92616.2218,92899.5874,283.365600000005,1033.26850069183,485.39254329949404
92637,1034.5,506,92616.2218,92899.5874,283.365600000005,1033.26850069183,485.39254329949404
92645,1060.5,481,92616.2218,92899.5874,283.365600000005,1033.26850069183,485.39254329949404
92654,1029.5,482.5,92616.2218,92899.5874,283.365600000005,1033.26850069183,485.39254329949404
92662,1033,493,92616.2218,92899.5874,283.365600000005,1033.26850069183,485.39254329949404
92670,1019.5,483,92616.2218,92899.5874,283.365600000005,1033.26850069183,485.39254329949404
