Timestamp,Corrected.Gaze.X,Corrected.Gaze.Y,Fixation.Start,Fixation.End,Fixation.Duration,Corrected.Fixation.X,Corrected.Fixation.Y
108461,912.5,359.5,,,,,
108469,857.5,667,,,,,
108677,1048,,,,,,
108686,942,135.5,,,,,
108694,956,95,,,,,
108702,944.5,63,,,,,
108711,909.5,72.5,,,,,
108719,777.5,270.5,,,,,
108727,904.5,182.5,,,,,
108736,844,265,,,,,
108744,909.5,225,,,,,
108753,902,334.5,,,,,
108761,862.5,254.5,,,,,
108769,862,195,,,,,
108777,879.5,56.5,,,,,
108786,750.5,,,,,,
108794,868,303.5,,,,,
108803,849,325.5,,,,,
108811,908,308.5,,,,,
108819,881.5,319,,,,,
108827,875,261.5,,,,,
108836,709,364,,,,,
108844,852,295,,,,,
108853,903.5,276,,,,,
108861,882,250.5,,,,,
108869,811.5,247,,,,,
108877,851,355,,,,,
108886,881,335,,,,,
108894,771,330.5,,,,,
108902,900,290,,,,,
108911,877,339,,,,,
108919,851,312.5,,,,,
108927,871,332.5,,,,,
108936,842,343.5,,,,,
108944,842,346.5,,,,,
108953,889,280.5,,,,,
108961,942,220.5,,,,,
108969,883,236,,,,,
108977,878.5,339.5,,,,,
108986,966.5,326.5,,,,,
108994,970,270,,,,,
109002,853,284,,,,,
109011,724,350,,,,,
109019,1074,246,,,,,
109027,1023,330,,,,,
109036,853.5,389,,,,,
109044,940,324.5,,,,,
109052,836.5,350.5,,,,,
109061,975.5,331.5,,,,,
109069,1031,268.5,,,,,
109077,1013.5,250.5,,,,,
109086,1000,258,,,,,
109094,1050.5,284.5,,,,,
109102,970,292,,,,,
109111,836,429.5,,,,,
109119,760,413,,,,,
109127,783,370.5,,,,,
109136,995.5,280.5,,,,,
109144,1031.5,249.5,,,,,
109152,1055,218,,,,,
109161,990.5,115,,,,,
109169,956.5,66.5,,,,,
109177,953.5,,,,,,
109186,916,,,,,,
109194,953.5,30.5,,,,,
109203,953.5,,,,,,
109211,900.5,32,,,,,
109219,929,75.5,,,,,
109227,922.5,48.5,,,,,
109236,1012,68.5,,,,,
109244,927,43.5,,,,,
109252,924.5,38.5,,,,,
109261,924.5,16,,,,,
109269,878.5,,,,,,
109277,953,,,,,,
109286,914.5,,,,,,
109294,919.5,,,,,,
109302,970.5,,,,,,
109319,889,,,,,,
109536,941,344.5,,,,,
109611,1443,742,,,,,
109619,1016.5,601.5,,,,,
109627,748.5,241,,,,,
109636,735,81.5,,,,,
109644,747,26.5,,,,,
109652,714.5,53,,,,,
109661,722,45,,,,,
109752,888,22.5,,,,,
109761,848.5,0,,,,,
109769,879.5,55,,,,,
109777,887,31,,,,,
109786,886.5,15,,,,,
109794,887,11.5,,,,,
109803,888,16.5,,,,,
109811,881.5,31.5,,,,,
109819,909,55.5,,,,,
109827,901.5,70.5,,,,,
109836,900.5,81,,,,,
109844,896.5,90,,,,,
109853,884,81.5,,,,,
109861,866.5,78.5,,,,,
109869,868.5,93,,,,,
109877,862.5,97,,,,,
109886,861.5,115.5,,,,,
109894,871.5,83.5,,,,,
109903,846.5,72,,,,,
109911,885.5,26.5,,,,,
109919,832.5,42,,,,,
109927,887,51,,,,,
109936,919,103.5,,,,,
109944,1069,29,,,,,
109953,932,114,,,,,
109961,992,62,,,,,
109969,861,119,,,,,
109977,943.5,98.5,,,,,
109986,967,70.5,,,,,
109994,975.5,72.5,,,,,
110003,1040,53.5,,,,,
110011,1044,60,,,,,
110019,1012.5,34,,,,,
110027,1072,46.5,,,,,
110036,1033,88.5,,,,,
110044,1018,82.5,,,,,
110053,1023.5,89.5,,,,,
110061,1043.5,83,,,,,
110069,1018,105,,,,,
110077,1020,117.5,,,,,
110086,1043,103,,,,,
110094,1019,75,,,,,
110102,978,41.5,,,,,
