Order,Index,Topic,Argument,Words,Condition_Share,Share,Agreement,Agreement.Contacts,New
1,288,Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?,Menneskeheden har en lang historie med succesfuldt at tilpasse sig til klimaforandringer,11,0,0,79.42146,52.52615,0
2,56,Hjælper eller skader elektroniske apparater børns udvikling?,Elektroniske apparater hjælper børn med særlige behov med at læse og skrive ligesom andre børn,12,0,0,100.0,100.0,0
3,175,Bør abort betragtes som mord?,Et foster eller en embryon er ikke en person; derfor bør abort ikke betragtes som mord.,15,0,0,22.01263,24.06294,0
4,60,Hjælper eller skader elektroniske apparater børns udvikling?,Elektroniske enheder kan have en negativ indvirkning på børns sociale og psykologiske udvikling,9,0,0,81.47178,79.90389,0
5,173,Bør abort betragtes som mord?,"Da hensigten med abort er døden, bør sådanne procedurer betragtes som mord",11,0,0,17.91199,27.92236,0
6,236,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,Klimaforandringer sker langsomt. Vi kan tilpasse os inde for den tidsramme,10,0,0,100.0,74.83841,1
7,195,Bør sexarbejde være lovligt?,Regeringen har ikke ret til at forbyde en interaktion mellem samtykkende voksne,12,0,0,0.0,16.34411,0
8,62,Hjælper eller skader elektroniske apparater børns udvikling?,"Kedsomhed giver anledning til kreativitet, men med en smartphone keder børn sig aldrig og lærer ikke at være kreative",17,0,0,77.97418,78.57722,0
9,203,Bør salget af genetisk modificeret mad forbydes?,Et universelt forbud er ikke den rigtige tilgang til at håndtere eventuelle problemer med genetisk modificerede fødevarer,17,0,0,34.79695,50.0,0
10,237,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,"Beviser og statistikker tyder på, at de handlinger, vi foretager os, er tilstrækkelige til at håndtere større klimaforandringer",17,0,0,20.20352,8.98709,0
11,194,Bør religion være involveret i politik?,Politik og religion bør lægges til side. Disse tre aspekter af livet bør IKKE følges ad: religion-stat-hær,15,0,0,80.38632,91.96457,0
12,126,Er videnskab lig religion?,"Undersøgelse af definitionerne af religion viser fokus på guddommelighed og åndelighed, som slet ikke er til stede i vestlig videnskab",20,0,0,64.58683,63.98379,0
