Order,Index,Topic,Argument,Words,Condition_Share,Share
1,159,Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?,Ændringer i individuelle livsstile gør ingen forskel,9,0,0
2,116,Er stråling fra mobiltelefoner og Wi-fi skadeligt?,"Mobiltelefoner og Wi-Fi udsender ikke-ioniserende stråling, som ikke er skadelig i små doser.",14,0,0
3,21,Er mennesker fundamentalt anderledes end andre dyr?,Mennesker er intellektuelt overlegne overfor andre væsener på Jorden ,9,0,0
4,220,Bør brugen af plastik undgås? ,"Jo mindre plastik vi bruger, desto mindre plastikforurening vil der være",12,0,0
5,126,Er videnskab lig religion?,"Undersøgelse af definitionerne af religion viser fokus på guddommelighed og åndelighed, som slet ikke er til stede i vestlig videnskab",20,0,0
6,180,Bør dyreforsøg forbydes?,Dyreforsøg er en effektiv metode til at teste produkter,9,0,0
7,155,Er moderne teknologi er en ulempe for samfundet?,Teknologisk tilbagestående lande har ingen magt på den globale scene,10,0,0
8,37,Er Darwins evolutionsteori filosofi eller videnskab?,Darwins teori har logiske fejl og kan derfor næppe betragtes som videnskab,14,0,0
9,56,Hjælper eller skader elektroniske apparater børns udvikling?,Elektroniske apparater hjælper børn med særlige behov med at læse og skrive ligesom andre børn,12,0,0
10,101,Er det etisk forkert at se pornografi?,Onani er naturaligt og gavnligt og her er pornografi et brugbart hjælpemiddel,12,0,0
11,124,Er videnskab lig religion?,"I modsætning til religion er videnskab baseret på beviser og eksperimentering, hvilket er en mere pålidelig metode til at opnå sandheden",18,0,0
12,249,Bør alle stoffer blive legaliseret?,"Stoffer bør forblive forbudt, fordi de er sundhedsskadelige for de personer, der bruger dem",16,0,0
13,246,Bør alle stoffer blive legaliseret?,"Hvis stoffer blev legaliseret, ville narkohandlen være mindre i stand til at fremme alvorlig kriminalitet",15,0,0
14,157,Er moderne teknologi er en ulempe for samfundet?,Teknologi har ændret hverdagen til det bedre for altid,9,0,0
15,272,Bør der ikke være nogen begrænsning for ytringsfriheden?,"Censur fører til snæversynethed, fordi det forhindrer ærlig og åben diskussion",11,0,0
16,204,Bør salget af genetisk modificeret mad forbydes?,GMO'er er mere omkostningseffektive end umodificerede fødevarer og medfører mange fordele,11,0,0
17,115,Er stråling fra mobiltelefoner og Wi-fi skadeligt?,Effekterne fra strålinger fra mobiltelefoner og Wi-Fi er minimale ,11,0,0
18,138,Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?,Politikere valgt gennem lotteri ville være bedre til deres arbejde,10,0,0
19,132,Hjælper eller skader sociale medier menneskelige relationer?,Sociale medier giver brugerne mulighed for at oprette forbindelse til flere mennesker,9,0,0
20,134,Hjælper eller skader sociale medier menneskelige relationer?,"Det er blevet påvist, at sociale medier kan føre til depression hos individer",9,0,0
21,123,Er videnskab lig religion?,Videnskab er yderst dynamisk og konstant i udvikling; religioner er normalt statiske og bevarende,13,0,0
22,54,Hjælper eller skader elektroniske apparater børns udvikling?,Elektroniske enheder kan gavne forældre ved at tilbyde dem større kontrol over deres børns udvikling,13,0,0
23,107,Er det etisk forkert at se pornografi?,"At se pornografi bidrager til overtrædelser af menneskerettighederne, herunder kønslig ulighed",10,0,0
