Order,Index,Topic,Argument,Words,Condition_Share,Share,Agreement,Agreement.Contacts,New
1,153,Er moderne teknologi er en ulempe for samfundet?,For at undgå en katastrofe bør teknologisk udvkling følge med den hurtige forandring i vores samfund ,17,1,0,38.24106,53.05947,0
2,62,Hjælper eller skader elektroniske apparater børns udvikling?,"Kedsomhed giver anledning til kreativitet, men med en smartphone keder børn sig aldrig og lærer ikke at være kreative",17,1,1,63.81477,50.0,0
3,177,Bør dyreforsøg forbydes?,"Der er foretrukne alternativer til dyreforsøg, som er mere præcise og humane",13,1,0,75.16758,50.0,0
4,190,Bør religion være involveret i politik?,"Næsten alle love er baseret på moralske overbevisninger, derfor er det passende, at religiøse personer deltager i politik",20,1,0,45.41126,50.0,0
5,230,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,Dyrearter er allerede begyndt at uddø. Udryddelsen af menneskeheden er sandsynligvis det næste,14,1,0,56.88358,50.0,0
6,242,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,Menneskeskabte kulstofemissioner vil sandsynligvis beskytte mennesker mod en anden istid,12,1,0,49.35487,50.0,0
7,249,Bør alle stoffer blive legaliseret?,"Stoffer bør forblive forbudt, fordi de er sundhedsskadelige for de personer, der bruger dem",16,1,0,90.70302,50.0,0
8,26,Er mennesker fundamentalt anderledes end andre dyr?,"Alle dyr er grundlæggende forskellige fra hinanden, og der er intet unikt ved mennesker, der adskiller dem fra dyr",19,1,0,50.0,50.0,0
9,203,Bør salget af genetisk modificeret mad forbydes?,Et universelt forbud er ikke den rigtige tilgang til at håndtere eventuelle problemer med genetisk modificerede fødevarer,17,1,0,62.14172,50.0,0
10,126,Er videnskab lig religion?,"Undersøgelse af definitionerne af religion viser fokus på guddommelighed og åndelighed, som slet ikke er til stede i vestlig videnskab",20,1,0,50.0,50.0,0
11,216,Er det etisk forkert at spise kød?,"Smagen af kød er lækker og giver mange mennesker glæde på en måde, som vegetarisk mad ikke fuldt ud kan efterligne",20,1,0,69.07292,50.0,0
12,175,Bør abort betragtes som mord?,Et foster eller en embryon er ikke en person; derfor bør abort ikke betragtes som mord.,15,1,0,68.4754,50.0,0
13,123,Er videnskab lig religion?,Videnskab er yderst dynamisk og konstant i udvikling; religioner er normalt statiske og bevarende,13,1,0,50.0,50.0,0
14,157,Er moderne teknologi er en ulempe for samfundet?,Teknologi har ændret hverdagen til det bedre for altid,9,1,0,38.59957,52.70096,0
15,136,Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?,Politik ville være mere repræsentativt under et lotterisystem,9,1,0,50.0,50.0,0
16,222,Bør brugen af plastik undgås? ,"Plastik bliver eksporteret, hvorfor et nedsat forbrug af plastik vil reducere CO2-emmisionen, der stammer fra transport",13,1,0,50.0,50.0,0
17,173,Bør abort betragtes som mord?,"Da hensigten med abort er døden, bør sådanne procedurer betragtes som mord",11,1,0,18.76202,50.0,0
18,233,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,"Menneskets evolution er langsommere end klimaforandringerne, hvilket gør det svært for mennesker at tilpasse sig klimaforandringer",20,1,0,64.65129,69.90944,0
19,60,Hjælper eller skader elektroniske apparater børns udvikling?,Elektroniske enheder kan have en negativ indvirkning på børns sociale og psykologiske udvikling,9,1,0,72.0605,50.0,0
20,151,Er moderne teknologi er en ulempe for samfundet?,Teknolgi forhindrer os i at nyde de nuværende øjeblikke,14,1,0,68.83391,66.08533,0
21,180,Bør dyreforsøg forbydes?,Dyreforsøg er en effektiv metode til at teste produkter,9,1,0,1.07553,6.93119,0
22,280,Bør der ikke være nogen begrænsning for ytringsfriheden?,Ubegrænset ytringsfrihed kan bruges til at sprede hadefulde og/eller skadelige ideologier,13,1,0,82.57679,50.0,0
23,217,Er det etisk forkert at spise kød?,At indtage kød er en vigtig del af mange kulturer og religioner,11,1,0,74.21156,50.0,0
24,229,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,"Konsekvenserne af global opvarmning udgør en direkte trussel mod det land og miljø, der er nødvendigt for menneskets overlevelse",16,1,0,62.73924,63.33676,0
25,140,Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?,"Der ville være mindre korruption ved lotteri, da al korruption ville forsvinde hver gang lotteriet fandt sted",16,1,0,89.02997,50.0,0
26,213,Er det etisk forkert at spise kød?,Vegetariske kostvaner bidrager direkte og indirekte til bedre sundhedsresultater for alle mennesker,13,1,0,50.0,50.0,0
27,164,Liv vs. valg: Bør abort være lovligt?,"Mennesker har ret til selvbestemmelse over deres krop og bør kunne træffe et eget valg om, hvad der sker med deres kroppe",21,1,0,89.38848,50.0,0
28,159,Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?,Ændringer i individuelle livsstile gør ingen forskel,9,1,0,36.80702,50.0,0
29,112,Er stråling fra mobiltelefoner og Wi-fi skadeligt?,Mobiltelefonstråling absorberes mere af børns hjerner end af voksnes hjerner,13,1,0,65.72682,50.0,0
30,21,Er mennesker fundamentalt anderledes end andre dyr?,Mennesker er intellektuelt overlegne overfor andre væsener på Jorden ,9,1,0,44.69424,50.0,0
