Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
177,,Id:M;X:961;Y:540,,,,,,,
6565,,Id:K;KeyCode:160;Key:LShiftKey,,,,,,,
6835,,Id:K;KeyCode:65601;Key:Shift A,,,,,,,
7935,,Id:K;KeyCode:65;Key:A,,,,,,,
9168,,Id:M;X:962;Y:537,,,,,,,
9193,,Id:M;X:851;Y:283,,,,,,,
9216,,Id:M;X:742;Y:34,,,,,,,
9241,,Id:M;X:720;Y:-63,,,,,,,
9264,,Id:M;X:712;Y:-54,,,,,,,
9289,,Id:M;X:736;Y:-33,,,,,,,
9313,,Id:M;X:752;Y:-7,,,,,,,
9336,,Id:M;X:755;Y:-1,,,,,,,
9384,,Id:M;X:756;Y:0,952,184.5,950.01198573162,197.339969998819,9337.9056,9471.2272,133.321599999999
9408,,Id:M;X:756;Y:4,,,,,,,
9432,,Id:M;X:760;Y:34,,,,,,,
9456,,Id:M;X:761;Y:38,,,,,,,
9480,,Id:M;X:762;Y:64,,,,,,,
9504,,Id:M;X:762;Y:127,,,,,,,
9528,,Id:M;X:766;Y:184,,,,,,,
9552,,Id:M;X:766;Y:225,,,,,,,
9577,,Id:M;X:778;Y:251,,,,,,,
9600,,Id:M;X:781;Y:255,869,241.5,852.455136949961,227.629527461262,9554.572,9937.9256,383.3536
9625,,Id:M;X:783;Y:255,,,,,,,
9665,,Id:M;X:784;Y:255,,,,,,,
9698,,Id:M;X:785;Y:253,,,,,,,
9720,,Id:M;X:794;Y:235,,,,,,,
9745,,Id:M;X:806;Y:206,,,,,,,
9768,,Id:M;X:817;Y:170,,,,,,,
9793,,Id:M;X:828;Y:139,,,,,,,
9817,,Id:M;X:829;Y:125,828.5,256.5,852.455136949961,227.629527461262,9554.572,9937.9256,383.3536
9880,,Id:M;X:829;Y:120,,,,,,,
9944,,Id:M;X:829;Y:121,,,,,,,
9968,,Id:M;X:827;Y:122,,,,,,,
9993,,Id:M;X:826;Y:124,,,,,,,
10017,,Id:M;X:824;Y:127,815.5,31,,,,,
10113,,Id:M;X:823;Y:130;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
10265,,Id:M;X:823;Y:130;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
10369,,Id:M;X:823;Y:131,,,,,,,
11427,,Id:K;KeyCode:65;Key:A,,,,,,,
11734,,Id:K;KeyCode:69;Key:E,,,,,,,
12861,,Id:K;KeyCode:8;Key:Back,,,,,,,
13004,,Id:K;KeyCode:8;Key:Back,,,,,,,
13572,,Id:K;KeyCode:20;Key:Capital,,,,,,,
14198,,Id:K;KeyCode:65;Key:A,,,,,,,
14493,,Id:K;KeyCode:69;Key:E,,,,,,,
15623,,Id:K;KeyCode:99;Key:NumPad3,,,,,,,
16306,,Id:K;KeyCode:98;Key:NumPad2,,,,,,,
16907,,Id:K;KeyCode:101;Key:NumPad5,,,,,,,
17448,,Id:M;X:823;Y:131,,,,,,,
17473,,Id:M;X:859;Y:132,,,,,,,
17496,,Id:M;X:896;Y:137,,,,,,,
17521,,Id:M;X:900;Y:144,,,,,,,
17544,,Id:M;X:903;Y:165,,,,,,,
17569,,Id:M;X:914;Y:190,,,,,,,
17593,,Id:M;X:928;Y:212,,,,,,,
17617,,Id:M;X:939;Y:237,,,,,,,
17641,,Id:M;X:942;Y:262,,,,,,,
17665,,Id:M;X:942;Y:281,,,,,,,
17688,,Id:M;X:945;Y:291,,,,,,,
17713,,Id:M;X:946;Y:291,,,,,,,
17736,,Id:M;X:948;Y:291,946.5,240,,,,,
17760,,Id:M;X:948;Y:291,,,,,,,
17785,,Id:M;X:948;Y:289,,,,,,,
17808,,Id:M;X:948;Y:281,,,,,,,
17833,,Id:M;X:948;Y:260,,,,,,,
17857,,Id:M;X:944;Y:222,,,,,,,
17880,,Id:M;X:934;Y:187,,,,,,,
17905,,Id:M;X:928;Y:167,,,,,,,
17937,,Id:M;X:923;Y:161,,,,,,,
18064,,Id:M;X:924;Y:161,,,,,,,
18088,,Id:M;X:931;Y:174,,,,,,,
18112,,Id:M;X:934;Y:182,,,,,,,
18136,,Id:M;X:935;Y:193,898.5,83.5,895.737169780237,157.544368680327,18107.2168,18298.9184,191.701599999997
18161,,Id:M;X:936;Y:202,,,,,,,
18185,,Id:M;X:937;Y:207,,,,,,,
18209,,Id:M;X:937;Y:211,,,,,,,
18233,,Id:M;X:938;Y:215,,,,,,,
18257,,Id:M;X:939;Y:217,,,,,,,
18392,,Id:M;X:939;Y:217;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
18617,,Id:M;X:939;Y:217;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
18840,,Id:M;X:939;Y:218,,,,,,,
18936,,Id:M;X:940;Y:218,833.5,205,828.399201673415,226.598683102301,18848.9152,18990.6016,141.686400000002
50225,,Id:M;X:942;Y:217,,,,,,,
50249,,Id:M;X:842;Y:198,,,,,,,
50272,,Id:M;X:634;Y:181,490,608.5,474.083987550284,597.828403407033,50201.3744,50551.3792,350.004799999995
50297,,Id:M;X:443;Y:190,460,586.5,474.083987550284,597.828403407033,50201.3744,50551.3792,350.004799999995
50320,,Id:M;X:369;Y:211,,,,,,,
50344,,Id:M;X:352;Y:216,,,,,,,
50552,,Id:M;X:348;Y:217,,,,,,,
50576,,Id:M;X:311;Y:222,,,,,,,
50600,,Id:M;X:153;Y:276,,,,,,,
50624,,Id:M;X:101;Y:324,,,,,,,
50649,,Id:M;X:94;Y:393,,,,,,,
50673,,Id:M;X:175;Y:544,,,,,,,
50697,,Id:M;X:298;Y:774,300,668.5,349.648485667894,688.590043122451,50626.408,50876.3904,249.982400000001
50721,,Id:M;X:354;Y:1055,,,,,,,
50745,,Id:M;X:394;Y:1146,,,,,,,
51312,,Id:M;X:397;Y:1073,,,,,,,
51336,,Id:M;X:423;Y:1021,,,,,,,
51360,,Id:M;X:433;Y:973,,,,,,,
51384,,Id:M;X:424;Y:962,,,,,,,
51745,,Id:M;X:420;Y:961,,,,,,,
51840,,Id:M;X:419;Y:961,,,,,,,
51872,,Id:M;X:419;Y:962,738,679,722.456631558062,690.99991822835,51801.4408,52001.4184,199.977599999998
51897,,Id:M;X:426;Y:972,707,704.5,722.456631558062,690.99991822835,51801.4408,52001.4184,199.977599999998
51929,,Id:M;X:427;Y:973,,,,,,,
52153,,Id:M;X:428;Y:973,,,,,,,
52184,,Id:M;X:437;Y:958,,,,,,,
52209,,Id:M;X:447;Y:943,,,,,,,
52232,,Id:M;X:460;Y:920,,,,,,,
52256,,Id:M;X:506;Y:868,,,,,,,
52281,,Id:M;X:567;Y:825,840,707.5,843.403846153846,702.057692307692,52226.4248,52443.104,216.679200000006
52304,,Id:M;X:647;Y:752,,,,,,,
52328,,Id:M;X:727;Y:670,,,,,,,
52353,,Id:M;X:799;Y:618,,,,,,,
52377,,Id:M;X:840;Y:596,,,,,,,
52400,,Id:M;X:848;Y:594,,,,,,,
52433,,Id:M;X:850;Y:594,,,,,,,
52465,,Id:M;X:852;Y:594,,,,,,,
52689,,Id:M;X:853;Y:594,982.5,697.5,975.0162638525,692.961205490338,52609.7744,52943.1384,333.363999999994
52729,,Id:M;X:853;Y:594,,,,,,,
52752,,Id:M;X:830;Y:621,,,,,,,
52776,,Id:M;X:795;Y:651,,,,,,,
52800,,Id:M;X:745;Y:697,,,,,,,
52824,,Id:M;X:689;Y:749,,,,,,,
52848,,Id:M;X:668;Y:775,,,,,,,
52872,,Id:M;X:660;Y:786,975,688,975.0162638525,692.961205490338,52609.7744,52943.1384,333.363999999994
52896,,Id:M;X:660;Y:788,,,,,,,
52976,,Id:M;X:660;Y:787,,,,,,,
53001,,Id:M;X:660;Y:769,,,,,,,
53025,,Id:M;X:659;Y:731,,,,,,,
53217,,Id:M;X:654;Y:714,,,,,,,
53241,,Id:M;X:652;Y:714,,,,,,,
53265,,Id:M;X:648;Y:714,,,,,,,
53376,,Id:M;X:647;Y:713,,,,,,,
53409,,Id:M;X:649;Y:709,,,,,,,
53464,,Id:M;X:649;Y:708,1154.5,703.5,1146.775,704.325,53343.1392,53509.8168,166.677599999995
53833,,Id:M;X:649;Y:705,,,,,,,
53856,,Id:M;X:645;Y:684,1200,720,1203.85536306353,704.049277539834,53534.8128,53859.8248,325.012000000002
54336,,Id:M;X:641;Y:675,,,,,,,
54521,,Id:M;X:641;Y:675,,,,,,,
54640,,Id:M;X:641;Y:673,,,,,,,
54665,,Id:M;X:641;Y:672,,,,,,,
54707,,Id:M;X:641;Y:672,,,,,,,
54729,,Id:M;X:644;Y:660,,,,,,,
54752,,Id:M;X:656;Y:629,,,,,,,
54777,,Id:M;X:653;Y:611,,,,,,,
55033,,Id:M;X:650;Y:612,,,,,,,
55057,,Id:M;X:650;Y:607,,,,,,,
55089,,Id:M;X:650;Y:604,858,791,862.209581726887,793.687346566386,55059.84,55226.5136,166.673600000002
55345,,Id:M;X:650;Y:603;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
59152,,Id:M;X:650;Y:603,,,,,,,
59184,,Id:M;X:650;Y:600,829.5,896,849.055555555556,895.972222222222,59170.8736,59320.8744,150.000800000002
59215,,Id:M;X:650;Y:593,,,,,,,
59249,,Id:M;X:653;Y:587,,,,,,,
59393,,Id:M;X:653;Y:587,,,,,,,
59417,,Id:M;X:653;Y:585,891.5,898,890.35,901.6,59345.9064,59429.2384,83.3319999999949
59440,,Id:M;X:653;Y:585,,,,,,,
59520,,Id:M;X:654;Y:585,,,,,,,
59672,,Id:M;X:654;Y:584,,,,,,,
59769,,Id:M;X:654;Y:584,,,,,,,
59793,,Id:M;X:654;Y:585,,,,,,,
59832,,Id:M;X:654;Y:586,,,,,,,
59904,,Id:M;X:653;Y:587,,,,,,,
66440,,Id:M;X:653;Y:587;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
66744,,Id:M;X:653;Y:587;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
70049,,Id:M;X:653;Y:587;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
71840,,Id:M;X:653;Y:587;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
82825,,Id:M;X:653;Y:587;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
85592,,Id:M;X:653;Y:587,,,,,,,
85616,,Id:M;X:656;Y:581,,,,,,,
85978,,Id:M;X:656;Y:578,,,,,,,
86016,,Id:M;X:657;Y:578,,,,,,,
86065,,Id:M;X:659;Y:578,,,,,,,
86089,,Id:M;X:661;Y:578,,,,,,,
86121,,Id:M;X:662;Y:578,,,,,,,
86632,,Id:M;X:662;Y:578;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
87616,,Id:M;X:662;Y:578,,,,,,,
87664,,Id:M;X:664;Y:578,893,885.5,906.619047619048,879.785714285714,87642.8008,87817.7472,174.946400000015
88033,,Id:M;X:665;Y:578,,,,,,,
88065,,Id:M;X:665;Y:578,,,,,,,
88256,,Id:M;X:665;Y:577,,,,,,,
88777,,Id:M;X:668;Y:578,,,,,,,
88803,,Id:M;X:668;Y:579,,,,,,,
88825,,Id:M;X:668;Y:580,,,,,,,
88856,,Id:M;X:668;Y:581,,,,,,,
88888,,Id:M;X:668;Y:583;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,919.5,951.5,,,,,
88920,,Id:M;X:669;Y:584,,,,,,,
88945,,Id:M;X:669;Y:584;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
88984,,Id:M;X:669;Y:585,,,,,,,
89208,,Id:M;X:678;Y:597,,,,,,,
89232,,Id:M;X:771;Y:718,,,,,,,
89256,,Id:M;X:829;Y:837,,,,,,,
89280,,Id:M;X:864;Y:907,852.5,872,853.708423501203,866.322969835641,89192.6632,89467.6304,274.967199999985
89306,,Id:M;X:895;Y:955,,,,,,,
89328,,Id:M;X:913;Y:975,,,,,,,
89353,,Id:M;X:935;Y:1000,,,,,,,
89377,,Id:M;X:949;Y:1019,,,,,,,
89401,,Id:M;X:953;Y:1023,,,,,,,
89425,,Id:M;X:955;Y:1025,,,,,,,
89465,,Id:M;X:956;Y:1025,,,,,,,
89496,,Id:M;X:957;Y:1024,,,,,,,
89520,,Id:M;X:958;Y:1005,,,,,,,
89545,,Id:M;X:962;Y:974,,,,,,,
89568,,Id:M;X:963;Y:953,,,,,,,
89593,,Id:M;X:963;Y:932,,,,,,,
89616,,Id:M;X:961;Y:897,,,,,,,
89640,,Id:M;X:950;Y:837,,,,,,,
89664,,Id:M;X:929;Y:768,859.5,54,,,,,
89689,,Id:M;X:905;Y:725,,,,,,,
89713,,Id:M;X:883;Y:665,,,,,,,
89737,,Id:M;X:861;Y:625,,,,,,,
89760,,Id:M;X:851;Y:602,,,,,,,
89785,,Id:M;X:846;Y:589,,,,,,,
89809,,Id:M;X:845;Y:586,,,,,,,
90177,,Id:M;X:845;Y:586,,,,,,,
90201,,Id:M;X:848;Y:596,,,,,,,
90225,,Id:M;X:849;Y:603,,,,,,,
90248,,Id:M;X:850;Y:608,,,,,,,
90273,,Id:M;X:850;Y:613,,,,,,,
90297,,Id:M;X:847;Y:620,381.5,213.5,402.644217297643,225.639072022573,90051,90384.3104,333.310400000002
90321,,Id:M;X:840;Y:633,,,,,,,
90345,,Id:M;X:835;Y:646,,,,,,,
90369,,Id:M;X:832;Y:661,,,,,,,
90393,,Id:M;X:829;Y:678,,,,,,,
90417,,Id:M;X:829;Y:694,,,,,,,
90441,,Id:M;X:831;Y:711,,,,,,,
90465,,Id:M;X:837;Y:724,,,,,,,
90489,,Id:M;X:842;Y:732,,,,,,,
90513,,Id:M;X:844;Y:736,,,,,,,
90537,,Id:M;X:846;Y:739,,,,,,,
90561,,Id:M;X:846;Y:745,,,,,,,
90585,,Id:M;X:846;Y:757,,,,,,,
90608,,Id:M;X:847;Y:766,,,,,,,
90633,,Id:M;X:848;Y:771,,,,,,,
90657,,Id:M;X:849;Y:779,,,,,,,
90680,,Id:M;X:852;Y:791,618,208.5,621.538014142563,226.321905371019,90601.0136,90725.9864,124.972799999989
90704,,Id:M;X:852;Y:805,,,,,,,
90728,,Id:M;X:857;Y:822,,,,,,,
90752,,Id:M;X:862;Y:836,,,,,,,
90776,,Id:M;X:868;Y:852,,,,,,,
90800,,Id:M;X:868;Y:866,,,,,,,
90824,,Id:M;X:869;Y:876,,,,,,,
90849,,Id:M;X:869;Y:882,,,,,,,
90889,,Id:M;X:870;Y:885,,,,,,,
90913,,Id:M;X:871;Y:888,,,,,,,
90937,,Id:M;X:872;Y:890,,,,,,,
90960,,Id:M;X:874;Y:890,,,,,,,
91280,,Id:M;X:874;Y:891,729.5,226,750.27530044537,227.113555412421,91084.3448,91359.3608,275.016000000003
95985,,Id:M;X:874;Y:891;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
96049,,Id:M;X:874;Y:891;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
96961,,Id:M;X:874;Y:891,,,,,,,
96993,,Id:M;X:874;Y:885,,,,,,,
97016,,Id:M;X:872;Y:868,,,,,,,
97040,,Id:M;X:867;Y:841,,,,,,,
97065,,Id:M;X:863;Y:805,,,,,,,
97091,,Id:M;X:863;Y:764,,,,,,,
97112,,Id:M;X:874;Y:717,,,,,,,
97136,,Id:M;X:885;Y:677,,,,,,,
97161,,Id:M;X:901;Y:646,,,,,,,
97449,,Id:M;X:902;Y:644,,,,,,,
97480,,Id:M;X:899;Y:641,863.5,145,858.625,136,97442.8336,97542.8088,99.9752000000008
97505,,Id:M;X:901;Y:633,852.5,142,858.625,136,97442.8336,97542.8088,99.9752000000008
97528,,Id:M;X:901;Y:627,,,,,,,
97549,,Id:M;X:900;Y:622,,,,,,,
97576,,Id:M;X:900;Y:605,,,,,,,
97601,,Id:M;X:903;Y:582,,,,,,,
97628,,Id:M;X:905;Y:560,,,,,,,
97656,,Id:M;X:905;Y:538,,,,,,,
97681,,Id:M;X:905;Y:526,,,,,,,
97705,,Id:M;X:903;Y:517,646.5,224.5,652.451797551732,233.731604399096,97576.1744,97792.8144,216.640000000014
97729,,Id:M;X:903;Y:504,,,,,,,
97753,,Id:M;X:903;Y:481,,,,,,,
97785,,Id:M;X:898;Y:455,,,,,,,
97809,,Id:M;X:896;Y:416,,,,,,,
97833,,Id:M;X:892;Y:388,,,,,,,
97857,,Id:M;X:882;Y:352,,,,,,,
97881,,Id:M;X:876;Y:305,,,,,,,
97904,,Id:M;X:867;Y:258,,,,,,,
97928,,Id:M;X:859;Y:232,,,,,,,
97976,,Id:M;X:858;Y:226,,,,,,,
98112,,Id:M;X:858;Y:226,,,,,,,
98136,,Id:M;X:858;Y:229,,,,,,,
98161,,Id:M;X:858;Y:233,,,,,,,
