Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
322,,Id:M;X:960;Y:540,,,,,,,
346,,Id:M;X:960;Y:540,,,,,,,
370,,Id:M;X:961;Y:540,,,,,,,
394,,Id:M;X:963;Y:540,,,,,,,
418,,Id:M;X:968;Y:540,,,,,,,
442,,Id:M;X:975;Y:540,,,,,,,
465,,Id:M;X:981;Y:539,895,551.5,893.80771006634,543.000021737046,411.013,644.329,233.316
489,,Id:M;X:990;Y:538,,,,,,,
513,,Id:M;X:1000;Y:538,,,,,,,
537,,Id:M;X:1013;Y:538,,,,,,,
561,,Id:M;X:1033;Y:538,,,,,,,
585,,Id:M;X:1061;Y:538,,,,,,,
609,,Id:M;X:1084;Y:538,,,,,,,
633,,Id:M;X:1110;Y:535,,,,,,,
658,,Id:M;X:1140;Y:533,,,,,,,
682,,Id:M;X:1167;Y:533,832,547,829.264806803743,529.294215182319,669.3522,961.005,291.6528
706,,Id:M;X:1192;Y:533,,,,,,,
730,,Id:M;X:1221;Y:531,,,,,,,
754,,Id:M;X:1248;Y:526,,,,,,,
778,,Id:M;X:1274;Y:523,,,,,,,
802,,Id:M;X:1298;Y:523,,,,,,,
825,,Id:M;X:1315;Y:523,,,,,,,
849,,Id:M;X:1331;Y:526,,,,,,,
873,,Id:M;X:1347;Y:528,,,,,,,
898,,Id:M;X:1355;Y:528,814,534,829.264806803743,529.294215182319,669.3522,961.005,291.6528
922,,Id:M;X:1358;Y:527,,,,,,,
946,,Id:M;X:1360;Y:527,,,,,,,
970,,Id:M;X:1362;Y:526,,,,,,,
993,,Id:M;X:1364;Y:525,,,,,,,
1017,,Id:M;X:1366;Y:524,,,,,,,
1049,,Id:M;X:1368;Y:524,,,,,,,
1082,,Id:M;X:1370;Y:524,1084,521,1099.87440538226,512.124777308627,1002.6962,1852.6826,849.9864
1105,,Id:M;X:1373;Y:524,,,,,,,
1129,,Id:M;X:1378;Y:526,,,,,,,
1153,,Id:M;X:1383;Y:526,,,,,,,
1178,,Id:M;X:1391;Y:526,,,,,,,
1202,,Id:M;X:1399;Y:525,,,,,,,
1226,,Id:M;X:1405;Y:523,,,,,,,
1250,,Id:M;X:1407;Y:523,,,,,,,
1306,,Id:M;X:1408;Y:523,,,,,,,
1338,,Id:M;X:1409;Y:523,,,,,,,
1770,,Id:M;X:1409;Y:522,,,,,,,
1794,,Id:M;X:1409;Y:522,,,,,,,
1826,,Id:M;X:1408;Y:522,,,,,,,
1850,,Id:M;X:1407;Y:522,,,,,,,
1874,,Id:M;X:1406;Y:522,1024,526,,,,,
1994,,Id:M;X:1405;Y:522,,,,,,,
2018,,Id:M;X:1405;Y:521,,,,,,,
2041,,Id:M;X:1403;Y:521,,,,,,,
2073,,Id:M;X:1403;Y:521,,,,,,,
3018,,Id:M;X:1403;Y:520,,,,,,,
3250,,Id:M;X:1403;Y:520,,,,,,,
6585,,Id:M;X:1403;Y:520,,,,,,,
6658,,Id:M;X:1404;Y:520,162,88.5,164.379599639637,67.9174425829085,6570.501,6753.805,183.304
6746,,Id:M;X:1404;Y:520,,,,,,,
6986,,Id:M;X:1405;Y:520,,,,,,,
7090,,Id:M;X:1406;Y:520,,,,,,,
7146,,Id:M;X:1407;Y:520,,,,,,,
14290,,Id:M;X:1407;Y:520,,,,,,,
14314,,Id:M;X:1400;Y:519,,,,,,,
14338,,Id:M;X:1389;Y:511,,,,,,,
14362,,Id:M;X:1382;Y:497,,,,,,,
14385,,Id:M;X:1369;Y:480,,,,,,,
14409,,Id:M;X:1344;Y:463,,,,,,,
14433,,Id:M;X:1320;Y:447,799.5,55.5,,,,,
14458,,Id:M;X:1307;Y:437,776,53.5,,,,,
14482,,Id:M;X:1300;Y:431,,,,,,,
14505,,Id:M;X:1294;Y:427,,,,,,,
14529,,Id:M;X:1285;Y:420,,,,,,,
14554,,Id:M;X:1267;Y:412,,,,,,,
14578,,Id:M;X:1246;Y:403,,,,,,,
14602,,Id:M;X:1223;Y:394,,,,,,,
14625,,Id:M;X:1197;Y:386,794,85.5,792.441054959758,64.9490906066556,14487.2538,14987.133,499.879199999999
14649,,Id:M;X:1174;Y:383,,,,,,,
14674,,Id:M;X:1157;Y:380,,,,,,,
14697,,Id:M;X:1140;Y:368,,,,,,,
14722,,Id:M;X:1117;Y:348,,,,,,,
14746,,Id:M;X:1091;Y:317,,,,,,,
14770,,Id:M;X:1066;Y:286,,,,,,,
14794,,Id:M;X:1048;Y:261,,,,,,,
14818,,Id:M;X:1027;Y:239,,,,,,,
14841,,Id:M;X:1007;Y:225,794,67.5,792.441054959758,64.9490906066556,14487.2538,14987.133,499.879199999999
14866,,Id:M;X:990;Y:213,776,62.5,792.441054959758,64.9490906066556,14487.2538,14987.133,499.879199999999
14890,,Id:M;X:978;Y:204,,,,,,,
14913,,Id:M;X:971;Y:201,,,,,,,
15050,,Id:M;X:971;Y:199,948.5,142.5,958.252754827422,165.883436450245,15028.829,15320.5034,291.674400000002
15074,,Id:M;X:971;Y:197,,,,,,,
15098,,Id:M;X:971;Y:195,,,,,,,
15122,,Id:M;X:971;Y:190,,,,,,,
15145,,Id:M;X:971;Y:185,,,,,,,
15170,,Id:M;X:971;Y:179,,,,,,,
15194,,Id:M;X:971;Y:174,,,,,,,
15218,,Id:M;X:971;Y:170,,,,,,,
15241,,Id:M;X:971;Y:166,973,138.5,958.252754827422,165.883436450245,15028.829,15320.5034,291.674400000002
15266,,Id:M;X:971;Y:165,964.5,154.5,958.252754827422,165.883436450245,15028.829,15320.5034,291.674400000002
15314,,Id:M;X:971;Y:163,,,,,,,
15338,,Id:M;X:971;Y:162,,,,,,,
15362,,Id:M;X:971;Y:161,,,,,,,
15402,,Id:M;X:971;Y:160,,,,,,,
15426,,Id:M;X:971;Y:160,,,,,,,
15450,,Id:M;X:971;Y:158,975.5,134,981.647133294097,94.9174161532028,15337.141,16070.5146,733.373599999999
15474,,Id:M;X:971;Y:156,,,,,,,
15506,,Id:M;X:971;Y:154,,,,,,,
15529,,Id:M;X:971;Y:153,,,,,,,
15569,,Id:M;X:971;Y:151,,,,,,,
15594,,Id:M;X:971;Y:151,,,,,,,
15626,,Id:M;X:971;Y:150,,,,,,,
15658,,Id:M;X:971;Y:149,991,92.5,981.647133294097,94.9174161532028,15337.141,16070.5146,733.373599999999
15681,,Id:M;X:971;Y:147,,,,,,,
15706,,Id:M;X:971;Y:145,,,,,,,
15810,,Id:M;X:971;Y:145;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
15922,,Id:M;X:971;Y:145;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
15962,,Id:M;X:971;Y:145,,,,,,,
15994,,Id:M;X:971;Y:145,,,,,,,
17305,,Id:K;KeyCode:162;Key:LControlKey,,,,,,,
17737,,Id:K;KeyCode:131158;Key:Control V,,,,,,,
18330,,Id:M;X:971;Y:145,,,,,,,
18353,,Id:M;X:967;Y:138,,,,,,,
18378,,Id:M;X:962;Y:133,,,,,,,
18530,,Id:M;X:962;Y:133,,,,,,,
18554,,Id:M;X:963;Y:139,,,,,,,
18578,,Id:M;X:967;Y:158,,,,,,,
18601,,Id:M;X:972;Y:179,,,,,,,
18626,,Id:M;X:976;Y:194,,,,,,,
18650,,Id:M;X:977;Y:207,795.5,88,814.475378261074,95.9893310213896,18403.8466,18828.8546,425.008000000002
18674,,Id:M;X:978;Y:217,,,,,,,
18697,,Id:M;X:978;Y:224,,,,,,,
18722,,Id:M;X:978;Y:229,,,,,,,
18745,,Id:M;X:978;Y:231,,,,,,,
18865,,Id:M;X:978;Y:231,,,,,,,
18890,,Id:M;X:978;Y:231;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
19018,,Id:M;X:978;Y:231;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
19514,,Id:M;X:978;Y:232,,,,,,,
19538,,Id:M;X:979;Y:236,,,,,,,
19562,,Id:M;X:985;Y:238,,,,,,,
19585,,Id:M;X:990;Y:241,,,,,,,
19610,,Id:M;X:993;Y:246,,,,,,,
19633,,Id:M;X:999;Y:250,292.5,77.5,316.577843004534,101.270672984228,19595.553,19737.2274,141.6744
19658,,Id:M;X:1009;Y:258,316.5,87.5,316.577843004534,101.270672984228,19595.553,19737.2274,141.6744
19682,,Id:M;X:1017;Y:264,,,,,,,
19706,,Id:M;X:1030;Y:273,,,,,,,
19730,,Id:M;X:1047;Y:286,,,,,,,
19754,,Id:M;X:1068;Y:296,,,,,,,
19778,,Id:M;X:1090;Y:305,,,,,,,
19801,,Id:M;X:1117;Y:317,,,,,,,
19826,,Id:M;X:1133;Y:325,,,,,,,
19850,,Id:M;X:1145;Y:330,241.5,119,233.884071093978,105.116002354374,19753.8938,19920.5602,166.666400000002
19874,,Id:M;X:1151;Y:335,,,,,,,
19898,,Id:M;X:1155;Y:341,,,,,,,
19922,,Id:M;X:1159;Y:343,,,,,,,
19946,,Id:M;X:1165;Y:348,,,,,,,
19970,,Id:M;X:1170;Y:351,,,,,,,
19994,,Id:M;X:1175;Y:356,,,,,,,
20017,,Id:M;X:1180;Y:363,,,,,,,
20042,,Id:M;X:1182;Y:369,,,,,,,
20066,,Id:M;X:1184;Y:376,325.5,60.5,343.549076129371,82.2590887788525,19945.5394,20137.1938,191.654399999999
20090,,Id:M;X:1187;Y:384,,,,,,,
20113,,Id:M;X:1188;Y:391,,,,,,,
20137,,Id:M;X:1188;Y:394,,,,,,,
56314,,Id:M;X:1189;Y:395,,,,,,,
56338,,Id:M;X:1194;Y:393,,,,,,,
56362,,Id:M;X:1199;Y:385,,,,,,,
56386,,Id:M;X:1204;Y:378,,,,,,,
56410,,Id:M;X:1207;Y:373,797,885,,,,,
56434,,Id:M;X:1215;Y:368,,,,,,,
56458,,Id:M;X:1238;Y:366,,,,,,,
56482,,Id:M;X:1281;Y:391,,,,,,,
56505,,Id:M;X:1304;Y:416,,,,,,,
56530,,Id:M;X:1305;Y:417,,,,,,,
56553,,Id:M;X:1307;Y:399,,,,,,,
56794,,Id:M;X:1310;Y:385,,,,,,,
56818,,Id:M;X:1310;Y:387,1176.5,828.5,,,,,
56842,,Id:M;X:1309;Y:393,,,,,,,
56865,,Id:M;X:1307;Y:404,,,,,,,
56890,,Id:M;X:1304;Y:421,,,,,,,
56913,,Id:M;X:1297;Y:437,,,,,,,
56938,,Id:M;X:1290;Y:455,,,,,,,
56962,,Id:M;X:1282;Y:473,,,,,,,
56986,,Id:M;X:1276;Y:487,,,,,,,
57010,,Id:M;X:1273;Y:494,1202,683,1201.64515789111,679.049812876163,56947.449,57080.7514,133.302400000008
57034,,Id:M;X:1273;Y:496,,,,,,,
57105,,Id:M;X:1272;Y:497,,,,,,,
57130,,Id:M;X:1269;Y:504,,,,,,,
57153,,Id:M;X:1262;Y:520,,,,,,,
57178,,Id:M;X:1250;Y:543,,,,,,,
57202,,Id:M;X:1237;Y:561,,,,,,,
57226,,Id:M;X:1228;Y:571,,,,,,,
57249,,Id:M;X:1220;Y:576,,,,,,,
57273,,Id:M;X:1215;Y:578,,,,,,,
57297,,Id:M;X:1211;Y:579,,,,,,,
57322,,Id:M;X:1206;Y:581,,,,,,,
57346,,Id:M;X:1203;Y:583,,,,,,,
57369,,Id:M;X:1197;Y:587,,,,,,,
57393,,Id:M;X:1187;Y:594,341,706,348.919054933722,689.68682636036306,57322.445,57605.7642,283.319199999998
57418,,Id:M;X:1174;Y:601,352.5,684.5,348.919054933722,689.68682636036306,57322.445,57605.7642,283.319199999998
57442,,Id:M;X:1160;Y:606,,,,,,,
57465,,Id:M;X:1146;Y:608,,,,,,,
57490,,Id:M;X:1141;Y:605,,,,,,,
57514,,Id:M;X:1140;Y:598,,,,,,,
57538,,Id:M;X:1144;Y:585,,,,,,,
57698,,Id:M;X:1146;Y:585,,,,,,,
57721,,Id:M;X:1151;Y:589,,,,,,,
57746,,Id:M;X:1155;Y:592,,,,,,,
57769,,Id:M;X:1157;Y:594,,,,,,,
57793,,Id:M;X:1157;Y:600,537,675.5,518.36433528274,673.842694336221,57630.7498,57889.0962,258.346399999995
57818,,Id:M;X:1156;Y:605,514,657,518.36433528274,673.842694336221,57630.7498,57889.0962,258.346399999995
57841,,Id:M;X:1154;Y:609,,,,,,,
57865,,Id:M;X:1150;Y:612,,,,,,,
57897,,Id:M;X:1147;Y:614,,,,,,,
58129,,Id:M;X:1146;Y:614,,,,,,,
58210,,Id:M;X:1146;Y:614,902,688,908.547619047619,677.190476190476,58155.7714,58330.7602,174.988800000006
58234,,Id:M;X:1145;Y:614,,,,,,,
58258,,Id:M;X:1143;Y:614,,,,,,,
58290,,Id:M;X:1142;Y:612,,,,,,,
58314,,Id:M;X:1142;Y:612,,,,,,,
58337,,Id:M;X:1142;Y:611,,,,,,,
58402,,Id:M;X:1141;Y:611,1006.5,690.5,996.045412896076,684.113484135157,58347.425,58539.097,191.671999999999
58433,,Id:M;X:1141;Y:611,,,,,,,
58458,,Id:M;X:1141;Y:610,,,,,,,
58482,,Id:M;X:1140;Y:610,,,,,,,
58506,,Id:M;X:1139;Y:608,,,,,,,
58530,,Id:M;X:1138;Y:607,,,,,,,
58561,,Id:M;X:1136;Y:605,,,,,,,
58593,,Id:M;X:1136;Y:604,1147,690.5,1156.66596320917,696.952588723577,58564.1066,58755.7658,191.659199999995
58626,,Id:M;X:1136;Y:603,,,,,,,
58650,,Id:M;X:1135;Y:602,,,,,,,
59218,,Id:M;X:1135;Y:602,1589.5,654,1587.94827644222,669.550688550741,59189.1354,59314.1242,124.988800000006
59242,,Id:M;X:1134;Y:602,,,,,,,
59354,,Id:M;X:1134;Y:602,,,,,,,
59378,,Id:M;X:1134;Y:602,,,,,,,
59418,,Id:M;X:1133;Y:601,1325.5,749,,,,,
59419,,Id:M;X:1133;Y:601;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
59482,,Id:M;X:1133;Y:601;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
59626,,Id:M;X:1133;Y:601;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
