Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
528,,Id:M;X:960;Y:540,,,,,,,
560,,Id:M;X:961;Y:540,,,,,,,
584,,Id:M;X:964;Y:540,,,,,,,
609,,Id:M;X:967;Y:540,,,,,,,
632,,Id:M;X:972;Y:540,,,,,,,
656,,Id:M;X:977;Y:541,,,,,,,
680,,Id:M;X:990;Y:541,,,,,,,
704,,Id:M;X:1004;Y:541,,,,,,,
728,,Id:M;X:1013;Y:541,,,,,,,
752,,Id:M;X:1028;Y:538,,,,,,,
776,,Id:M;X:1051;Y:528,,,,,,,
801,,Id:M;X:1087;Y:514,,,,,,,
824,,Id:M;X:1174;Y:488,896.5,580.5,900.647058823529,559.367647058824,586.7912,870.1336,283.3424
848,,Id:M;X:1280;Y:458,,,,,,,
872,,Id:M;X:1381;Y:435,,,,,,,
896,,Id:M;X:1469;Y:424,,,,,,,
920,,Id:M;X:1532;Y:413,,,,,,,
944,,Id:M;X:1567;Y:410,,,,,,,
1112,,Id:M;X:1574;Y:410,,,,,,,
1136,,Id:M;X:1572;Y:412,,,,,,,
1160,,Id:M;X:1565;Y:420,,,,,,,
1184,,Id:M;X:1551;Y:431,,,,,,,
1208,,Id:M;X:1528;Y:448,,,,,,,
1240,,Id:M;X:1524;Y:452,,,,,,,
1264,,Id:M;X:1512;Y:461,,,,,,,
1288,,Id:M;X:1492;Y:480,,,,,,,
1312,,Id:M;X:1457;Y:509,,,,,,,
1336,,Id:M;X:1430;Y:521,,,,,,,
1361,,Id:M;X:1413;Y:525,,,,,,,
1384,,Id:M;X:1406;Y:525,,,,,,,
1408,,Id:M;X:1398;Y:528,1080,583.5,1077.109375,578.21875,1261.8104,1528.5112,266.7008
1480,,Id:M;X:1394;Y:530,,,,,,,
1504,,Id:M;X:1390;Y:533,,,,,,,
1528,,Id:M;X:1378;Y:533,,,,,,,
1552,,Id:M;X:1364;Y:532,,,,,,,
1576,,Id:M;X:1346;Y:526,,,,,,,
1848,,Id:M;X:1333;Y:526,,,,,,,
1873,,Id:M;X:1178;Y:636,,,,,,,
1897,,Id:M;X:936;Y:791,,,,,,,
1921,,Id:M;X:871;Y:831,,,,,,,
1961,,Id:M;X:867;Y:831,,,,,,,
1984,,Id:M;X:847;Y:831,,,,,,,
2009,,Id:M;X:810;Y:839,,,,,,,
2032,,Id:M;X:778;Y:852,,,,,,,
2056,,Id:M;X:763;Y:862,,,,,,,
2080,,Id:M;X:753;Y:867,,,,,,,
2105,,Id:M;X:749;Y:868,,,,,,,
2144,,Id:M;X:748;Y:868,,,,,,,
2168,,Id:M;X:761;Y:840,,,,,,,
2192,,Id:M;X:813;Y:767,,,,,,,
2216,,Id:M;X:874;Y:731,898.5,155,,,,,
2240,,Id:M;X:895;Y:719,,,,,,,
2264,,Id:M;X:908;Y:706,,,,,,,
2289,,Id:M;X:913;Y:686,,,,,,,
2312,,Id:M;X:917;Y:651,,,,,,,
2337,,Id:M;X:917;Y:620,,,,,,,
2360,,Id:M;X:914;Y:594,,,,,,,
2384,,Id:M;X:911;Y:576,,,,,,,
2408,,Id:M;X:909;Y:567,958.5,185,,,,,
2432,,Id:M;X:906;Y:542,,,,,,,
2456,,Id:M;X:901;Y:512,,,,,,,
2569,,Id:M;X:901;Y:511,,,,,,,
2592,,Id:M;X:901;Y:509,,,,,,,
2616,,Id:M;X:901;Y:501,821,144.5,,,,,
2640,,Id:M;X:900;Y:495,,,,,,,
2665,,Id:M;X:900;Y:491,,,,,,,
2689,,Id:M;X:897;Y:477,,,,,,,
2712,,Id:M;X:895;Y:449,,,,,,,
2736,,Id:M;X:891;Y:412,,,,,,,
2760,,Id:M;X:891;Y:374,,,,,,,
2785,,Id:M;X:892;Y:343,,,,,,,
2808,,Id:M;X:894;Y:315,803.5,143.5,799.452195057551,142.840341456869,2620.1552,3220.2232,600.068
2832,,Id:M;X:894;Y:291,,,,,,,
2857,,Id:M;X:889;Y:245,,,,,,,
2881,,Id:M;X:883;Y:204,,,,,,,
2904,,Id:M;X:880;Y:196,,,,,,,
3000,,Id:M;X:880;Y:196,,,,,,,
3024,,Id:M;X:883;Y:214,797.5,154,799.452195057551,142.840341456869,2620.1552,3220.2232,600.068
3144,,Id:M;X:885;Y:219,,,,,,,
3168,,Id:M;X:885;Y:214,,,,,,,
3192,,Id:M;X:885;Y:210,,,,,,,
3216,,Id:M;X:885;Y:202,792,141,799.452195057551,142.840341456869,2620.1552,3220.2232,600.068
3240,,Id:M;X:885;Y:198,,,,,,,
3264,,Id:M;X:885;Y:194,,,,,,,
3288,,Id:M;X:886;Y:191,,,,,,,
3312,,Id:M;X:886;Y:187,,,,,,,
3433,,Id:M;X:886;Y:184,930,200,918.771569910855,193.321795134151,3253.5248,3728.5352,475.0104
3456,,Id:M;X:889;Y:172,,,,,,,
3483,,Id:M;X:891;Y:153,922,185.5,918.771569910855,193.321795134151,3253.5248,3728.5352,475.0104
3505,,Id:M;X:895;Y:134,,,,,,,
3529,,Id:M;X:895;Y:127,,,,,,,
3552,,Id:M;X:895;Y:124,,,,,,,
3576,,Id:M;X:896;Y:122,,,,,,,
3680,,Id:M;X:896;Y:122,,,,,,,
3705,,Id:M;X:898;Y:124,,,,,,,
3728,,Id:M;X:900;Y:128,,,,,,,
3816,,Id:M;X:900;Y:129,909,150.5,901.232378766474,145.015918623317,3745.2352,4003.5696,258.3344
3848,,Id:M;X:900;Y:130,,,,,,,
3889,,Id:M;X:901;Y:130,,,,,,,
3928,,Id:M;X:901;Y:131,,,,,,,
3960,,Id:M;X:904;Y:137,,,,,,,
3984,,Id:M;X:905;Y:141,,,,,,,
4936,,Id:M;X:905;Y:143;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
5105,,Id:M;X:905;Y:143;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
10683,,Id:K;KeyCode:69;Key:E,769.5,121.5,,,,,
11376,,Id:K;KeyCode:71;Key:G,,,,,,,
13090,,Id:K;KeyCode:48;Key:D0,,,,,,,
13892,,Id:K;KeyCode:56;Key:D8,,,,,,,
14031,,Id:K;KeyCode:56;Key:D8,,,,,,,
15118,,Id:K;KeyCode:161;Key:RShiftKey,,,,,,,
16265,,Id:M;X:906;Y:148,,,,,,,
16289,,Id:M;X:913;Y:162,,,,,,,
16312,,Id:M;X:917;Y:168,,,,,,,
16336,,Id:M;X:920;Y:171,,,,,,,
16360,,Id:M;X:928;Y:180,,,,,,,
16384,,Id:M;X:947;Y:211,,,,,,,
16408,,Id:M;X:972;Y:273,,,,,,,
16432,,Id:M;X:989;Y:338,,,,,,,
16456,,Id:M;X:995;Y:381,,,,,,,
16560,,Id:M;X:997;Y:385,924.5,167.5,917.072912644088,183.154546858658,16505.82,16905.7976,399.977599999998
16585,,Id:M;X:995;Y:376,927,191.5,917.072912644088,183.154546858658,16505.82,16905.7976,399.977599999998
16608,,Id:M;X:983;Y:354,,,,,,,
16632,,Id:M;X:972;Y:331,,,,,,,
16656,,Id:M;X:967;Y:319,,,,,,,
16680,,Id:M;X:962;Y:302,,,,,,,
16704,,Id:M;X:962;Y:283,,,,,,,
16728,,Id:M;X:962;Y:274,,,,,,,
16752,,Id:M;X:962;Y:269,913,179,917.072912644088,183.154546858658,16505.82,16905.7976,399.977599999998
