Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
686,,Id:M;X:961;Y:540,,,,,,,
710,,Id:M;X:967;Y:540,,,,,,,
734,,Id:M;X:981;Y:540,,,,,,,
758,,Id:M;X:1009;Y:540,848.5,508,839.936602094156,508.865753713459,553.4961,1011.8225,458.3264
782,,Id:M;X:1049;Y:540,,,,,,,
807,,Id:M;X:1121;Y:540,,,,,,,
830,,Id:M;X:1221;Y:540,,,,,,,
854,,Id:M;X:1332;Y:540,,,,,,,
878,,Id:M;X:1415;Y:530,,,,,,,
903,,Id:M;X:1447;Y:529,,,,,,,
1367,,Id:M;X:1448;Y:529,,,,,,,
1390,,Id:M;X:1470;Y:531,,,,,,,
1414,,Id:M;X:1501;Y:532,,,,,,,
1438,,Id:M;X:1548;Y:532,,,,,,,
1462,,Id:M;X:1608;Y:543,,,,,,,
1486,,Id:M;X:1665;Y:553,,,,,,,
1510,,Id:M;X:1734;Y:562,,,,,,,
1534,,Id:M;X:1805;Y:562,,,,,,,
1559,,Id:M;X:1876;Y:554,,,,,,,
1583,,Id:M;X:1954;Y:530,340,137.5,349.925925925926,138.962962962963,1528.5001,1753.5009,225.0008
1606,,Id:M;X:1940;Y:496,,,,,,,
1630,,Id:M;X:1940;Y:457,,,,,,,
1654,,Id:M;X:1944;Y:427,,,,,,,
1678,,Id:M;X:1926;Y:412,,,,,,,
1702,,Id:M;X:1919;Y:407,,,,,,,
1726,,Id:M;X:1919;Y:406,,,,,,,
1750,,Id:M;X:1919;Y:406,,,,,,,
1855,,Id:M;X:1919;Y:405,,,,,,,
1887,,Id:M;X:1919;Y:405,,,,,,,
1943,,Id:M;X:1918;Y:405,,,,,,,
1966,,Id:M;X:1917;Y:405,218,25.5,220.189620456146,33.2070089138894,1786.8417,2036.8361,249.9944
1990,,Id:M;X:1917;Y:405,,,,,,,
2015,,Id:M;X:1915;Y:406,,,,,,,
20680,,Id:K;KeyCode:160;Key:LShiftKey,,,,,,,
21185,,Id:K;KeyCode:65696;Key:Shift LShiftKey,,,,,,,
21216,,Id:K;KeyCode:65696;Key:Shift LShiftKey,,,,,,,
21247,,Id:K;KeyCode:65696;Key:Shift LShiftKey,,,,,,,
21278,,Id:K;KeyCode:65696;Key:Shift LShiftKey,,,,,,,
21309,,Id:K;KeyCode:65696;Key:Shift LShiftKey,781,90,781.76442987873,97.4247428015989,21112.9113,22254.6169,1141.7056
21341,,Id:K;KeyCode:65696;Key:Shift LShiftKey,,,,,,,
21372,,Id:K;KeyCode:65696;Key:Shift LShiftKey,,,,,,,
21403,,Id:K;KeyCode:65696;Key:Shift LShiftKey,,,,,,,
21434,,Id:K;KeyCode:65696;Key:Shift LShiftKey,802.5,95,781.76442987873,97.4247428015989,21112.9113,22254.6169,1141.7056
21470,,Id:K;KeyCode:65696;Key:Shift LShiftKey,,,,,,,
21501,,Id:K;KeyCode:65696;Key:Shift LShiftKey,,,,,,,
21531,,Id:K;KeyCode:65696;Key:Shift LShiftKey,,,,,,,
21563,,Id:K;KeyCode:65696;Key:Shift LShiftKey,,,,,,,
21591,,Id:K;KeyCode:65607;Key:Shift G,,,,,,,
22399,,Id:K;KeyCode:65617;Key:Shift Q,,,,,,,
23546,,Id:K;KeyCode:56;Key:D8,,,,,,,
25143,,Id:M;X:1914;Y:406,,,,,,,
25166,,Id:M;X:1900;Y:406,,,,,,,
25190,,Id:M;X:1885;Y:408,,,,,,,
25214,,Id:M;X:1878;Y:411,,,,,,,
25351,,Id:M;X:1877;Y:412,,,,,,,
25374,,Id:M;X:1876;Y:413,,,,,,,
25398,,Id:M;X:1875;Y:416,,,,,,,
25422,,Id:M;X:1872;Y:421,,,,,,,
25446,,Id:M;X:1871;Y:426,,,,,,,
25470,,Id:M;X:1871;Y:435,,,,,,,
25495,,Id:M;X:1870;Y:448,,,,,,,
25519,,Id:M;X:1864;Y:468,,,,,,,
25543,,Id:M;X:1850;Y:496,,,,,,,
25567,,Id:M;X:1831;Y:525,785.5,113,808.60269437402,121.028207921251,25262.7385,25629.3857,366.647199999999
25590,,Id:M;X:1813;Y:553,,,,,,,
25615,,Id:M;X:1792;Y:576,,,,,,,
25638,,Id:M;X:1769;Y:597,,,,,,,
25662,,Id:M;X:1747;Y:607,,,,,,,
25687,,Id:M;X:1729;Y:609,,,,,,,
25710,,Id:M;X:1705;Y:603,,,,,,,
25735,,Id:M;X:1668;Y:591,,,,,,,
25759,,Id:M;X:1616;Y:570,,,,,,,
25783,,Id:M;X:1537;Y:540,,,,,,,
25806,,Id:M;X:1462;Y:503,,,,,,,
25830,,Id:M;X:1389;Y:465,,,,,,,
25855,,Id:M;X:1302;Y:421,,,,,,,
25878,,Id:M;X:1238;Y:382,,,,,,,
25902,,Id:M;X:1190;Y:347,,,,,,,
25927,,Id:M;X:1140;Y:304,,,,,,,
25951,,Id:M;X:1110;Y:272,,,,,,,
25974,,Id:M;X:1087;Y:242,,,,,,,
25999,,Id:M;X:1066;Y:213,,,,,,,
26022,,Id:M;X:1046;Y:187,,,,,,,
26046,,Id:M;X:1029;Y:164,,,,,,,
26070,,Id:M;X:1017;Y:139,,,,,,,
26094,,Id:M;X:1013;Y:117,,,,,,,
26118,,Id:M;X:1013;Y:98,,,,,,,
26143,,Id:M;X:1010;Y:77,,,,,,,
