Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
16,,Id:M;X:960;Y:540,,,,,,,
40,,Id:M;X:959;Y:539,,,,,,,
69,,Id:M;X:959;Y:537,,,,,,,
97,,Id:M;X:958;Y:536,,,,,,,
121,,Id:M;X:958;Y:534,1055.5,563,,,,,
144,,Id:M;X:955;Y:530,,,,,,,
169,,Id:M;X:945;Y:516,,,,,,,
192,,Id:M;X:931;Y:506,,,,,,,
217,,Id:M;X:918;Y:496,,,,,,,
241,,Id:M;X:906;Y:487,,,,,,,
265,,Id:M;X:898;Y:475,,,,,,,
289,,Id:M;X:888;Y:462,,,,,,,
313,,Id:M;X:883;Y:450,858.5,539.5,854.191735884971,531.592787617752,283.3114,479.2034,195.892
336,,Id:M;X:890;Y:441,,,,,,,
424,,Id:M;X:897;Y:443,,,,,,,
448,,Id:M;X:911;Y:444,,,,,,,
472,,Id:M;X:919;Y:446,,,,,,,
496,,Id:M;X:923;Y:445,941.5,542.5,,,,,
536,,Id:M;X:923;Y:445,,,,,,,
568,,Id:M;X:923;Y:447,,,,,,,
593,,Id:M;X:925;Y:447,,,,,,,
641,,Id:M;X:926;Y:447,,,,,,,
673,,Id:M;X:927;Y:447,,,,,,,
712,,Id:M;X:927;Y:446,,,,,,,
736,,Id:M;X:927;Y:445,,,,,,,
760,,Id:M;X:924;Y:441,,,,,,,
784,,Id:M;X:920;Y:439,,,,,,,
15012,,Id:K;KeyCode:20;Key:Capital,,,,,,,
15658,,Id:K;KeyCode:73;Key:I,,,,,,,
15966,,Id:K;KeyCode:67;Key:C,,,,,,,
16983,,Id:K;KeyCode:97;Key:NumPad1,,,,,,,
17316,,Id:K;KeyCode:103;Key:NumPad7,,,,,,,
18257,,Id:M;X:920;Y:438,,,,,,,
18281,,Id:M;X:917;Y:435,,,,,,,
18304,,Id:M;X:890;Y:423,994,219.5,994.563226772314,228.263050340091,18166.1018,18324.441,158.339199999999
18329,,Id:M;X:809;Y:376,1009.5,226.5,,,,,
18353,,Id:M;X:730;Y:295,,,,,,,
18377,,Id:M;X:673;Y:204,,,,,,,
18401,,Id:M;X:661;Y:128,,,,,,,
18425,,Id:M;X:669;Y:84,,,,,,,
18449,,Id:M;X:669;Y:75,,,,,,,
18481,,Id:M;X:669;Y:75,,,,,,,
18616,,Id:M;X:669;Y:75,,,,,,,
18640,,Id:M;X:676;Y:81,,,,,,,
18665,,Id:M;X:691;Y:97,,,,,,,
18689,,Id:M;X:697;Y:109,,,,,,,
18713,,Id:M;X:703;Y:115,,,,,,,
18736,,Id:M;X:707;Y:118,,,,,,,
18760,,Id:M;X:712;Y:122,,,,,,,
18785,,Id:M;X:717;Y:128,,,,,,,
18817,,Id:M;X:720;Y:131,,,,,,,
18849,,Id:M;X:720;Y:131,,,,,,,
18873,,Id:M;X:721;Y:131,,,,,,,
18897,,Id:M;X:726;Y:132,,,,,,,
18921,,Id:M;X:740;Y:138,,,,,,,
18945,,Id:M;X:751;Y:140,769,138.5,774.811189402564,125.836469168202,18366.1106,19357.785,991.6744
18968,,Id:M;X:757;Y:140,,,,,,,
18992,,Id:M;X:767;Y:142,,,,,,,
19016,,Id:M;X:776;Y:142,,,,,,,
19040,,Id:M;X:779;Y:141,,,,,,,
19121,,Id:M;X:779;Y:141;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
19249,,Id:M;X:779;Y:141;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
19408,,Id:M;X:780;Y:141,,,,,,,
