Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
93,,Id:M;X:960;Y:540,,,,,,,
125,,Id:M;X:959;Y:540,851.5,396.5,847.660992844537,431.221840033997,62.2151,403.8767,341.6616
589,,Id:M;X:958;Y:540,,,,,,,
4460,,Id:M;X:959;Y:539,,,,,,,
4485,,Id:M;X:972;Y:531,,,,,,,
4509,,Id:M;X:1015;Y:504,,,,,,,
4533,,Id:M;X:1051;Y:475,805,144,811.607471426666,123.204738247502,4262.2647,4703.9295,441.664800000001
4557,,Id:M;X:1055;Y:458,,,,,,,
4581,,Id:M;X:1059;Y:450,,,,,,,
4605,,Id:M;X:1079;Y:440,,,,,,,
4629,,Id:M;X:1091;Y:436,,,,,,,
4653,,Id:M;X:1092;Y:436,,,,,,,
4676,,Id:M;X:1103;Y:430,,,,,,,
4700,,Id:M;X:1115;Y:404,810.5,111,811.607471426666,123.204738247502,4262.2647,4703.9295,441.664800000001
4724,,Id:M;X:1112;Y:364,,,,,,,
4748,,Id:M;X:1089;Y:307,,,,,,,
4772,,Id:M;X:1045;Y:227,,,,,,,
4797,,Id:M;X:996;Y:163,,,,,,,
4820,,Id:M;X:964;Y:120,,,,,,,
4844,,Id:M;X:944;Y:89,,,,,,,
4869,,Id:M;X:936;Y:76,,,,,,,
4917,,Id:M;X:934;Y:75,1071.5,180,1067.8902962347,165.571171672066,4753.9647,4945.6407,191.675999999999
4943,,Id:M;X:933;Y:71,,,,,,,
4965,,Id:M;X:932;Y:68,,,,,,,
4998,,Id:M;X:931;Y:67,,,,,,,
5021,,Id:M;X:931;Y:71,,,,,,,
5045,,Id:M;X:930;Y:88,,,,,,,
5069,,Id:M;X:931;Y:96,,,,,,,
5093,,Id:M;X:933;Y:101,,,,,,,
5128,,Id:M;X:935;Y:105,,,,,,,
5254,,Id:M;X:935;Y:105,,,,,,,
5277,,Id:M;X:943;Y:115,,,,,,,
5300,,Id:M;X:948;Y:126,876.5,111.5,869.962279094036,103.644572478891,4978.9407,5470.6535,491.7128
5324,,Id:M;X:951;Y:131,,,,,,,
5439,,Id:M;X:952;Y:131,,,,,,,
5469,,Id:M;X:953;Y:132,,,,,,,
5525,,Id:M;X:953;Y:132;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,953,87.5,943.222016048367,100.644510762034,5520.6287,5728.9647,208.336
5661,,Id:M;X:953;Y:132;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
8256,,Id:K;KeyCode:161;Key:RShiftKey,,,,,,,
8456,,Id:K;KeyCode:65612;Key:Shift L,,,,,,,
8942,,Id:K;KeyCode:65603;Key:Shift C,,,,,,,
10035,,Id:K;KeyCode:8;Key:Back,,,,,,,
10163,,Id:K;KeyCode:8;Key:Back,,,,,,,
11152,,Id:K;KeyCode:76;Key:L,,,,,,,
12100,,Id:K;KeyCode:67;Key:C,775,124.5,765.570676167955,123.4584541155,9404.0607,12420.8191,3016.7584
13160,,Id:K;KeyCode:102;Key:NumPad6,,,,,,,
13475,,Id:K;KeyCode:104;Key:NumPad8,,,,,,,
13804,,Id:K;KeyCode:102;Key:NumPad6,,,,,,,
14797,,Id:M;X:953;Y:133,,,,,,,
14821,,Id:M;X:966;Y:163,,,,,,,
14845,,Id:M;X:971;Y:170,,,,,,,
14869,,Id:M;X:972;Y:172,,,,,,,
14893,,Id:M;X:973;Y:177,,,,,,,
14933,,Id:M;X:974;Y:179,,,,,,,
14964,,Id:M;X:974;Y:182,,,,,,,
14989,,Id:M;X:974;Y:192,,,,,,,
15012,,Id:M;X:974;Y:195,,,,,,,
15156,,Id:M;X:974;Y:198,,,,,,,
15203,,Id:M;X:974;Y:199,931,169,935.066176372444,178.209029698691,14915.2895,15948.6623,1033.3728
15229,,Id:M;X:974;Y:202,,,,,,,
15252,,Id:M;X:974;Y:205,,,,,,,
15276,,Id:M;X:972;Y:209,,,,,,,
15308,,Id:M;X:970;Y:211,,,,,,,
15332,,Id:M;X:969;Y:215,,,,,,,
15356,,Id:M;X:968;Y:216,,,,,,,
15604,,Id:M;X:968;Y:216;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
15757,,Id:M;X:968;Y:216;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
15909,,Id:M;X:968;Y:216,,,,,,,
15933,,Id:M;X:983;Y:219,,,,,,,
15957,,Id:M;X:1001;Y:223,,,,,,,
15981,,Id:M;X:1041;Y:231,,,,,,,
16004,,Id:M;X:1081;Y:243,,,,,,,
16030,,Id:M;X:1117;Y:254,,,,,,,
16052,,Id:M;X:1178;Y:267,,,,,,,
16077,,Id:M;X:1221;Y:283,,,,,,,
16107,,Id:M;X:1269;Y:297,,,,,,,
16132,,Id:M;X:1315;Y:310,,,,,,,
16156,,Id:M;X:1372;Y:330,,,,,,,
16186,,Id:M;X:1413;Y:348,695.5,307,,,,,
16213,,Id:M;X:1442;Y:367,,,,,,,
16237,,Id:M;X:1492;Y:396,,,,,,,
16263,,Id:M;X:1532;Y:418,,,,,,,
16285,,Id:M;X:1591;Y:451,,,,,,,
16309,,Id:M;X:1645;Y:478,,,,,,,
16333,,Id:M;X:1684;Y:492,,,,,,,
16357,,Id:M;X:1725;Y:509,,,,,,,
16381,,Id:M;X:1768;Y:528,,,,,,,
16405,,Id:M;X:1774;Y:531,,,,,,,
16428,,Id:M;X:1785;Y:540,479,277.5,473.644679800253,290.72979202107,16390.3055,16540.3023,149.996799999997
16460,,Id:M;X:1786;Y:545,,,,,,,
60888,,Id:M;X:1785;Y:545,1108.5,749.5,1112.06642114725,748.89999956365,60849.9935,60983.3375,133.344000000005
60909,,Id:M;X:1759;Y:551,,,,,,,
60932,,Id:M;X:1722;Y:556,,,,,,,
60957,,Id:M;X:1655;Y:565,,,,,,,
60981,,Id:M;X:1531;Y:565,,,,,,,
61004,,Id:M;X:1382;Y:565,1006.5,774,,,,,
61028,,Id:M;X:1219;Y:565,,,,,,,
61052,,Id:M;X:1046;Y:550,,,,,,,
61076,,Id:M;X:888;Y:529,,,,,,,
61100,,Id:M;X:780;Y:521,,,,,,,
61124,,Id:M;X:676;Y:532,,,,,,,
61168,,Id:M;X:573;Y:541,,,,,,,
61189,,Id:M;X:319;Y:541,,,,,,,
61213,,Id:M;X:145;Y:543,,,,,,,
61239,,Id:M;X:1;Y:574,,,,,,,
61261,,Id:M;X:-41;Y:609,,,,,,,
61285,,Id:M;X:-44;Y:661,,,,,,,
61313,,Id:M;X:-37;Y:694,,,,,,,
61341,,Id:M;X:-34;Y:780,,,,,,,
61365,,Id:M;X:-30;Y:839,,,,,,,
61392,,Id:M;X:-18;Y:871,,,,,,,
61421,,Id:M;X:-5;Y:934,842,862.5,834.791593811775,865.895760176676,61233.3247,61441.6895,208.364799999996
61445,,Id:M;X:0;Y:945,,,,,,,
61475,,Id:M;X:8;Y:947,,,,,,,
61500,,Id:M;X:40;Y:950,,,,,,,
61524,,Id:M;X:44;Y:950,,,,,,,
61548,,Id:M;X:46;Y:950,,,,,,,
61572,,Id:M;X:50;Y:949,,,,,,,
61597,,Id:M;X:69;Y:944,,,,,,,
61634,,Id:M;X:101;Y:943,,,,,,,
61661,,Id:M;X:242;Y:1053,,,,,,,
61685,,Id:M;X:295;Y:1097,,,,,,,
61707,,Id:M;X:310;Y:1089,,,,,,,
61733,,Id:M;X:362;Y:1104,,,,,,,
61757,,Id:M;X:433;Y:1091,,,,,,,
61781,,Id:M;X:482;Y:1092,,,,,,,
61805,,Id:M;X:492;Y:1080,,,,,,,
61829,,Id:M;X:494;Y:1080,1078,876.5,1069.60963395225,879.022118450322,61666.6639,61866.7047,200.040800000003
61850,,Id:M;X:494;Y:1080,,,,,,,
61877,,Id:M;X:501;Y:1084,,,,,,,
61901,,Id:M;X:504;Y:1082,,,,,,,
61932,,Id:M;X:506;Y:1082,,,,,,,
61956,,Id:M;X:515;Y:1080,,,,,,,
62021,,Id:M;X:518;Y:1079,960,872.5,957.916702069957,877.551900551203,61891.6655,62183.3415,291.675999999992
62109,,Id:M;X:518;Y:1079,,,,,,,
62133,,Id:M;X:517;Y:1079,,,,,,,
62154,,Id:M;X:517;Y:1080,947,884,957.916702069957,877.551900551203,61891.6655,62183.3415,291.675999999992
62181,,Id:M;X:514;Y:1079,,,,,,,
62205,,Id:M;X:511;Y:1079,,,,,,,
62228,,Id:M;X:510;Y:1082,,,,,,,
62249,,Id:M;X:510;Y:1083,,,,,,,
62276,,Id:M;X:512;Y:1086,,,,,,,
62301,,Id:M;X:523;Y:1086,,,,,,,
62328,,Id:M;X:538;Y:1086,,,,,,,
62349,,Id:M;X:618;Y:1088,,,,,,,
62373,,Id:M;X:737;Y:1082,,,,,,,
62413,,Id:M;X:850;Y:1079,,,,,,,
62437,,Id:M;X:908;Y:1079,,,,,,,
62460,,Id:M;X:913;Y:1075,,,,,,,
62492,,Id:M;X:913;Y:1061,,,,,,,
62517,,Id:M;X:909;Y:1036,,,,,,,
62540,,Id:M;X:906;Y:1027,,,,,,,
62583,,Id:M;X:904;Y:1020,,,,,,,
62604,,Id:M;X:902;Y:1006,918.5,784.5,915.185772969081,783.207417569964,62525.0167,62733.3927,208.375999999997
62629,,Id:M;X:902;Y:1003,913,786,915.185772969081,783.207417569964,62525.0167,62733.3927,208.375999999997
62725,,Id:M;X:902;Y:1003,,,,,,,
62892,,Id:M;X:902;Y:1003;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:120;Button:0,,,,,,,
62949,,Id:M;X:902;Y:1003;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:120;Button:0,,,,,,,
63157,,Id:M;X:902;Y:1003;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:120;Button:0,,,,,,,
63300,,Id:M;X:902;Y:1002,,,,,,,
63538,,Id:M;X:902;Y:1002;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
63581,,Id:M;X:902;Y:1002;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
63629,,Id:M;X:902;Y:1002;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
63805,,Id:M;X:902;Y:1001,,,,,,,
63908,,Id:M;X:903;Y:1001,,,,,,,
63940,,Id:M;X:904;Y:1001,,,,,,,
63973,,Id:M;X:906;Y:1002,,,,,,,
64005,,Id:M;X:906;Y:1003,,,,,,,
64189,,Id:M;X:908;Y:1004,,,,,,,
64210,,Id:M;X:899;Y:1004,,,,,,,
64236,,Id:M;X:879;Y:1004,917.5,429,923.075550247543,411.245762443977,64073.7239,64265.3551,191.631200000003
64404,,Id:M;X:876;Y:1004,,,,,,,
64429,,Id:M;X:876;Y:1001,,,,,,,
64453,,Id:M;X:876;Y:996,813.5,574.5,807.645509709856,561.832324669555,64407.0263,64640.3623,233.335999999996
64477,,Id:M;X:875;Y:994,,,,,,,
64501,,Id:M;X:874;Y:991,,,,,,,
64549,,Id:M;X:873;Y:988,,,,,,,
64573,,Id:M;X:873;Y:987,,,,,,,
64599,,Id:M;X:873;Y:984,,,,,,,
64620,,Id:M;X:873;Y:981,799.5,562.5,807.645509709856,561.832324669555,64407.0263,64640.3623,233.335999999996
64644,,Id:M;X:873;Y:977,777.5,557.5,,,,,
64670,,Id:M;X:873;Y:976,750,586,763,574.966666666667,64657.0943,64782.0439,124.949600000007
64692,,Id:M;X:873;Y:975,,,,,,,
64716,,Id:M;X:873;Y:975,,,,,,,
64750,,Id:M;X:873;Y:973,,,,,,,
64780,,Id:M;X:873;Y:972,,,,,,,
64805,,Id:M;X:873;Y:970,,,,,,,
64845,,Id:M;X:872;Y:969,,,,,,,
64869,,Id:M;X:870;Y:966,,,,,,,
64893,,Id:M;X:867;Y:964,,,,,,,
64917,,Id:M;X:862;Y:960,,,,,,,
64949,,Id:M;X:861;Y:959,,,,,,,
65109,,Id:M;X:860;Y:959,,,,,,,
65140,,Id:M;X:854;Y:959,,,,,,,
65164,,Id:M;X:841;Y:964,,,,,,,
65188,,Id:M;X:838;Y:966,,,,,,,
65215,,Id:M;X:838;Y:966,,,,,,,
65236,,Id:M;X:836;Y:967,479,715.5,,,,,
65294,,Id:M;X:835;Y:967,376.5,686,,,,,
65373,,Id:M;X:832;Y:968,,,,,,,
65397,,Id:M;X:834;Y:965,,,,,,,
65421,,Id:M;X:834;Y:959,,,,,,,
65450,,Id:M;X:834;Y:951,,,,,,,
65477,,Id:M;X:834;Y:944,,,,,,,
65501,,Id:M;X:834;Y:940,,,,,,,
65524,,Id:M;X:834;Y:938,,,,,,,
65551,,Id:M;X:834;Y:936,,,,,,,
65573,,Id:M;X:834;Y:935,,,,,,,
65613,,Id:M;X:834;Y:935,,,,,,,
65636,,Id:M;X:834;Y:934,397.5,701.5,,,,,
70597,,Id:M;X:834;Y:934;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
71973,,Id:M;X:834;Y:934;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
72216,,Id:M;X:834;Y:934;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
84172,,Id:M;X:834;Y:934;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
85558,,Id:M;X:834;Y:934;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
85756,,Id:M;X:834;Y:934;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
86069,,Id:M;X:835;Y:933,,,,,,,
86093,,Id:M;X:851;Y:935,,,,,,,
86117,,Id:M;X:872;Y:937,,,,,,,
86140,,Id:M;X:894;Y:940,,,,,,,
86164,,Id:M;X:896;Y:940,,,,,,,
86188,,Id:M;X:908;Y:941,882,866,,,,,
