Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
2602,,Id:M;X:960;Y:541,,,,,,,
2635,,Id:M;X:960;Y:523,,,,,,,
2658,,Id:M;X:976;Y:425,,,,,,,
2683,,Id:M;X:986;Y:352,,,,,,,
2706,,Id:M;X:986;Y:296,,,,,,,
2730,,Id:M;X:986;Y:264,,,,,,,
2754,,Id:M;X:975;Y:242,,,,,,,
2779,,Id:M;X:964;Y:228,,,,,,,
2803,,Id:M;X:953;Y:218,,,,,,,
2826,,Id:M;X:942;Y:200,1067,259,1051.78344727004,250.134487544074,2705.3324,2913.6436,208.3112
2850,,Id:M;X:939;Y:191,,,,,,,
2890,,Id:M;X:938;Y:186,,,,,,,
2914,,Id:M;X:936;Y:183,,,,,,,
2938,,Id:M;X:934;Y:182,,,,,,,
2962,,Id:M;X:932;Y:181,,,,,,,
2986,,Id:M;X:930;Y:179,,,,,,,
3010,,Id:M;X:927;Y:174,808,157.5,808.697807200421,149.392470548629,2946.9772,3321.9972,375.02
3034,,Id:M;X:927;Y:172,794,172.5,808.697807200421,149.392470548629,2946.9772,3321.9972,375.02
3058,,Id:M;X:925;Y:171,,,,,,,
3122,,Id:M;X:924;Y:169,,,,,,,
3162,,Id:M;X:924;Y:168,,,,,,,
3186,,Id:M;X:923;Y:166,,,,,,,
3210,,Id:M;X:923;Y:165,810.5,153.5,808.697807200421,149.392470548629,2946.9772,3321.9972,375.02
3234,,Id:M;X:923;Y:163,818.5,122.5,808.697807200421,149.392470548629,2946.9772,3321.9972,375.02
3258,,Id:M;X:923;Y:160,,,,,,,
3282,,Id:M;X:923;Y:159,,,,,,,
3306,,Id:M;X:923;Y:157,,,,,,,
3330,,Id:M;X:923;Y:155,,,,,,,
3354,,Id:M;X:923;Y:151,,,,,,,
3394,,Id:M;X:923;Y:148,,,,,,,
3418,,Id:M;X:923;Y:146,949,187,964.823504811031,170.294416281276,3363.666,3522.0172,158.3512
3442,,Id:M;X:924;Y:140,,,,,,,
3466,,Id:M;X:925;Y:136,,,,,,,
3498,,Id:M;X:925;Y:133,,,,,,,
3586,,Id:M;X:925;Y:133;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
3699,,Id:M;X:925;Y:133;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
3843,,Id:M;X:925;Y:133;MouseEvent:WM_RBUTTONDOWN;ScrollDelta:0;Button:0,903.5,155,901.266597285946,149.076911380442,3797.0148,3938.6988,141.684
4002,,Id:M;X:925;Y:133;MouseEvent:WM_RBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
4250,,Id:M;X:925;Y:133,,,,,,,
4282,,Id:M;X:925;Y:136,,,,,,,
4306,,Id:M;X:925;Y:142,,,,,,,
4330,,Id:M;X:926;Y:146,,,,,,,
4354,,Id:M;X:929;Y:150,,,,,,,
4377,,Id:M;X:933;Y:158,,,,,,,
4402,,Id:M;X:939;Y:167,,,,,,,
4427,,Id:M;X:940;Y:171,,,,,,,
4451,,Id:M;X:942;Y:176,988.5,174.5,982.433128356704,198.233018848569,4430.3628,4613.7052,183.3424
4474,,Id:M;X:943;Y:183,,,,,,,
4498,,Id:M;X:944;Y:187,,,,,,,
4522,,Id:M;X:944;Y:197,,,,,,,
4546,,Id:M;X:944;Y:206,,,,,,,
4570,,Id:M;X:944;Y:213,,,,,,,
4595,,Id:M;X:944;Y:219,,,,,,,
4618,,Id:M;X:944;Y:223,959,233,,,,,
4643,,Id:M;X:944;Y:226,953.5,258.5,963.544172971788,301.485328586425,4630.366,6297.0964,1666.7304
4667,,Id:M;X:944;Y:230,,,,,,,
4690,,Id:M;X:946;Y:232,,,,,,,
4714,,Id:M;X:948;Y:235,,,,,,,
4739,,Id:M;X:949;Y:238,,,,,,,
4762,,Id:M;X:949;Y:244,,,,,,,
4786,,Id:M;X:950;Y:248,,,,,,,
4810,,Id:M;X:950;Y:251,957.5,284.5,963.544172971788,301.485328586425,4630.366,6297.0964,1666.7304
4834,,Id:M;X:952;Y:255,953.5,299,963.544172971788,301.485328586425,4630.366,6297.0964,1666.7304
4859,,Id:M;X:954;Y:258,,,,,,,
4898,,Id:M;X:954;Y:258,,,,,,,
4922,,Id:M;X:956;Y:261,,,,,,,
4946,,Id:M;X:957;Y:263,,,,,,,
4970,,Id:M;X:959;Y:267,,,,,,,
4995,,Id:M;X:962;Y:270,,,,,,,
5018,,Id:M;X:963;Y:271,954.5,254,963.544172971788,301.485328586425,4630.366,6297.0964,1666.7304
5043,,Id:M;X:964;Y:271,962,315,963.544172971788,301.485328586425,4630.366,6297.0964,1666.7304
5082,,Id:M;X:966;Y:273,,,,,,,
5106,,Id:M;X:968;Y:274,,,,,,,
5162,,Id:M;X:970;Y:275,,,,,,,
5186,,Id:M;X:973;Y:277,,,,,,,
5210,,Id:M;X:974;Y:279,980.5,317,963.544172971788,301.485328586425,4630.366,6297.0964,1666.7304
5234,,Id:M;X:975;Y:280,,,,,,,
5259,,Id:M;X:976;Y:280,,,,,,,
5418,,Id:M;X:976;Y:281,971.5,303.5,963.544172971788,301.485328586425,4630.366,6297.0964,1666.7304
5442,,Id:M;X:976;Y:282,,,,,,,
5466,,Id:M;X:976;Y:284,,,,,,,
5490,,Id:M;X:977;Y:285,,,,,,,
5602,,Id:M;X:977;Y:286,,,,,,,
5706,,Id:M;X:977;Y:287,,,,,,,
5739,,Id:M;X:977;Y:288,,,,,,,
5786,,Id:M;X:977;Y:290,,,,,,,
5819,,Id:M;X:977;Y:291,,,,,,,
5922,,Id:M;X:977;Y:291,,,,,,,
6290,,Id:M;X:977;Y:291,,,,,,,
6314,,Id:M;X:981;Y:291,,,,,,,
6338,,Id:M;X:997;Y:289,,,,,,,
6363,,Id:M;X:1019;Y:284,,,,,,,
6385,,Id:M;X:1077;Y:270,,,,,,,
6410,,Id:M;X:1170;Y:242,,,,,,,
6434,,Id:M;X:1288;Y:211,,,,,,,
6458,,Id:M;X:1385;Y:187,,,,,,,
6482,,Id:M;X:1433;Y:181,,,,,,,
6507,,Id:M;X:1441;Y:181,,,,,,,
6554,,Id:M;X:1442;Y:181,,,,,,,
