Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
323,,Id:M;X:961;Y:539,,,,,,,
347,,Id:M;X:976;Y:529,,,,,,,
374,,Id:M;X:996;Y:520,,,,,,,
395,,Id:M;X:1029;Y:510,,,,,,,
419,,Id:M;X:1066;Y:502,,,,,,,
443,,Id:M;X:1121;Y:495,,,,,,,
467,,Id:M;X:1191;Y:484,,,,,,,
491,,Id:M;X:1293;Y:479,,,,,,,
515,,Id:M;X:1390;Y:473,,,,,,,
539,,Id:M;X:1471;Y:468,,,,,,,
563,,Id:M;X:1501;Y:450,699.5,1043,,,,,
741,,Id:M;X:1499;Y:447,,,,,,,
763,,Id:M;X:1495;Y:448,857.5,536.5,873.923281361124,542.378617364824,734.016,1059.0304,325.0144
787,,Id:M;X:1519;Y:453,,,,,,,
811,,Id:M;X:1551;Y:451,,,,,,,
835,,Id:M;X:1615;Y:442,,,,,,,
859,,Id:M;X:1651;Y:437,,,,,,,
884,,Id:M;X:1695;Y:431,,,,,,,
907,,Id:M;X:1752;Y:423,,,,,,,
931,,Id:M;X:1820;Y:412,,,,,,,
955,,Id:M;X:1872;Y:407,855,550.5,873.923281361124,542.378617364824,734.016,1059.0304,325.0144
1147,,Id:M;X:1881;Y:404,,,,,,,
1171,,Id:M;X:1882;Y:401,,,,,,,
1195,,Id:M;X:1892;Y:395,,,,,,,
1219,,Id:M;X:1906;Y:387,,,,,,,
1243,,Id:M;X:1923;Y:378,,,,,,,
1267,,Id:M;X:1921;Y:374,,,,,,,
1291,,Id:M;X:1920;Y:371,,,,,,,
1315,,Id:M;X:1920;Y:369,,,,,,,
3707,,Id:M;X:1919;Y:367,,,,,,,
3731,,Id:M;X:1885;Y:303,,,,,,,
3755,,Id:M;X:1800;Y:196,772.5,118,775.234273331829,98.7855507365652,3075.7224,4475.7752,1400.0528
3781,,Id:M;X:1718;Y:105,,,,,,,
3803,,Id:M;X:1652;Y:31,,,,,,,
3827,,Id:M;X:1570;Y:-29,,,,,,,
3851,,Id:M;X:1520;Y:-37,,,,,,,
3875,,Id:M;X:1462;Y:-38,,,,,,,
3899,,Id:M;X:1385;Y:-29,,,,,,,
3923,,Id:M;X:1297;Y:-12,,,,,,,
3948,,Id:M;X:1245;Y:-8,,,,,,,
3971,,Id:M;X:1196;Y:-5,,,,,,,
3995,,Id:M;X:1170;Y:0,,,,,,,
4016,,Id:M;X:1161;Y:-2,,,,,,,
4043,,Id:M;X:1158;Y:0,,,,,,,
4071,,Id:M;X:1156;Y:-1,,,,,,,
4092,,Id:M;X:1123;Y:-8,,,,,,,
4115,,Id:M;X:1051;Y:-11,,,,,,,
4139,,Id:M;X:1020;Y:0,,,,,,,
4163,,Id:M;X:992;Y:5,776.5,78,775.234273331829,98.7855507365652,3075.7224,4475.7752,1400.0528
4184,,Id:M;X:984;Y:11,,,,,,,
4211,,Id:M;X:983;Y:18,,,,,,,
4235,,Id:M;X:983;Y:34,,,,,,,
4259,,Id:M;X:983;Y:58,,,,,,,
4284,,Id:M;X:983;Y:78,,,,,,,
4307,,Id:M;X:985;Y:101,,,,,,,
4332,,Id:M;X:986;Y:114,,,,,,,
4355,,Id:M;X:987;Y:117,771.5,75,775.234273331829,98.7855507365652,3075.7224,4475.7752,1400.0528
4403,,Id:M;X:987;Y:118,,,,,,,
4427,,Id:M;X:987;Y:120,,,,,,,
4451,,Id:M;X:987;Y:126,,,,,,,
4479,,Id:M;X:987;Y:134,,,,,,,
4500,,Id:M;X:986;Y:138,,,,,,,
4748,,Id:M;X:986;Y:138;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
4828,,Id:M;X:986;Y:138;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
7459,,Id:K;KeyCode:77;Key:M,,,,,,,
7954,,Id:K;KeyCode:76;Key:L,769.5,77.5,771.226300536173,75.2692492028919,7682.8168,8324.4624,641.6456
10060,,Id:K;KeyCode:52;Key:D4,,,,,,,
10468,,Id:K;KeyCode:50;Key:D2,,,,,,,
11002,,Id:K;KeyCode:55;Key:D7,,,,,,,
12259,,Id:M;X:985;Y:138,,,,,,,
12283,,Id:M;X:978;Y:138,,,,,,,
12348,,Id:M;X:975;Y:141,,,,,,,
12372,,Id:M;X:969;Y:159,,,,,,,
12400,,Id:M;X:966;Y:176,,,,,,,
12486,,Id:M;X:964;Y:184,,,,,,,
12507,,Id:M;X:960;Y:192,,,,,,,
12531,,Id:M;X:950;Y:216,,,,,,,
12570,,Id:M;X:942;Y:235,,,,,,,
12603,,Id:M;X:940;Y:237,,,,,,,
12740,,Id:M;X:940;Y:237;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
12835,,Id:M;X:940;Y:237;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
13107,,Id:M;X:941;Y:238,,,,,,,
13131,,Id:M;X:946;Y:241,,,,,,,
13167,,Id:M;X:954;Y:245,,,,,,,
13195,,Id:M;X:970;Y:254,964,219.5,,,,,
13219,,Id:M;X:983;Y:260,,,,,,,
13249,,Id:M;X:1002;Y:266,,,,,,,
13275,,Id:M;X:1033;Y:275,,,,,,,
13299,,Id:M;X:1059;Y:286,,,,,,,
13326,,Id:M;X:1077;Y:292,,,,,,,
13347,,Id:M;X:1122;Y:309,,,,,,,
13371,,Id:M;X:1162;Y:323,738,419.5,,,,,
13395,,Id:M;X:1199;Y:339,553.5,237.5,,,,,
13419,,Id:M;X:1230;Y:352,,,,,,,
13444,,Id:M;X:1249;Y:366,,,,,,,
13467,,Id:M;X:1258;Y:373,,,,,,,
13493,,Id:M;X:1261;Y:377,,,,,,,
13515,,Id:M;X:1272;Y:387,,,,,,,
13539,,Id:M;X:1289;Y:394,,,,,,,
13562,,Id:M;X:1302;Y:398,363.5,132.5,,,,,
13587,,Id:M;X:1333;Y:404,353.5,132.5,360.121129047941,117.887209538009,13566.3072,13732.9496,166.642400000001
13611,,Id:M;X:1354;Y:410,,,,,,,
13639,,Id:M;X:1370;Y:411,,,,,,,
13667,,Id:M;X:1421;Y:414,,,,,,,
13702,,Id:M;X:1458;Y:414,,,,,,,
13723,,Id:M;X:1498;Y:407,,,,,,,
13747,,Id:M;X:1522;Y:402,,,,,,,
13778,,Id:M;X:1533;Y:400,,,,,,,
13803,,Id:M;X:1557;Y:398,,,,,,,
13827,,Id:M;X:1579;Y:401,,,,,,,
13863,,Id:M;X:1607;Y:406,,,,,,,
13891,,Id:M;X:1651;Y:414,,,,,,,
13915,,Id:M;X:1661;Y:417,,,,,,,
13945,,Id:M;X:1664;Y:419,237.5,96,271.842507555775,124.906348498981,13749.6424,14007.976,258.3336
13971,,Id:M;X:1669;Y:420,255.5,134,271.842507555775,124.906348498981,13749.6424,14007.976,258.3336
14003,,Id:M;X:1670;Y:420,,,,,,,
14030,,Id:M;X:1673;Y:422,,,,,,,
14051,,Id:M;X:1679;Y:422,,,,,,,
14075,,Id:M;X:1682;Y:424,,,,,,,
14115,,Id:M;X:1683;Y:424,,,,,,,
14147,,Id:M;X:1685;Y:425,,,,,,,
14195,,Id:M;X:1686;Y:425,711.5,54,706.500082287821,77.0668579401347,14082.9608,14216.2944,133.333599999998
26803,,Id:M;X:1685;Y:425,,,,,,,
26827,,Id:M;X:1636;Y:412,,,,,,,
26851,,Id:M;X:1595;Y:402,615.5,202.5,594.22446452978,158.878214030203,26669.2784,26871.6704,202.392000000003
26886,,Id:M;X:1557;Y:401,,,,,,,
26907,,Id:M;X:1513;Y:409,,,,,,,
26931,,Id:M;X:1460;Y:422,,,,,,,
26962,,Id:M;X:1389;Y:446,,,,,,,
26988,,Id:M;X:1173;Y:515,,,,,,,
27011,,Id:M;X:1064;Y:549,,,,,,,
27048,,Id:M;X:1024;Y:572,,,,,,,
27075,,Id:M;X:995;Y:604,,,,,,,
27099,,Id:M;X:973;Y:636,,,,,,,
27130,,Id:M;X:959;Y:654,,,,,,,
27155,,Id:M;X:954;Y:664,,,,,,,
27203,,Id:M;X:955;Y:668,,,,,,,
27278,,Id:M;X:956;Y:668,,,,,,,
27308,,Id:M;X:958;Y:667,,,,,,,
