Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
11,,Id:M;X:960;Y:540,,,,,,,
675,,Id:M;X:964;Y:539,,,,,,,
707,,Id:M;X:965;Y:539,851,551,848.875461562923,531.280900035793,669.2953,1135.9585,466.6632
747,,Id:M;X:965;Y:539,,,,,,,
771,,Id:M;X:965;Y:539,,,,,,,
811,,Id:M;X:962;Y:539,,,,,,,
835,,Id:M;X:962;Y:539,,,,,,,
859,,Id:M;X:962;Y:538,,,,,,,
883,,Id:M;X:962;Y:538,,,,,,,
906,,Id:M;X:961;Y:537,,,,,,,
930,,Id:M;X:960;Y:536,,,,,,,
963,,Id:M;X:958;Y:536,,,,,,,
987,,Id:M;X:958;Y:536,,,,,,,
1071,,Id:M;X:957;Y:536,,,,,,,
4659,,Id:M;X:957;Y:536,,,,,,,
4683,,Id:M;X:956;Y:536,,,,,,,
4875,,Id:M;X:956;Y:536,,,,,,,
4914,,Id:M;X:956;Y:536,,,,,,,
5059,,Id:M;X:956;Y:537,,,,,,,
6091,,Id:M;X:955;Y:537,,,,,,,
11651,,Id:M;X:955;Y:537,,,,,,,
11747,,Id:M;X:955;Y:538,,,,,,,
12755,,Id:M;X:954;Y:538,,,,,,,
13356,,Id:M;X:954;Y:538,856,251.5,833.104154087222,244.724774928712,13285.5689,13452.2329,166.663999999999
13379,,Id:M;X:964;Y:515,,,,,,,
13412,,Id:M;X:988;Y:484,,,,,,,
13435,,Id:M;X:1036;Y:444,,,,,,,
13459,,Id:M;X:1062;Y:423,,,,,,,
13483,,Id:M;X:1078;Y:408,,,,,,,
13507,,Id:M;X:1085;Y:401,,,,,,,
13579,,Id:M;X:1086;Y:405,,,,,,,
13603,,Id:M;X:1030;Y:377,,,,,,,
13629,,Id:M;X:1030;Y:395,,,,,,,
13667,,Id:M;X:1030;Y:395,,,,,,,
13690,,Id:M;X:1026;Y:394,1035.5,225,1034.70334896793,235.908582111557,13493.8953,13752.2617,258.366399999999
13715,,Id:M;X:1008;Y:380,1056.5,209.5,1034.70334896793,235.908582111557,13493.8953,13752.2617,258.366399999999
13742,,Id:M;X:996;Y:359,,,,,,,
13762,,Id:M;X:983;Y:320,,,,,,,
13791,,Id:M;X:976;Y:287,,,,,,,
13819,,Id:M;X:978;Y:258,,,,,,,
13842,,Id:M;X:982;Y:252,,,,,,,
13867,,Id:M;X:985;Y:245,,,,,,,
13923,,Id:M;X:986;Y:245,802,150.5,797.678462068775,132.589917406096,13885.5649,14377.2489,491.683999999998
13963,,Id:M;X:987;Y:245,,,,,,,
13986,,Id:M;X:988;Y:242,,,,,,,
14011,,Id:M;X:992;Y:236,,,,,,,
14035,,Id:M;X:997;Y:224,,,,,,,
14059,,Id:M;X:1001;Y:211,,,,,,,
14083,,Id:M;X:1002;Y:203,,,,,,,
14107,,Id:M;X:1004;Y:195,,,,,,,
14131,,Id:M;X:1007;Y:189,,,,,,,
14155,,Id:M;X:1008;Y:184,,,,,,,
14179,,Id:M;X:1009;Y:180,,,,,,,
14203,,Id:M;X:1011;Y:178,,,,,,,
14227,,Id:M;X:1011;Y:176,,,,,,,
14251,,Id:M;X:1012;Y:175,,,,,,,
14275,,Id:M;X:1012;Y:171,,,,,,,
14299,,Id:M;X:1014;Y:170,,,,,,,
