Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
712,,Id:M;X:960;Y:540,,,,,,,
736,,Id:M;X:964;Y:540,892,520.5,897.564890601891,527.94917710265,664.7519,1014.7383,349.9864
760,,Id:M;X:983;Y:549,,,,,,,
784,,Id:M;X:1024;Y:568,,,,,,,
808,,Id:M;X:1116;Y:602,,,,,,,
832,,Id:M;X:1260;Y:651,,,,,,,
856,,Id:M;X:1394;Y:697,,,,,,,
880,,Id:M;X:1523;Y:726,,,,,,,
904,,Id:M;X:1626;Y:745,,,,,,,
928,,Id:M;X:1688;Y:753,,,,,,,
952,,Id:M;X:1745;Y:764,887,527,897.564890601891,527.94917710265,664.7519,1014.7383,349.9864
976,,Id:M;X:1810;Y:774,,,,,,,
1000,,Id:M;X:1857;Y:774,,,,,,,
1025,,Id:M;X:1895;Y:776,,,,,,,
1048,,Id:M;X:1929;Y:776,,,,,,,
1072,,Id:M;X:1928;Y:772,,,,,,,
1096,,Id:M;X:1926;Y:768,,,,,,,
1121,,Id:M;X:1930;Y:761,,,,,,,
1145,,Id:M;X:1925;Y:757,,,,,,,
1169,,Id:M;X:1920;Y:756,999.5,528,997.631578947368,528.763157894737,1031.4287,1189.7671,158.3384
1305,,Id:M;X:1919;Y:756,,,,,,,
1329,,Id:M;X:1916;Y:756,,,,,,,
1352,,Id:M;X:1903;Y:753,370.5,224,371.2,207.333333333333,1264.7631,1389.7759,125.0128
1376,,Id:M;X:1858;Y:746,,,,,,,
1400,,Id:M;X:1765;Y:727,,,,,,,
1424,,Id:M;X:1663;Y:701,,,,,,,
1448,,Id:M;X:1612;Y:688,,,,,,,
1472,,Id:M;X:1584;Y:684,,,,,,,
1496,,Id:M;X:1570;Y:686,,,,,,,
1520,,Id:M;X:1553;Y:699,,,,,,,
1544,,Id:M;X:1529;Y:723,177,54.5,180.702702702703,62.7702702702703,1423.0975,1731.4063,308.3088
1568,,Id:M;X:1490;Y:754,,,,,,,
1592,,Id:M;X:1460;Y:775,,,,,,,
1616,,Id:M;X:1433;Y:789,,,,,,,
1640,,Id:M;X:1411;Y:795,,,,,,,
1664,,Id:M;X:1394;Y:795,,,,,,,
1689,,Id:M;X:1375;Y:795,,,,,,,
1713,,Id:M;X:1343;Y:794,,,,,,,
1736,,Id:M;X:1310;Y:788,173,57.5,,,,,
1760,,Id:M;X:1278;Y:783,,,,,,,
1784,,Id:M;X:1254;Y:779,,,,,,,
1808,,Id:M;X:1237;Y:776,,,,,,,
1832,,Id:M;X:1226;Y:775,,,,,,,
1856,,Id:M;X:1218;Y:773,,,,,,,
1880,,Id:M;X:1212;Y:772,,,,,,,
15344,,Id:M;X:1210;Y:772,1000.5,222,992.424966023895,211.360002415877,15290.0319,16065.0343,775.002399999999
15368,,Id:M;X:1202;Y:764,,,,,,,
15392,,Id:M;X:1174;Y:751,,,,,,,
15416,,Id:M;X:1137;Y:729,,,,,,,
15440,,Id:M;X:1115;Y:713,,,,,,,
15464,,Id:M;X:1103;Y:706,,,,,,,
15488,,Id:M;X:1098;Y:702,,,,,,,
15512,,Id:M;X:1097;Y:701,,,,,,,
15625,,Id:M;X:1097;Y:700,,,,,,,
15652,,Id:M;X:1099;Y:696,,,,,,,
15673,,Id:M;X:1106;Y:691,,,,,,,
15696,,Id:M;X:1115;Y:685,,,,,,,
15720,,Id:M;X:1128;Y:675,,,,,,,
15744,,Id:M;X:1132;Y:663,983.5,242,992.424966023895,211.360002415877,15290.0319,16065.0343,775.002399999999
15768,,Id:M;X:1127;Y:638,,,,,,,
15792,,Id:M;X:1112;Y:604,,,,,,,
15816,,Id:M;X:1099;Y:572,,,,,,,
15840,,Id:M;X:1075;Y:530,,,,,,,
15865,,Id:M;X:1035;Y:477,,,,,,,
15888,,Id:M;X:1002;Y:446,,,,,,,
15912,,Id:M;X:972;Y:416,,,,,,,
15936,,Id:M;X:945;Y:379,977,216.5,992.424966023895,211.360002415877,15290.0319,16065.0343,775.002399999999
15960,,Id:M;X:925;Y:346,,,,,,,
15984,,Id:M;X:915;Y:319,,,,,,,
16008,,Id:M;X:907;Y:296,,,,,,,
16032,,Id:M;X:906;Y:277,,,,,,,
16056,,Id:M;X:907;Y:263,,,,,,,
16080,,Id:M;X:908;Y:252,,,,,,,
16104,,Id:M;X:910;Y:241,,,,,,,
16128,,Id:M;X:912;Y:233,,,,,,,
16152,,Id:M;X:913;Y:225,,,,,,,
16177,,Id:M;X:913;Y:220,831.5,152,828.270390065029,163.119101480423,16090.0439,16315.0127,224.968799999999
16200,,Id:M;X:913;Y:216,,,,,,,
16224,,Id:M;X:913;Y:214,,,,,,,
16257,,Id:M;X:913;Y:212,,,,,,,
16280,,Id:M;X:913;Y:212,,,,,,,
16304,,Id:M;X:913;Y:210,,,,,,,
16328,,Id:M;X:913;Y:207,,,,,,,
16353,,Id:M;X:913;Y:202,871.5,159.5,875.939662157576,164.909477236364,16331.7119,16623.3743,291.662400000003
16376,,Id:M;X:913;Y:197,,,,,,,
16400,,Id:M;X:914;Y:188,,,,,,,
16424,,Id:M;X:914;Y:180,,,,,,,
16448,,Id:M;X:916;Y:172,,,,,,,
16469,,Id:M;X:917;Y:168,859,118,875.939662157576,164.909477236364,16331.7119,16623.3743,291.662400000003
16496,,Id:M;X:916;Y:160,,,,,,,
16517,,Id:M;X:915;Y:158,,,,,,,
16544,,Id:M;X:913;Y:154,878,161.5,875.939662157576,164.909477236364,16331.7119,16623.3743,291.662400000003
16568,,Id:M;X:911;Y:154,,,,,,,
16632,,Id:M;X:911;Y:154,,,,,,,
16744,,Id:M;X:911;Y:153,875.5,113.5,866.203982233057,120.920605675095,16640.0175,17256.7175,616.699999999997
16773,,Id:M;X:911;Y:151,,,,,,,
16800,,Id:M;X:910;Y:149,,,,,,,
16833,,Id:M;X:910;Y:148,,,,,,,
16856,,Id:M;X:910;Y:148,,,,,,,
16888,,Id:M;X:910;Y:147,,,,,,,
16976,,Id:M;X:910;Y:147;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
17081,,Id:M;X:910;Y:147;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
17088,,Id:M;X:910;Y:147,,,,,,,
19353,,Id:K;KeyCode:82;Key:R,,,,,,,
19818,,Id:K;KeyCode:78;Key:N,,,,,,,
20367,,Id:K;KeyCode:52;Key:D4,,,,,,,
20759,,Id:K;KeyCode:51;Key:D3,,,,,,,
21021,,Id:K;KeyCode:50;Key:D2,,,,,,,
21960,,Id:M;X:909;Y:147,,,,,,,
22408,,Id:M;X:907;Y:146,,,,,,,
22432,,Id:M;X:907;Y:144,,,,,,,
22512,,Id:M;X:907;Y:144,740,148.5,735.299552176315,150.716869563853,22466.3943,23224.7391,758.344799999999
22538,,Id:M;X:911;Y:148,,,,,,,
22561,,Id:M;X:922;Y:161,,,,,,,
22587,,Id:M;X:939;Y:185,755,156,735.299552176315,150.716869563853,22466.3943,23224.7391,758.344799999999
22608,,Id:M;X:956;Y:213,,,,,,,
22632,,Id:M;X:969;Y:240,,,,,,,
22656,,Id:M;X:976;Y:260,,,,,,,
22683,,Id:M;X:977;Y:264,,,,,,,
22704,,Id:M;X:976;Y:264,749,150,735.299552176315,150.716869563853,22466.3943,23224.7391,758.344799999999
22729,,Id:M;X:969;Y:259,735,139,735.299552176315,150.716869563853,22466.3943,23224.7391,758.344799999999
22753,,Id:M;X:953;Y:249,,,,,,,
22777,,Id:M;X:936;Y:241,,,,,,,
22800,,Id:M;X:925;Y:230,,,,,,,
22825,,Id:M;X:917;Y:219,,,,,,,
22849,,Id:M;X:914;Y:217,,,,,,,
22905,,Id:M;X:914;Y:217,,,,,,,
22929,,Id:M;X:915;Y:221,731,137.5,735.299552176315,150.716869563853,22466.3943,23224.7391,758.344799999999
22953,,Id:M;X:917;Y:228,,,,,,,
22976,,Id:M;X:919;Y:231,,,,,,,
23000,,Id:M;X:919;Y:234,,,,,,,
23145,,Id:M;X:919;Y:234;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,728,136,735.299552176315,150.716869563853,22466.3943,23224.7391,758.344799999999
23249,,Id:M;X:919;Y:234;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
23568,,Id:M;X:919;Y:234,,,,,,,
23592,,Id:M;X:921;Y:234,,,,,,,
23616,,Id:M;X:922;Y:234,,,,,,,
23666,,Id:M;X:923;Y:233,,,,,,,
