Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
11,,Id:M;X:1105;Y:578,,,,,,,
31,,Id:M;X:962;Y:541,,,,,,,
55,,Id:M;X:964;Y:544,,,,,,,
79,,Id:M;X:969;Y:548,1096.5,582,1092.33333333333,575.555555555556,8.3354,83.3418,75.0064
103,,Id:M;X:977;Y:555,,,,,,,
127,,Id:M;X:993;Y:567,,,,,,,
151,,Id:M;X:1013;Y:581,,,,,,,
175,,Id:M;X:1032;Y:596,,,,,,,
199,,Id:M;X:1058;Y:610,,,,,,,
223,,Id:M;X:1087;Y:621,,,,,,,
248,,Id:M;X:1107;Y:629,,,,,,,
271,,Id:M;X:1123;Y:634,1057.5,551.5,,,,,
295,,Id:M;X:1134;Y:636,,,,,,,
319,,Id:M;X:1143;Y:636,,,,,,,
343,,Id:M;X:1153;Y:634,,,,,,,
367,,Id:M;X:1158;Y:632,,,,,,,
391,,Id:M;X:1165;Y:632,,,,,,,
415,,Id:M;X:1172;Y:630,,,,,,,
439,,Id:M;X:1177;Y:629,,,,,,,
471,,Id:M;X:1179;Y:629,829.5,509.5,848.104741929463,514.056625936198,466.6762,750.0226,283.3464
496,,Id:M;X:1180;Y:628,859.5,511,848.104741929463,514.056625936198,466.6762,750.0226,283.3464
519,,Id:M;X:1184;Y:628,,,,,,,
543,,Id:M;X:1192;Y:625,,,,,,,
567,,Id:M;X:1206;Y:622,,,,,,,
591,,Id:M;X:1225;Y:619,,,,,,,
615,,Id:M;X:1247;Y:615,,,,,,,
639,,Id:M;X:1264;Y:611,,,,,,,
663,,Id:M;X:1277;Y:606,,,,,,,
687,,Id:M;X:1292;Y:602,,,,,,,
711,,Id:M;X:1302;Y:598,,,,,,,
735,,Id:M;X:1307;Y:596,,,,,,,
759,,Id:M;X:1314;Y:595,,,,,,,
783,,Id:M;X:1318;Y:594,,,,,,,
14530,,Id:K;KeyCode:82;Key:R,,,,,,,
14775,,Id:K;KeyCode:83;Key:S,,,,,,,
15438,,Id:K;KeyCode:100;Key:NumPad4,,,,,,,
15652,,Id:K;KeyCode:99;Key:NumPad3,,,,,,,
15856,,Id:K;KeyCode:105;Key:NumPad9,,,,,,,
16647,,Id:M;X:1318;Y:593,,,,,,,
16672,,Id:M;X:1304;Y:586,,,,,,,
16696,,Id:M;X:1277;Y:569,812,162,,,,,
16720,,Id:M;X:1245;Y:544,,,,,,,
16744,,Id:M;X:1231;Y:530,,,,,,,
16767,,Id:M;X:1228;Y:517,,,,,,,
16792,,Id:M;X:1238;Y:496,,,,,,,
16815,,Id:M;X:1246;Y:479,,,,,,,
16839,,Id:M;X:1251;Y:466,,,,,,,
16863,,Id:M;X:1252;Y:453,,,,,,,
16888,,Id:M;X:1254;Y:433,,,,,,,
16912,,Id:M;X:1254;Y:420,887,94.5,,,,,
16936,,Id:M;X:1242;Y:404,,,,,,,
16959,,Id:M;X:1224;Y:395,,,,,,,
16984,,Id:M;X:1216;Y:381,,,,,,,
17007,,Id:M;X:1209;Y:356,,,,,,,
17032,,Id:M;X:1203;Y:335,,,,,,,
17055,,Id:M;X:1197;Y:315,,,,,,,
17080,,Id:M;X:1184;Y:293,,,,,,,
17103,,Id:M;X:1172;Y:277,,,,,,,
17127,,Id:M;X:1163;Y:266,,,,,,,
17151,,Id:M;X:1156;Y:255,,,,,,,
17176,,Id:M;X:1150;Y:249,,,,,,,
17200,,Id:M;X:1145;Y:242,,,,,,,
17223,,Id:M;X:1137;Y:225,,,,,,,
17247,,Id:M;X:1127;Y:201,,,,,,,
17271,,Id:M;X:1112;Y:172,1063.5,155,1055.63766852951,160.149396949836,16974.925,17366.5674,391.642400000001
17295,,Id:M;X:1097;Y:140,,,,,,,
17319,,Id:M;X:1085;Y:115,,,,,,,
17344,,Id:M;X:1075;Y:104,,,,,,,
17376,,Id:M;X:1072;Y:102,,,,,,,
17400,,Id:M;X:1072;Y:106,,,,,,,
17423,,Id:M;X:1071;Y:113,,,,,,,
17448,,Id:M;X:1071;Y:119,,,,,,,
17472,,Id:M;X:1071;Y:124,,,,,,,
17496,,Id:M;X:1072;Y:130,1136.5,72,1088.35903991162,132.4185663828,17433.2394,17699.9058,266.666400000002
17519,,Id:M;X:1072;Y:132,,,,,,,
17632,,Id:M;X:1072;Y:132;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
17759,,Id:M;X:1072;Y:132;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
17809,,Id:M;X:1072;Y:132,,,,,,,
18989,,Id:K;KeyCode:82;Key:R,,,,,,,
19322,,Id:K;KeyCode:83;Key:S,,,,,,,
20348,,Id:K;KeyCode:100;Key:NumPad4,,,,,,,
20663,,Id:K;KeyCode:99;Key:NumPad3,,,,,,,
20892,,Id:K;KeyCode:105;Key:NumPad9,,,,,,,
22583,,Id:M;X:1072;Y:131,,,,,,,
22656,,Id:M;X:1072;Y:131,,,,,,,
22680,,Id:M;X:1074;Y:144,,,,,,,
22703,,Id:M;X:1076;Y:164,,,,,,,
22727,,Id:M;X:1075;Y:173,,,,,,,
22751,,Id:M;X:1075;Y:178,,,,,,,
22776,,Id:M;X:1075;Y:182,,,,,,,
22800,,Id:M;X:1075;Y:184,,,,,,,
22824,,Id:M;X:1075;Y:186,,,,,,,
22847,,Id:M;X:1075;Y:189,,,,,,,
22872,,Id:M;X:1075;Y:194,,,,,,,
22896,,Id:M;X:1074;Y:202,1031.5,209.5,1031.4739455213,199.90937271789,22674.9842,23099.9906,425.006399999998
22919,,Id:M;X:1073;Y:207,,,,,,,
22943,,Id:M;X:1070;Y:214,,,,,,,
22967,,Id:M;X:1070;Y:219,,,,,,,
22992,,Id:M;X:1070;Y:220,,,,,,,
23119,,Id:M;X:1070;Y:220;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
23264,,Id:M;X:1070;Y:220;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
23544,,Id:M;X:1070;Y:220,,,,,,,
54663,,Id:M;X:1069;Y:220,,,,,,,
54688,,Id:M;X:1059;Y:220,,,,,,,
54711,,Id:M;X:1044;Y:221,,,,,,,
54736,,Id:M;X:1028;Y:217,,,,,,,
54759,,Id:M;X:1010;Y:210,,,,,,,
54783,,Id:M;X:996;Y:206,,,,,,,
54807,,Id:M;X:982;Y:206,,,,,,,
54832,,Id:M;X:972;Y:212,,,,,,,
54855,,Id:M;X:966;Y:220,,,,,,,
54880,,Id:M;X:962;Y:232,,,,,,,
54904,,Id:M;X:959;Y:246,,,,,,,
54927,,Id:M;X:945;Y:263,,,,,,,
54951,,Id:M;X:925;Y:282,,,,,,,
54975,,Id:M;X:904;Y:301,,,,,,,
55423,,Id:M;X:897;Y:309,633,527,680.563317855129,447.434713973179,55334.9666,55476.6346,141.668000000005
55448,,Id:M;X:890;Y:329,,,,,,,
55472,,Id:M;X:872;Y:360,,,,,,,
55496,,Id:M;X:859;Y:386,,,,,,,
55520,,Id:M;X:851;Y:412,,,,,,,
55543,,Id:M;X:849;Y:433,,,,,,,
55567,,Id:M;X:849;Y:451,,,,,,,
55591,,Id:M;X:854;Y:467,,,,,,,
55616,,Id:M;X:860;Y:476,,,,,,,
55640,,Id:M;X:867;Y:485,,,,,,,
55664,,Id:M;X:873;Y:491,491,525,515.61162315119,526.251470472288,55559.9834,55751.6586,191.675200000005
55689,,Id:M;X:878;Y:495,540,503,515.61162315119,526.251470472288,55559.9834,55751.6586,191.675200000005
55712,,Id:M;X:882;Y:496,,,,,,,
55735,,Id:M;X:885;Y:497,,,,,,,
55759,,Id:M;X:888;Y:497,,,,,,,
55783,,Id:M;X:892;Y:497,,,,,,,
55808,,Id:M;X:897;Y:497,,,,,,,
55832,,Id:M;X:902;Y:497,,,,,,,
55856,,Id:M;X:904;Y:496,768,432.5,,,,,
55880,,Id:M;X:905;Y:496,,,,,,,
55920,,Id:M;X:906;Y:495,,,,,,,
55952,,Id:M;X:906;Y:495,,,,,,,
56007,,Id:M;X:906;Y:493,,,,,,,
56032,,Id:M;X:906;Y:490,,,,,,,
56063,,Id:M;X:906;Y:488,,,,,,,
56288,,Id:M;X:906;Y:488,,,,,,,
56312,,Id:M;X:906;Y:486,,,,,,,
56336,,Id:M;X:906;Y:484,,,,,,,
56432,,Id:M;X:905;Y:484,,,,,,,
56456,,Id:M;X:899;Y:484,562,530,,,,,
56480,,Id:M;X:882;Y:486,,,,,,,
56503,,Id:M;X:867;Y:487,,,,,,,
56528,,Id:M;X:851;Y:487,,,,,,,
56552,,Id:M;X:840;Y:486,,,,,,,
56576,,Id:M;X:835;Y:484,,,,,,,
56600,,Id:M;X:832;Y:480,,,,,,,
56623,,Id:M;X:829;Y:473,811,540,825.479921545621,540.240262946645,56493.2962,56685.1274,191.831200000001
56647,,Id:M;X:829;Y:468,825,522.5,825.479921545621,540.240262946645,56493.2962,56685.1274,191.831200000001
56672,,Id:M;X:829;Y:464,,,,,,,
56696,,Id:M;X:831;Y:459,,,,,,,
56720,,Id:M;X:835;Y:455,,,,,,,
56744,,Id:M;X:839;Y:451,,,,,,,
56768,,Id:M;X:844;Y:450,,,,,,,
56791,,Id:M;X:849;Y:450,,,,,,,
56816,,Id:M;X:851;Y:450,,,,,,,
56840,,Id:M;X:853;Y:452,,,,,,,
56863,,Id:M;X:856;Y:452,,,,,,,
56896,,Id:M;X:857;Y:453,,,,,,,
56919,,Id:M;X:859;Y:453,,,,,,,
56943,,Id:M;X:860;Y:454,,,,,,,
56968,,Id:M;X:861;Y:455,,,,,,,
56999,,Id:M;X:861;Y:456,,,,,,,
57023,,Id:M;X:862;Y:457,771.5,473.5,,,,,
57064,,Id:M;X:862;Y:458,381,455,,,,,
57103,,Id:M;X:862;Y:458,,,,,,,
57128,,Id:M;X:862;Y:458,,,,,,,
57152,,Id:M;X:861;Y:458,,,,,,,
57175,,Id:M;X:859;Y:458,,,,,,,
57199,,Id:M;X:857;Y:456,,,,,,,
57223,,Id:M;X:854;Y:454,333,540.5,336.723942029494,510.724235700528,57076.7954,57418.4626,341.667199999996
57248,,Id:M;X:851;Y:452,338.5,531.5,336.723942029494,510.724235700528,57076.7954,57418.4626,341.667199999996
57271,,Id:M;X:849;Y:451,,,,,,,
57303,,Id:M;X:847;Y:451,,,,,,,
57328,,Id:M;X:847;Y:452,,,,,,,
57352,,Id:M;X:849;Y:454,,,,,,,
57375,,Id:M;X:850;Y:455,,,,,,,
57400,,Id:M;X:850;Y:456,,,,,,,
57432,,Id:M;X:850;Y:457,,,,,,,
57455,,Id:M;X:850;Y:458,,,,,,,
57480,,Id:M;X:850;Y:460,,,,,,,
57503,,Id:M;X:850;Y:462,,,,,,,
57528,,Id:M;X:850;Y:464,,,,,,,
57552,,Id:M;X:849;Y:466,,,,,,,
57575,,Id:M;X:847;Y:468,,,,,,,
57600,,Id:M;X:845;Y:472,,,,,,,
57623,,Id:M;X:844;Y:474,473,492.5,,,,,
57647,,Id:M;X:842;Y:476,,,,,,,
57671,,Id:M;X:841;Y:477,,,,,,,
57712,,Id:M;X:841;Y:478,,,,,,,
64543,,Id:M;X:841;Y:478;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
73272,,Id:M;X:841;Y:478;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
76480,,Id:M;X:841;Y:478,,,,,,,
76503,,Id:M;X:841;Y:478,,,,,,,
76535,,Id:M;X:841;Y:477,,,,,,,
76559,,Id:M;X:841;Y:477,,,,,,,
76583,,Id:M;X:841;Y:476,,,,,,,
77735,,Id:M;X:841;Y:476,,,,,,,
77768,,Id:M;X:841;Y:474,,,,,,,
77808,,Id:M;X:841;Y:473,,,,,,,
77839,,Id:M;X:841;Y:472,,,,,,,
77880,,Id:M;X:841;Y:470,,,,,,,
90927,,Id:M;X:841;Y:470,,,,,,,
