Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
135,,Id:M;X:962;Y:539,,,,,,,
239,,Id:M;X:963;Y:539,,,,,,,
263,,Id:M;X:965;Y:539,,,,,,,
287,,Id:M;X:966;Y:539,,,,,,,
391,,Id:M;X:967;Y:539,,,,,,,
415,,Id:M;X:968;Y:538,990,519.5,983.75,527.833333333333,278.346,477.9244,199.5784
463,,Id:M;X:969;Y:538,,,,,,,
487,,Id:M;X:969;Y:537,,,,,,,
511,,Id:M;X:971;Y:536,,,,,,,
535,,Id:M;X:973;Y:535,,,,,,,
4063,,Id:M;X:973;Y:535,,,,,,,
4087,,Id:M;X:942;Y:535,,,,,,,
4111,,Id:M;X:914;Y:530,,,,,,,
4135,,Id:M;X:907;Y:528,,,,,,,
4159,,Id:M;X:905;Y:526,,,,,,,
4183,,Id:M;X:904;Y:517,,,,,,,
4207,,Id:M;X:904;Y:444,1006,211.5,1021.96508569297,215.028376031973,4044.6516,4286.31,241.658399999999
4232,,Id:M;X:902;Y:351,1024,207.5,1021.96508569297,215.028376031973,4044.6516,4286.31,241.658399999999
4255,,Id:M;X:901;Y:276,,,,,,,
4279,,Id:M;X:901;Y:242,,,,,,,
4303,,Id:M;X:901;Y:199,,,,,,,
4327,,Id:M;X:903;Y:178,,,,,,,
4583,,Id:M;X:904;Y:175,,,,,,,
4607,,Id:M;X:907;Y:168,850.5,210,853.452830188679,215.367924528302,4344.6756,4786.3332,441.6576
4631,,Id:M;X:909;Y:163,,,,,,,
4655,,Id:M;X:911;Y:156,,,,,,,
4751,,Id:M;X:911;Y:154,,,,,,,
4776,,Id:M;X:914;Y:148,,,,,,,
4799,,Id:M;X:915;Y:144,913,180,,,,,
4911,,Id:M;X:915;Y:143,,,,,,,
4935,,Id:M;X:915;Y:141,,,,,,,
5015,,Id:M;X:916;Y:140,,,,,,,
5039,,Id:M;X:916;Y:140;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
5143,,Id:M;X:916;Y:140;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
5159,,Id:M;X:917;Y:140,,,,,,,
