Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
128,,Id:M;X:960;Y:540,1062.5,557,1098.80459892576,557.927524713568,15.5079,290.4791,274.9712
152,,Id:M;X:961;Y:539,,,,,,,
176,,Id:M;X:963;Y:539,,,,,,,
200,,Id:M;X:964;Y:539,,,,,,,
335,,Id:M;X:965;Y:538,,,,,,,
359,,Id:M;X:965;Y:538,,,,,,,
520,,Id:M;X:966;Y:538,969,522,971.214161261738,521.553547575167,315.4807,557.1495,241.6688
544,,Id:M;X:967;Y:537,,,,,,,
576,,Id:M;X:969;Y:537,,,,,,,
600,,Id:M;X:970;Y:536,,,,,,,
632,,Id:M;X:971;Y:536,,,,,,,
656,,Id:M;X:971;Y:536,,,,,,,
695,,Id:M;X:973;Y:535,871.5,537.5,869.641534892556,532.311977722409,582.1519,1015.5263,433.3744
727,,Id:M;X:973;Y:535,,,,,,,
13783,,Id:M;X:973;Y:533,,,,,,,
13807,,Id:M;X:972;Y:517,,,,,,,
13831,,Id:M;X:970;Y:499,,,,,,,
13856,,Id:M;X:969;Y:476,,,,,,,
13879,,Id:M;X:971;Y:443,,,,,,,
13904,,Id:M;X:976;Y:413,,,,,,,
13928,,Id:M;X:987;Y:385,825,113.5,815.140587215063,133.134684781145,13907.1047,14182.1087,275.004000000001
13952,,Id:M;X:996;Y:361,,,,,,,
13976,,Id:M;X:1004;Y:340,,,,,,,
14000,,Id:M;X:1008;Y:322,,,,,,,
14024,,Id:M;X:1012;Y:296,,,,,,,
14048,,Id:M;X:1017;Y:266,,,,,,,
14071,,Id:M;X:1019;Y:236,,,,,,,
14096,,Id:M;X:1019;Y:206,,,,,,,
14120,,Id:M;X:1017;Y:184,815.5,151.5,815.140587215063,133.134684781145,13907.1047,14182.1087,275.004000000001
14144,,Id:M;X:1014;Y:163,,,,,,,
14167,,Id:M;X:1011;Y:147,,,,,,,
14192,,Id:M;X:1009;Y:132,,,,,,,
14215,,Id:M;X:1008;Y:125,,,,,,,
14240,,Id:M;X:1006;Y:123,,,,,,,
14304,,Id:M;X:1006;Y:123,,,,,,,
14328,,Id:M;X:1005;Y:128,794,100,797.935366226803,109.404291327885,14215.4415,14923.7871,708.345600000001
14352,,Id:M;X:1004;Y:132,,,,,,,
14376,,Id:M;X:1001;Y:137,,,,,,,
14400,,Id:M;X:998;Y:142,,,,,,,
14673,,Id:M;X:997;Y:143;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
14815,,Id:M;X:997;Y:143;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
15120,,Id:M;X:997;Y:143,899.5,176,897.921016562501,187.11046461769,15115.4503,15765.4623,650.011999999999
16377,,Id:K;KeyCode:84;Key:T,,,,,,,
16924,,Id:K;KeyCode:65;Key:A,,,,,,,
17660,,Id:K;KeyCode:102;Key:NumPad6,,,,,,,
