Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
828,,Id:M;X:961;Y:541,,,,,,,
852,,Id:M;X:962;Y:541,,,,,,,
900,,Id:M;X:965;Y:542,,,,,,,
1405,,Id:M;X:965;Y:544,,,,,,,
1429,,Id:M;X:909;Y:560,,,,,,,
1453,,Id:M;X:906;Y:557,,,,,,,
1477,,Id:M;X:904;Y:542,,,,,,,
1813,,Id:M;X:888;Y:533,,,,,,,
1837,,Id:M;X:884;Y:531,,,,,,,
1861,,Id:M;X:882;Y:531,,,,,,,
1884,,Id:M;X:874;Y:525,,,,,,,
1909,,Id:M;X:862;Y:517,,,,,,,
1933,,Id:M;X:766;Y:515,,,,,,,
1957,,Id:M;X:695;Y:528,,,,,,,
1981,,Id:M;X:642;Y:544,188.5,43,180.294427187339,52.833641308267,1909.8234,2043.181,133.3576
2005,,Id:M;X:614;Y:554,,,,,,,
2029,,Id:M;X:596;Y:558,,,,,,,
2053,,Id:M;X:575;Y:564,,,,,,,
2078,,Id:M;X:572;Y:565,,,,,,,
2101,,Id:M;X:569;Y:566,,,,,,,
2125,,Id:M;X:564;Y:567,,,,,,,
8476,,Id:M;X:559;Y:569,,,,,,,
8501,,Id:M;X:545;Y:571,,,,,,,
8813,,Id:M;X:539;Y:572,,,,,,,
8869,,Id:M;X:539;Y:572,,,,,,,
8965,,Id:M;X:540;Y:573,,,,,,,
8989,,Id:M;X:541;Y:573,,,,,,,
9012,,Id:M;X:546;Y:574,,,,,,,
9037,,Id:M;X:557;Y:575,,,,,,,
9061,,Id:M;X:575;Y:575,,,,,,,
9085,,Id:M;X:589;Y:575,,,,,,,
9109,,Id:M;X:594;Y:575,,,,,,,
9133,,Id:M;X:597;Y:575,136.5,16.5,124.472164645595,26.3179251326285,9078.6186,9286.9202,208.301600000001
9157,,Id:M;X:599;Y:574,,,,,,,
9181,,Id:M;X:602;Y:574,,,,,,,
9213,,Id:M;X:605;Y:572,,,,,,,
9237,,Id:M;X:607;Y:571,,,,,,,
9293,,Id:M;X:610;Y:568,,,,,,,
9317,,Id:M;X:615;Y:567,,,,,,,
9340,,Id:M;X:622;Y:566,,,,,,,
9373,,Id:M;X:624;Y:565,,,,,,,
17629,,Id:M;X:626;Y:564,,,,,,,
17700,,Id:M;X:626;Y:564,,,,,,,
17725,,Id:M;X:625;Y:574,,,,,,,
17748,,Id:M;X:622;Y:580,,,,,,,
18621,,Id:M;X:622;Y:580,,,,,,,
28549,,Id:M;X:622;Y:581,,,,,,,
28589,,Id:M;X:624;Y:582,,,,,,,
28613,,Id:M;X:625;Y:583,,,,,,,
38668,,Id:M;X:626;Y:583,,,,,,,
38692,,Id:M;X:706;Y:526,,,,,,,
38717,,Id:M;X:956;Y:326,,,,,,,
38741,,Id:M;X:1314;Y:91,,,,,,,
38765,,Id:M;X:1662;Y:-37,,,,,,,
38789,,Id:M;X:1958;Y:-34,,,,,,,
38813,,Id:M;X:2017;Y:-36,,,,,,,
38837,,Id:M;X:1993;Y:-37,,,,,,,
38861,,Id:M;X:1999;Y:-40,,,,,,,
38885,,Id:M;X:1979;Y:-21,,,,,,,
38909,,Id:M;X:1926;Y:-3,,,,,,,
39036,,Id:M;X:1916;Y:0,1048,141.5,1040.47500158691,142.510095651732,39023.021,39473.0442,450.023200000011
39060,,Id:M;X:1759;Y:0,1034.5,148.5,1040.47500158691,142.510095651732,39023.021,39473.0442,450.023200000011
39085,,Id:M;X:1646;Y:5,,,,,,,
39108,,Id:M;X:1591;Y:33,,,,,,,
39133,,Id:M;X:1541;Y:55,,,,,,,
39157,,Id:M;X:1535;Y:61,,,,,,,
39180,,Id:M;X:1536;Y:65,,,,,,,
39205,,Id:M;X:1512;Y:73,,,,,,,
39229,,Id:M;X:1415;Y:88,,,,,,,
39253,,Id:M;X:1348;Y:118,,,,,,,
39277,,Id:M;X:1334;Y:151,1036,151.5,1040.47500158691,142.510095651732,39023.021,39473.0442,450.023200000011
39301,,Id:M;X:1317;Y:176,,,,,,,
39325,,Id:M;X:1297;Y:187,,,,,,,
39349,,Id:M;X:1292;Y:194,,,,,,,
39373,,Id:M;X:1265;Y:209,,,,,,,
39397,,Id:M;X:1171;Y:224,,,,,,,
39421,,Id:M;X:1142;Y:222,,,,,,,
39445,,Id:M;X:1133;Y:207,,,,,,,
