Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
591,,Id:M;X:959;Y:539,872.5,521.5,865.636393571871,521.371037411941,486.7813,861.7789,374.9976
615,,Id:M;X:952;Y:531,,,,,,,
639,,Id:M;X:940;Y:521,,,,,,,
663,,Id:M;X:925;Y:511,,,,,,,
688,,Id:M;X:910;Y:500,,,,,,,
712,,Id:M;X:896;Y:492,,,,,,,
736,,Id:M;X:879;Y:486,,,,,,,
759,,Id:M;X:865;Y:483,,,,,,,
783,,Id:M;X:848;Y:483,852,498.5,865.636393571871,521.371037411941,486.7813,861.7789,374.9976
807,,Id:M;X:835;Y:483,,,,,,,
831,,Id:M;X:826;Y:483,,,,,,,
855,,Id:M;X:820;Y:484,,,,,,,
887,,Id:M;X:816;Y:485,,,,,,,
14560,,Id:M;X:816;Y:486,,,,,,,
14584,,Id:M;X:814;Y:486,858.5,233.5,870.710016584114,231.762048306688,14554.3877,14871.0405,316.6528
14608,,Id:M;X:812;Y:486,869.5,244.5,870.710016584114,231.762048306688,14554.3877,14871.0405,316.6528
14632,,Id:M;X:811;Y:483,,,,,,,
14656,,Id:M;X:811;Y:460,,,,,,,
14680,,Id:M;X:806;Y:419,,,,,,,
14704,,Id:M;X:799;Y:378,,,,,,,
14728,,Id:M;X:789;Y:314,,,,,,,
14751,,Id:M;X:789;Y:251,,,,,,,
14775,,Id:M;X:789;Y:191,879.5,228.5,870.710016584114,231.762048306688,14554.3877,14871.0405,316.6528
14799,,Id:M;X:787;Y:144,,,,,,,
14823,,Id:M;X:782;Y:107,,,,,,,
14847,,Id:M;X:776;Y:85,,,,,,,
15015,,Id:M;X:775;Y:82,,,,,,,
15039,,Id:M;X:774;Y:85,,,,,,,
15063,,Id:M;X:773;Y:92,,,,,,,
15087,,Id:M;X:771;Y:97,,,,,,,
15111,,Id:M;X:770;Y:102,,,,,,,
15135,,Id:M;X:769;Y:109,,,,,,,
15159,,Id:M;X:769;Y:116,,,,,,,
15183,,Id:M;X:770;Y:123,,,,,,,
15208,,Id:M;X:770;Y:127,798,99.5,800.522411022749,106.670289361508,15071.0501,15579.3853,508.3352
15232,,Id:M;X:771;Y:128,,,,,,,
15303,,Id:M;X:771;Y:130,,,,,,,
15327,,Id:M;X:773;Y:132,,,,,,,
15351,,Id:M;X:774;Y:133,,,,,,,
15424,,Id:M;X:774;Y:134,,,,,,,
15448,,Id:M;X:776;Y:137,,,,,,,
15479,,Id:M;X:777;Y:138,,,,,,,
15511,,Id:M;X:777;Y:138;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
15592,,Id:M;X:777;Y:138;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,811,240,,,,,
16453,,Id:K;KeyCode:162;Key:LControlKey,,,,,,,
16895,,Id:K;KeyCode:131158;Key:Control V,,,,,,,
17495,,Id:M;X:778;Y:139,,,,,,,
17519,,Id:M;X:782;Y:143,,,,,,,
17943,,Id:M;X:783;Y:144,,,,,,,
17967,,Id:M;X:788;Y:150,759,151,783.529629005175,154.600359249407,17296.0821,18321.0957,1025.0136
17991,,Id:M;X:796;Y:160,,,,,,,
18017,,Id:M;X:800;Y:166,781,173,783.529629005175,154.600359249407,17296.0821,18321.0957,1025.0136
18040,,Id:M;X:806;Y:169,,,,,,,
18063,,Id:M;X:812;Y:173,,,,,,,
18089,,Id:M;X:816;Y:177,,,,,,,
18113,,Id:M;X:820;Y:183,,,,,,,
18136,,Id:M;X:823;Y:184,,,,,,,
18160,,Id:M;X:824;Y:186,,,,,,,
18184,,Id:M;X:826;Y:188,787.5,158.5,783.529629005175,154.600359249407,17296.0821,18321.0957,1025.0136
18208,,Id:M;X:828;Y:190,,,,,,,
18279,,Id:M;X:829;Y:190,,,,,,,
18303,,Id:M;X:832;Y:192,,,,,,,
18327,,Id:M;X:835;Y:194,,,,,,,
18351,,Id:M;X:836;Y:195,,,,,,,
18392,,Id:M;X:837;Y:195,935,505,,,,,
18415,,Id:M;X:838;Y:197,,,,,,,
18439,,Id:M;X:840;Y:198,,,,,,,
18463,,Id:M;X:842;Y:200,,,,,,,
18487,,Id:M;X:848;Y:204,,,,,,,
18511,,Id:M;X:851;Y:207,,,,,,,
18535,,Id:M;X:852;Y:210,,,,,,,
18559,,Id:M;X:852;Y:214,,,,,,,
18583,,Id:M;X:852;Y:215,,,,,,,
18608,,Id:M;X:853;Y:218,,,,,,,
18632,,Id:M;X:853;Y:221,,,,,,,
18656,,Id:M;X:853;Y:222,,,,,,,
18704,,Id:M;X:853;Y:222;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
18815,,Id:M;X:853;Y:222;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
19200,,Id:M;X:853;Y:222,443.5,199.5,435.785714285714,202.107142857143,19171.1061,19287.7597,116.653600000005
19240,,Id:M;X:853;Y:222,,,,,,,
19292,,Id:M;X:853;Y:222,441,194.5,,,,,
20015,,Id:M;X:852;Y:222,,,,,,,
20039,,Id:M;X:842;Y:237,,,,,,,
20063,,Id:M;X:829;Y:262,,,,,,,
20087,,Id:M;X:817;Y:296,,,,,,,
20112,,Id:M;X:795;Y:329,,,,,,,
20135,,Id:M;X:777;Y:358,,,,,,,
20159,,Id:M;X:764;Y:387,693,147,,,,,
20183,,Id:M;X:756;Y:405,,,,,,,
20208,,Id:M;X:753;Y:410,,,,,,,
20232,,Id:M;X:752;Y:411,,,,,,,
20256,,Id:M;X:752;Y:411,,,,,,,
20279,,Id:M;X:751;Y:410,,,,,,,
101608,,Id:K;KeyCode:32;Key:Space,,,,,,,
135687,,Id:M;X:751;Y:409,854.5,718.5,854.046875,701.671875,135599.8381,135866.4965,266.658400000015
135711,,Id:M;X:749;Y:405,,,,,,,
136063,,Id:M;X:749;Y:405,,,,,,,
136095,,Id:M;X:747;Y:407,,,,,,,
136119,,Id:M;X:746;Y:408,,,,,,,
136143,,Id:M;X:745;Y:410,,,,,,,
136167,,Id:M;X:743;Y:411,,,,,,,
136191,,Id:M;X:743;Y:411,,,,,,,
136215,,Id:M;X:743;Y:411,,,,,,,
136239,,Id:M;X:742;Y:412,,,,,,,
136263,,Id:M;X:740;Y:414,,,,,,,
136287,,Id:M;X:737;Y:418,291,692,300.612791743327,715.386706711236,136208.1485,136399.8141,191.665600000008
136311,,Id:M;X:731;Y:424,,,,,,,
136336,,Id:M;X:721;Y:436,,,,,,,
136359,,Id:M;X:708;Y:448,,,,,,,
136383,,Id:M;X:695;Y:463,,,,,,,
136407,,Id:M;X:681;Y:475,,,,,,,
136431,,Id:M;X:672;Y:485,,,,,,,
136455,,Id:M;X:664;Y:492,,,,,,,
136479,,Id:M;X:658;Y:498,464,712.5,479.891530653939,720.075887562813,136424.8357,136616.5069,191.671200000012
136503,,Id:M;X:655;Y:502,,,,,,,
136527,,Id:M;X:655;Y:505,,,,,,,
136551,,Id:M;X:655;Y:509,,,,,,,
136575,,Id:M;X:661;Y:514,,,,,,,
136599,,Id:M;X:667;Y:521,,,,,,,
136623,,Id:M;X:677;Y:536,,,,,,,
136649,,Id:M;X:683;Y:553,,,,,,,
136672,,Id:M;X:690;Y:569,,,,,,,
136697,,Id:M;X:693;Y:584,,,,,,,
136719,,Id:M;X:694;Y:597,,,,,,,
136743,,Id:M;X:700;Y:611,,,,,,,
136767,,Id:M;X:708;Y:628,,,,,,,
136791,,Id:M;X:716;Y:645,,,,,,,
136815,,Id:M;X:726;Y:663,,,,,,,
136839,,Id:M;X:742;Y:683,,,,,,,
136863,,Id:M;X:762;Y:706,,,,,,,
136887,,Id:M;X:786;Y:727,996,715.5,1003.29697569971,733.237101459036,136808.1893,137041.4885,233.299200000009
136911,,Id:M;X:810;Y:753,,,,,,,
136935,,Id:M;X:834;Y:775,,,,,,,
136959,,Id:M;X:854;Y:798,,,,,,,
136983,,Id:M;X:871;Y:818,,,,,,,
137007,,Id:M;X:882;Y:833,,,,,,,
137032,,Id:M;X:890;Y:845,,,,,,,
137056,,Id:M;X:900;Y:858,,,,,,,
137079,,Id:M;X:906;Y:865,1031.5,724,1046.53846153846,719.038461538462,137049.8501,137158.1813,108.331200000015
137103,,Id:M;X:911;Y:871,,,,,,,
137127,,Id:M;X:916;Y:873,,,,,,,
137153,,Id:M;X:919;Y:875,,,,,,,
137175,,Id:M;X:922;Y:875,,,,,,,
137199,,Id:M;X:928;Y:875,,,,,,,
137223,,Id:M;X:935;Y:877,,,,,,,
137247,,Id:M;X:944;Y:878,,,,,,,
137271,,Id:M;X:954;Y:880,1382,733.5,1376.90542103334,725.381136718954,137191.5197,137374.8565,183.33679999999
137295,,Id:M;X:961;Y:881,,,,,,,
137323,,Id:M;X:965;Y:882,,,,,,,
138111,,Id:M;X:967;Y:882;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
138287,,Id:M;X:967;Y:882;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,881,866.5,867.368421052632,877.618421052632,138108.1813,138424.8325,316.651199999993
146791,,Id:M;X:967;Y:882;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
149383,,Id:M;X:967;Y:882;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
150096,,Id:M;X:967;Y:882;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
151311,,Id:M;X:967;Y:882;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
152383,,Id:M;X:967;Y:882;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
155432,,Id:M;X:967;Y:882;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
157415,,Id:M;X:967;Y:882;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
160543,,Id:M;X:968;Y:882,,,,,,,
161383,,Id:M;X:968;Y:882;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
162240,,Id:M;X:968;Y:882,,,,,,,
162264,,Id:M;X:969;Y:882,1007.5,873,1003.06818181818,879.409090909091,162243.0437,162426.4021,183.358400000026
