Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
731,,Id:M;X:960;Y:539,,,,,,,
787,,Id:M;X:960;Y:539,,,,,,,
811,,Id:M;X:964;Y:539,,,,,,,
844,,Id:M;X:968;Y:537,,,,,,,
987,,Id:M;X:969;Y:536,,,,,,,
2539,,Id:M;X:969;Y:536,,,,,,,
2563,,Id:M;X:965;Y:536,,,,,,,
2587,,Id:M;X:946;Y:536,,,,,,,
3340,,Id:M;X:921;Y:532,195,54.5,168.875668018661,38.8252482831497,3261.2769,3602.9689,341.692
3364,,Id:M;X:924;Y:532,,,,,,,
3396,,Id:M;X:928;Y:532,,,,,,,
3420,,Id:M;X:927;Y:529,,,,,,,
3476,,Id:M;X:924;Y:528,,,,,,,
3499,,Id:M;X:927;Y:531,186.5,53.5,168.875668018661,38.8252482831497,3261.2769,3602.9689,341.692
6020,,Id:M;X:931;Y:534,,,,,,,
6044,,Id:M;X:935;Y:543,,,,,,,
6068,,Id:M;X:941;Y:563,,,,,,,
6091,,Id:M;X:943;Y:581,259.5,64.5,246.505035439603,60.0521185873015,5662.2089,6320.5217,658.3128
6115,,Id:M;X:945;Y:611,,,,,,,
6139,,Id:M;X:945;Y:641,,,,,,,
6164,,Id:M;X:945;Y:684,,,,,,,
6188,,Id:M;X:945;Y:730,,,,,,,
6212,,Id:M;X:945;Y:768,,,,,,,
6236,,Id:M;X:946;Y:817,,,,,,,
6259,,Id:M;X:950;Y:845,,,,,,,
6283,,Id:M;X:946;Y:859,239,77,246.505035439603,60.0521185873015,5662.2089,6320.5217,658.3128
6307,,Id:M;X:939;Y:864,,,,,,,
6683,,Id:M;X:935;Y:867,788,1047.5,799.960717486876,1051.16155691327,6578.8665,7503.9313,925.0648
6708,,Id:M;X:927;Y:876,806.5,1033.5,799.960717486876,1051.16155691327,6578.8665,7503.9313,925.0648
6732,,Id:M;X:920;Y:889,,,,,,,
6755,,Id:M;X:910;Y:913,,,,,,,
6779,,Id:M;X:904;Y:927,,,,,,,
6804,,Id:M;X:902;Y:935,,,,,,,
6827,,Id:M;X:892;Y:956,,,,,,,
6851,,Id:M;X:877;Y:989,,,,,,,
6876,,Id:M;X:858;Y:1021,,,,,,,
6900,,Id:M;X:840;Y:1051,771,1038,799.960717486876,1051.16155691327,6578.8665,7503.9313,925.0648
6926,,Id:M;X:830;Y:1074,,,,,,,
6948,,Id:M;X:824;Y:1082,,,,,,,
6971,,Id:M;X:818;Y:1080,,,,,,,
6995,,Id:M;X:804;Y:1082,,,,,,,
7020,,Id:M;X:793;Y:1081,,,,,,,
7043,,Id:M;X:784;Y:1079,,,,,,,
7067,,Id:M;X:765;Y:1079,826,1069.5,799.960717486876,1051.16155691327,6578.8665,7503.9313,925.0648
7091,,Id:M;X:741;Y:1081,,,799.960717486876,1051.16155691327,6578.8665,7503.9313,925.0648
7115,,Id:M;X:719;Y:1080,,,,,,,
7139,,Id:M;X:712;Y:1079,,,,,,,
7164,,Id:M;X:709;Y:1079,,,,,,,
7188,,Id:M;X:705;Y:1079,,,,,,,
7211,,Id:M;X:701;Y:1079,,,,,,,
7235,,Id:M;X:700;Y:1079,,,,,,,
7267,,Id:M;X:697;Y:1079,801,1076,799.960717486876,1051.16155691327,6578.8665,7503.9313,925.0648
7292,,Id:M;X:692;Y:1079,,,,,,,
7316,,Id:M;X:690;Y:1079,,,,,,,
7355,,Id:M;X:689;Y:1079,,,,,,,
7379,,Id:M;X:686;Y:1079,,,,,,,
8947,,Id:M;X:684;Y:1079;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
9036,,Id:M;X:684;Y:1079;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
9251,,Id:M;X:683;Y:1079,,,,,,,
9275,,Id:M;X:677;Y:1063,118,7,128.69953147782,32.5173372775298,8887.2713,9287.2833,400.011999999999
9644,,Id:M;X:675;Y:1061,,,,,,,
9667,,Id:M;X:670;Y:1055,620,357.5,611.723028646748,349.184719593155,9328.9721,9937.3369,608.364800000001
9691,,Id:M;X:667;Y:1049,612,366,611.723028646748,349.184719593155,9328.9721,9937.3369,608.364800000001
9715,,Id:M;X:667;Y:1045,,,,,,,
9739,,Id:M;X:663;Y:1035,,,,,,,
9763,,Id:M;X:657;Y:1000,,,,,,,
9788,,Id:M;X:661;Y:895,,,,,,,
9812,,Id:M;X:690;Y:782,,,,,,,
9835,,Id:M;X:709;Y:714,,,,,,,
9859,,Id:M;X:711;Y:687,,,,,,,
9884,,Id:M;X:711;Y:669,,,,,,,
9908,,Id:M;X:707;Y:631,611.5,366.5,611.723028646748,349.184719593155,9328.9721,9937.3369,608.364800000001
9932,,Id:M;X:698;Y:600,,,,,,,
9956,,Id:M;X:693;Y:583,,,,,,,
9979,,Id:M;X:690;Y:570,,,,,,,
10003,,Id:M;X:688;Y:544,,,,,,,
10027,,Id:M;X:688;Y:513,,,,,,,
10051,,Id:M;X:688;Y:487,,,,,,,
10076,,Id:M;X:689;Y:477,,,,,,,
10099,,Id:M;X:689;Y:472,,,,,,,
10243,,Id:M;X:684;Y:474,,,,,,,
10268,,Id:M;X:662;Y:489,,,,,,,
10292,,Id:M;X:654;Y:499,,,,,,,
10363,,Id:M;X:651;Y:501,,,,,,,
10387,,Id:M;X:665;Y:491,,,,,,,
10411,,Id:M;X:703;Y:467,,,,,,,
10435,,Id:M;X:785;Y:433,,,,,,,
10459,,Id:M;X:843;Y:401,,,,,,,
10483,,Id:M;X:909;Y:365,866.5,485,883.660197332717,475.760024243828,10395.6593,10620.6801,225.020800000002
10507,,Id:M;X:985;Y:317,,,,,,,
10531,,Id:M;X:1049;Y:257,,,,,,,
10555,,Id:M;X:1087;Y:198,,,,,,,
10582,,Id:M;X:1105;Y:156,,,,,,,
