Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
185,,Id:M;X:960;Y:540,,,,,,,
217,,Id:M;X:946;Y:541,,,,,,,
793,,Id:M;X:940;Y:543,,,,,,,
817,,Id:M;X:943;Y:534,,,,,,,
842,,Id:M;X:973;Y:535,,,,,,,
866,,Id:M;X:1003;Y:592,,,,,,,
891,,Id:M;X:1005;Y:595,,,,,,,
914,,Id:M;X:1018;Y:598,924.5,711,,,,,
938,,Id:M;X:1027;Y:600,,,,,,,
962,,Id:M;X:1030;Y:600,,,,,,,
1010,,Id:M;X:1031;Y:599,,,,,,,
1034,,Id:M;X:1033;Y:599,,,,,,,
4050,,Id:M;X:1033;Y:597,,,,,,,
4075,,Id:M;X:1008;Y:595,,,,,,,
4097,,Id:M;X:979;Y:586,,,,,,,
4121,,Id:M;X:960;Y:581,,,,,,,
4258,,Id:M;X:957;Y:581,,,,,,,
4586,,Id:M;X:955;Y:581,,,,,,,
18650,,Id:M;X:962;Y:581,,,,,,,
18673,,Id:M;X:1008;Y:551,,,,,,,
18817,,Id:M;X:1005;Y:527,,,,,,,
18841,,Id:M;X:917;Y:430,,,,,,,
18865,,Id:M;X:709;Y:222,861.5,171,862.174737588397,180.55289604445,18844.5105,19061.1745,216.664000000001
18898,,Id:M;X:691;Y:197,,,,,,,
18962,,Id:M;X:693;Y:195,,,,,,,
18994,,Id:M;X:692;Y:195,,,,,,,
19034,,Id:M;X:692;Y:195,,,,,,,
19058,,Id:M;X:710;Y:189,,,,,,,
19082,,Id:M;X:722;Y:185,757,166,,,,,
19111,,Id:M;X:731;Y:177,,,,,,,
19138,,Id:M;X:735;Y:172,,,,,,,
19202,,Id:M;X:737;Y:171,,,,,,,
19226,,Id:M;X:742;Y:170,,,,,,,
19274,,Id:M;X:743;Y:170,759,145,752.150215729243,188.007186467908,19086.1729,19369.5465,283.373600000003
19298,,Id:M;X:747;Y:168,,,,,,,
19322,,Id:M;X:757;Y:166,,,,,,,
19346,,Id:M;X:765;Y:163,,,,,,,
19370,,Id:M;X:772;Y:160,,,,,,,
19391,,Id:M;X:775;Y:160,,,,,,,
19426,,Id:M;X:778;Y:159,,,,,,,
19451,,Id:M;X:781;Y:159,,,,,,,
19522,,Id:M;X:784;Y:158,,,,,,,
19546,,Id:M;X:787;Y:156,,,,,,,
19567,,Id:M;X:792;Y:155,,,,,,,
19642,,Id:M;X:797;Y:152,,,,,,,
19714,,Id:M;X:799;Y:150;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
19817,,Id:M;X:799;Y:150;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
19857,,Id:M;X:799;Y:150,778,108.5,783.934492692015,125.485965536174,19377.8849,19994.5649,616.68
20504,,Id:K;KeyCode:162;Key:LControlKey,,,,,,,
20752,,Id:K;KeyCode:131158;Key:Control V,,,,,,,
21403,,Id:M;X:799;Y:150,,,,,,,
21426,,Id:M;X:804;Y:150,,,,,,,
21569,,Id:M;X:805;Y:150,,,,,,,
21594,,Id:M;X:810;Y:164,,,,,,,
21622,,Id:M;X:820;Y:177,,,,,,,
21642,,Id:M;X:824;Y:186,,,,,,,
21666,,Id:M;X:825;Y:191,,,,,,,
21690,,Id:M;X:826;Y:201,783.5,106,783.453404811803,137.425389086394,20594.5449,22369.6345,1775.0896
21713,,Id:M;X:832;Y:208,,,,,,,
21737,,Id:M;X:854;Y:220,,,,,,,
21761,,Id:M;X:862;Y:223,,,,,,,
21860,,Id:M;X:862;Y:223;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
21929,,Id:M;X:863;Y:223,,,,,,,
21961,,Id:M;X:863;Y:223;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
22489,,Id:M;X:869;Y:223,,,,,,,
22513,,Id:M;X:903;Y:250,,,,,,,
22537,,Id:M;X:892;Y:286,,,,,,,
22565,,Id:M;X:843;Y:311,731,594,734.44022591392,619.48479563772,22452.9353,22586.3001,133.364800000003
23106,,Id:M;X:836;Y:314,,,,,,,
23130,,Id:M;X:822;Y:336,,,,,,,
23154,,Id:M;X:819;Y:347,,,,,,,
23178,,Id:M;X:813;Y:369,,,,,,,
23202,,Id:M;X:808;Y:374,,,,,,,
23228,,Id:M;X:798;Y:375,,,,,,,
23249,,Id:M;X:791;Y:379,293.5,132.5,277.27599636121,137.905617582857,23219.6217,23552.9777,333.356
23274,,Id:M;X:782;Y:395,284,132.5,277.27599636121,137.905617582857,23219.6217,23552.9777,333.356
23298,,Id:M;X:771;Y:426,,,,,,,
23322,,Id:M;X:765;Y:440,,,,,,,
23346,,Id:M;X:764;Y:454,,,,,,,
23370,,Id:M;X:764;Y:469,,,,,,,
23393,,Id:M;X:764;Y:482,,,,,,,
23417,,Id:M;X:764;Y:488,,,,,,,
23442,,Id:M;X:764;Y:491,,,,,,,
