Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
15780,,Id:M;X:966;Y:534,,,,,,,
15805,,Id:M;X:1016;Y:440,,,,,,,
15828,,Id:M;X:1024;Y:350,,,,,,,
15850,,Id:M;X:1019;Y:271,,,,,,,
15872,,Id:M;X:1009;Y:194,,,,,,,
15894,,Id:M;X:1009;Y:145,,,,,,,
15915,,Id:M;X:1006;Y:109,803.5,137,810.215594375318,85.5243725220904,15819.185,16044.1738,224.988799999999
15937,,Id:M;X:1004;Y:73,,,,,,,
15960,,Id:M;X:1002;Y:57,,,,,,,
15982,,Id:M;X:1002;Y:46,792,33,810.215594375318,85.5243725220904,15819.185,16044.1738,224.988799999999
16010,,Id:M;X:1001;Y:41,,,,,,,
16032,,Id:M;X:998;Y:39,813.5,96.5,810.215594375318,85.5243725220904,15819.185,16044.1738,224.988799999999
16054,,Id:M;X:988;Y:39,,,,,,,
16077,,Id:M;X:971;Y:48,,,,,,,
16098,,Id:M;X:954;Y:59,804.5,99,808.451438272789,40.189714267409,16052.5378,16119.1986,66.6607999999997
16120,,Id:M;X:936;Y:70,,,,,,,
16141,,Id:M;X:912;Y:85,,,,,,,
16164,,Id:M;X:889;Y:99,,,,,,,
16186,,Id:M;X:881;Y:105,,,,,,,
16208,,Id:M;X:876;Y:109,,,,,,,
16229,,Id:M;X:875;Y:112,,,,,,,
16251,,Id:M;X:874;Y:113,,,,,,,
16274,,Id:M;X:874;Y:113,,,,,,,
16295,,Id:M;X:873;Y:114,,,,,,,
16332,,Id:M;X:873;Y:115,769.5,85.5,828.153521348913,56.0521948208044,16285.8386,16427.5402,141.7016
16383,,Id:M;X:874;Y:115,,,,,,,
16435,,Id:M;X:874;Y:115,,,,,,,
16463,,Id:M;X:874;Y:116,,,,,,,
16486,,Id:M;X:874;Y:116,,,,,,,
16508,,Id:M;X:874;Y:122,,,,,,,
16543,,Id:M;X:874;Y:125,,,,,,,
16573,,Id:M;X:874;Y:127,886,99,898.277105732129,99.4386008389729,16452.5114,16976.8098,524.298400000003
16602,,Id:M;X:875;Y:128,,,,,,,
16639,,Id:M;X:875;Y:129,,,,,,,
16674,,Id:M;X:876;Y:130,,,,,,,
