Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
1709,,Id:M;X:959;Y:540,,,,,,,
1733,,Id:M;X:908;Y:613,,,,,,,
1757,,Id:M;X:894;Y:708,801.5,448.5,,,,,
1782,,Id:M;X:952;Y:792,804.5,471,,,,,
1806,,Id:M;X:1113;Y:905,,,,,,,
1830,,Id:M;X:1279;Y:986,,,,,,,
1854,,Id:M;X:1366;Y:1022,,,,,,,
1878,,Id:M;X:1441;Y:1046,,,,,,,
1902,,Id:M;X:1521;Y:1082,,,,,,,
1925,,Id:M;X:1631;Y:1101,,,,,,,
1949,,Id:M;X:1739;Y:1104,819,539.5,,,,,
1973,,Id:M;X:1876;Y:1098,,,,,,,
1997,,Id:M;X:1975;Y:1089,,,,,,,
2021,,Id:M;X:1959;Y:1086,,,,,,,
2045,,Id:M;X:1933;Y:1079,,,,,,,
2069,,Id:M;X:1923;Y:1079,,,,,,,
2158,,Id:M;X:1919;Y:1078,,,,,,,
2182,,Id:M;X:1924;Y:1071,224,120,,,,,
2206,,Id:M;X:1924;Y:1062,,,,,,,
3157,,Id:M;X:1921;Y:1062,,,,,,,
3237,,Id:M;X:1920;Y:1061,,,,,,,
3261,,Id:M;X:1919;Y:1059,,,,,,,
3285,,Id:M;X:1909;Y:1050,,,,,,,
3309,,Id:M;X:1895;Y:1034,,,,,,,
3333,,Id:M;X:1871;Y:1009,,,,,,,
3358,,Id:M;X:1830;Y:984,,,,,,,
3382,,Id:M;X:1785;Y:963,1043,473,,,,,
3406,,Id:M;X:1760;Y:952,,,,,,,
3430,,Id:M;X:1752;Y:950,,,,,,,
3462,,Id:M;X:1750;Y:950,,,,,,,
3485,,Id:M;X:1746;Y:947,,,,,,,
3510,,Id:M;X:1730;Y:941,,,,,,,
3534,,Id:M;X:1717;Y:931,,,,,,,
3558,,Id:M;X:1693;Y:924,,,,,,,
3582,,Id:M;X:1681;Y:919,1605,195,,,,,
3605,,Id:M;X:1663;Y:909,,,,,,,
3630,,Id:M;X:1626;Y:881,,,,,,,
3653,,Id:M;X:1564;Y:833,,,,,,,
3677,,Id:M;X:1516;Y:805,,,,,,,
3709,,Id:M;X:1493;Y:794,,,,,,,
3733,,Id:M;X:1466;Y:774,,,,,,,
3758,,Id:M;X:1444;Y:746,,,,,,,
3782,,Id:M;X:1432;Y:734,609,149,,,,,
3806,,Id:M;X:1429;Y:730,,,,,,,
3830,,Id:M;X:1423;Y:717,,,,,,,
3853,,Id:M;X:1417;Y:690,,,,,,,
3877,,Id:M;X:1412;Y:673,,,,,,,
3901,,Id:M;X:1409;Y:651,,,,,,,
3925,,Id:M;X:1409;Y:616,,,,,,,
3953,,Id:M;X:1409;Y:580,,,,,,,
3981,,Id:M;X:1399;Y:553,,,,,,,
4005,,Id:M;X:1398;Y:552,,,,,,,
12362,,Id:M;X:1393;Y:537,,,,,,,
12389,,Id:M;X:1228;Y:338,1059.5,190,1045.00521861916,209.644371366569,12359.8279,12618.1671,258.339199999999
12413,,Id:M;X:1085;Y:185,,,,,,,
12435,,Id:M;X:968;Y:96,,,,,,,
12464,,Id:M;X:838;Y:7,1022,222.5,1045.00521861916,209.644371366569,12359.8279,12618.1671,258.339199999999
12485,,Id:M;X:781;Y:-1,,,,,,,
12509,,Id:M;X:764;Y:-1,,,,,,,
12540,,Id:M;X:760;Y:-1,,,,,,,
12574,,Id:M;X:757;Y:0,,,,,,,
12598,,Id:M;X:758;Y:35,,,,,,,
12631,,Id:M;X:761;Y:92,995.5,213.5,,,,,
12653,,Id:M;X:763;Y:142,,,,,,,
12677,,Id:M;X:771;Y:167,,,,,,,
12710,,Id:M;X:774;Y:173,,,,,,,
12781,,Id:M;X:775;Y:173,840,198.5,853.338527060764,177.809921766419,12651.5007,13018.1471,366.6464
12805,,Id:M;X:775;Y:170,,,,,,,
12845,,Id:M;X:774;Y:169,,,,,,,
12869,,Id:M;X:773;Y:164,,,,,,,
12893,,Id:M;X:773;Y:156,,,,,,,
12917,,Id:M;X:773;Y:151,,,,,,,
12941,,Id:M;X:773;Y:147,,,,,,,
12974,,Id:M;X:773;Y:145,,,,,,,
13133,,Id:M;X:773;Y:145;MouseEvent:WM_RBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
13214,,Id:M;X:773;Y:145;MouseEvent:WM_RBUTTONUP;ScrollDelta:0;Button:0,768.5,94.5,769.587292433751,100.007703529487,13068.1855,13726.5375,658.352000000001
13301,,Id:M;X:773;Y:144,,,,,,,
13325,,Id:M;X:776;Y:145,,,,,,,
13349,,Id:M;X:778;Y:147,,,,,,,
13374,,Id:M;X:783;Y:153,,,,,,,
13395,,Id:M;X:785;Y:156,,,,,,,
13421,,Id:M;X:787;Y:160,,,,,,,
13453,,Id:M;X:788;Y:162,,,,,,,
13477,,Id:M;X:789;Y:163,,,,,,,
13552,,Id:M;X:790;Y:164,,,,,,,
13574,,Id:M;X:793;Y:167,,,,,,,
13598,,Id:M;X:797;Y:170,,,,,,,
13622,,Id:M;X:800;Y:173,751.5,108,769.587292433751,100.007703529487,13068.1855,13726.5375,658.352000000001
13662,,Id:M;X:800;Y:175,,,,,,,
13685,,Id:M;X:802;Y:177,,,,,,,
13710,,Id:M;X:804;Y:179,,,,,,,
13734,,Id:M;X:806;Y:182,,,,,,,
13757,,Id:M;X:807;Y:185,,,,,,,
