Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
10545,,Id:M;X:960;Y:540,,,,,,,
10569,,Id:M;X:966;Y:536,,,,,,,
10601,,Id:M;X:971;Y:535,,,,,,,
10624,,Id:M;X:973;Y:535,,,,,,,
10656,,Id:M;X:976;Y:535,,,,,,,
10681,,Id:M;X:978;Y:537,,,,,,,
10705,,Id:M;X:978;Y:540,,,,,,,
10729,,Id:M;X:978;Y:545,,,,,,,
10753,,Id:M;X:978;Y:547,,,,,,,
10777,,Id:M;X:973;Y:549,963.5,584,971.419232,583.2150689,10464.0858,11730.7802,1266.6944
10801,,Id:M;X:969;Y:550,973,588,971.419232,583.2150689,10464.0858,11730.7802,1266.6944
10824,,Id:M;X:962;Y:554,,,,,,,
10849,,Id:M;X:958;Y:558,,,,,,,
10873,,Id:M;X:955;Y:563,,,,,,,
10897,,Id:M;X:954;Y:567,,,,,,,
10921,,Id:M;X:954;Y:572,,,,,,,
11777,,Id:M;X:952;Y:574,948.5,591,950.5195379,622.8733934,11739.1114,12130.8018,391.6904
11809,,Id:M;X:951;Y:575,,,,,,,
11881,,Id:M;X:951;Y:574,,,,,,,
11905,,Id:M;X:950;Y:578,,,,,,,
11945,,Id:M;X:948;Y:581,,,,,,,
12009,,Id:M;X:949;Y:581,,,,,,,
12035,,Id:M;X:951;Y:580,955.5,621.5,950.5195379,622.8733934,11739.1114,12130.8018,391.6904
12057,,Id:M;X:952;Y:579,,,,,,,
12081,,Id:M;X:954;Y:578,,,,,,,
12121,,Id:M;X:955;Y:578,,,,,,,
12161,,Id:M;X:956;Y:576,,,,,,,
12193,,Id:M;X:958;Y:576,,,,,,,
12266,,Id:M;X:958;Y:574,,,,,,,
12289,,Id:M;X:958;Y:572,,,,,,,
16703,,Id:M;X:973;Y:561,,,,,,,
16725,,Id:M;X:1032;Y:506,,,,,,,
16747,,Id:M;X:1097;Y:394,,,,,,,
16770,,Id:M;X:1135;Y:281,,,,,,,
16790,,Id:M;X:1141;Y:221,,,,,,,
17011,,Id:M;X:1130;Y:209,,,,,,,
17031,,Id:M;X:1071;Y:158,,,,,,,
17054,,Id:M;X:985;Y:93,,,,,,,
17076,,Id:M;X:911;Y:59,,,,,,,
17097,,Id:M;X:875;Y:57,,,,,,,
17316,,Id:M;X:868;Y:71,,,,,,,
17338,,Id:M;X:864;Y:104,,,,,,,
17360,,Id:M;X:864;Y:127,831,171,826.5132106,186.0274356,17297.533,18347.5978,1050.0648
17382,,Id:M;X:864;Y:139,,,,,,,
17411,,Id:M;X:864;Y:141,,,,,,,
17477,,Id:M;X:864;Y:141,834,193.5,826.5132106,186.0274356,17297.533,18347.5978,1050.0648
17514,,Id:M;X:864;Y:140,,,,,,,
17536,,Id:M;X:865;Y:135,,,,,,,
17565,,Id:M;X:865;Y:130,,,,,,,
17587,,Id:M;X:865;Y:125,,,,,,,
17609,,Id:M;X:865;Y:124,,,,,,,
17631,,Id:M;X:865;Y:124,,,,,,,
17652,,Id:M;X:863;Y:124,829,204,826.5132106,186.0274356,17297.533,18347.5978,1050.0648
17681,,Id:M;X:861;Y:124,,,,,,,
17704,,Id:M;X:860;Y:124,,,,,,,
17725,,Id:M;X:859;Y:125,,,,,,,
17748,,Id:M;X:853;Y:128,,,,,,,
17769,,Id:M;X:847;Y:130,,,,,,,
17791,,Id:M;X:845;Y:131,,,,,,,
17821,,Id:M;X:844;Y:132,,,,,,,
17850,,Id:M;X:843;Y:133,,,,,,,
18062,,Id:M;X:843;Y:133;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
18291,,Id:M;X:843;Y:133;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
19283,,Id:K;KeyCode:162;Key:LControlKey,,,,,,,
19790,,Id:K;KeyCode:131234;Key:Control+LControlKey,,,,,,,
19821,,Id:K;KeyCode:131234;Key:Control+LControlKey,,,,,,,
19854,,Id:K;KeyCode:131234;Key:Control+LControlKey,,,,,,,
19884,,Id:K;KeyCode:131234;Key:Control+LControlKey,,,,,,,
19915,,Id:K;KeyCode:131234;Key:Control+LControlKey,,,,,,,
19946,,Id:K;KeyCode:131234;Key:Control+LControlKey,,,,,,,
19977,,Id:K;KeyCode:131234;Key:Control+LControlKey,823,185.5,,,,,
20008,,Id:K;KeyCode:131234;Key:Control+LControlKey,,,,,,,
20039,,Id:K;KeyCode:131158;Key:Control+V,,,,,,,
20720,,Id:M;X:841;Y:148,,,,,,,
20742,,Id:M;X:834;Y:182,,,,,,,
20764,,Id:M;X:832;Y:206,,,,,,,
20786,,Id:M;X:834;Y:225,,,,,,,
20808,,Id:M;X:839;Y:242,,,,,,,
20830,,Id:M;X:840;Y:245,,,,,,,
20851,,Id:M;X:840;Y:246,,,,,,,
20888,,Id:M;X:841;Y:247,,,,,,,
20917,,Id:M;X:842;Y:247,,,,,,,
20939,,Id:M;X:843;Y:247,,,,,,,
20962,,Id:M;X:848;Y:247,,,,,,,
20982,,Id:M;X:850;Y:244,,,,,,,
21005,,Id:M;X:854;Y:241,,,,,,,
21027,,Id:M;X:855;Y:238,812.5,184.5,,,,,
21049,,Id:M;X:855;Y:236,,,,,,,
22072,,Id:M;X:855;Y:235;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
22119,,Id:M;X:855;Y:235;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
84312,,Id:M;X:855;Y:235,,,,,,,
84345,,Id:M;X:855;Y:236,,,,,,,
84377,,Id:M;X:856;Y:237,,,,,,,
84417,,Id:M;X:858;Y:238,,,,,,,
84498,,Id:M;X:859;Y:239,,,,,,,
84521,,Id:M;X:859;Y:240,906.5,310.5,908.93645,319.782927,84433.7378,84575.3994,141.6616
84545,,Id:M;X:859;Y:241,,,,,,,
84569,,Id:M;X:861;Y:242,,,,,,,
84625,,Id:M;X:861;Y:243,,,,,,,
84649,,Id:M;X:861;Y:245,,,,,,,
84673,,Id:M;X:861;Y:249,,,,,,,
84696,,Id:M;X:863;Y:254,980,711,983.6232005,705.4359277,84617.0674,84842.065,224.9976
84721,,Id:M;X:866;Y:261,1000.5,706,983.6232005,705.4359277,84617.0674,84842.065,224.9976
84745,,Id:M;X:866;Y:265,,,,,,,
84776,,Id:M;X:866;Y:268,,,,,,,
84832,,Id:M;X:866;Y:269,,,,,,,
84905,,Id:M;X:863;Y:269,,,,,,,
84929,,Id:M;X:860;Y:271,,,,,,,
84929,,Id:M;X:860;Y:271;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
84937,,Id:M;X:859;Y:271,,,,,,,
84961,,Id:M;X:857;Y:272,,,,,,,
85026,,Id:M;X:857;Y:272;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
85248,,Id:M;X:857;Y:272;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
85882,,Id:M;X:857;Y:272;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
86538,,Id:M;X:857;Y:272;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
87369,,Id:M;X:858;Y:274,,,,,,,
87393,,Id:M;X:868;Y:285,,,,,,,
87417,,Id:M;X:881;Y:295,,,,,,,
87441,,Id:M;X:899;Y:305,,,,,,,
87465,,Id:M;X:916;Y:313,,,,,,,
87489,,Id:M;X:926;Y:317,,,,,,,
87513,,Id:M;X:930;Y:317,783,295.5,,,,,
87688,,Id:M;X:930;Y:317,905,78,,,,,
87712,,Id:M;X:928;Y:312,,,,,,,
87736,,Id:M;X:927;Y:303,,,,,,,
87865,,Id:M;X:926;Y:303,,,,,,,
87905,,Id:M;X:928;Y:303,,,,,,,
87928,,Id:M;X:933;Y:309,,,,,,,
87954,,Id:M;X:934;Y:316,,,,,,,
88009,,Id:M;X:934;Y:316,,,,,,,
88033,,Id:M;X:929;Y:316,,,,,,,
88056,,Id:M;X:924;Y:314,,,,,,,
88081,,Id:M;X:884;Y:310,,,,,,,
88105,,Id:M;X:813;Y:306,,,,,,,
88129,,Id:M;X:755;Y:306,,,,,,,
88153,,Id:M;X:718;Y:306,,,,,,,
88177,,Id:M;X:692;Y:313,,,,,,,
88201,,Id:M;X:672;Y:327,,,,,,,
88225,,Id:M;X:660;Y:338,,,,,,,
88249,,Id:M;X:646;Y:355,,,,,,,
88273,,Id:M;X:632;Y:372,,,,,,,
88297,,Id:M;X:618;Y:387,,,,,,,
88321,,Id:M;X:598;Y:401,,,,,,,
88345,,Id:M;X:586;Y:407,,,,,,,
88369,,Id:M;X:576;Y:412,,,,,,,
88393,,Id:M;X:560;Y:415,,,,,,,
88417,,Id:M;X:542;Y:416,,,,,,,
88440,,Id:M;X:520;Y:416,,,,,,,
88465,,Id:M;X:494;Y:416,,,,,,,
88489,,Id:M;X:473;Y:416,,,,,,,
88513,,Id:M;X:451;Y:416,,,,,,,
88537,,Id:M;X:441;Y:416,,,,,,,
88561,,Id:M;X:429;Y:416,,,,,,,
88584,,Id:M;X:417;Y:416,,,,,,,
88608,,Id:M;X:406;Y:416,,,,,,,
88632,,Id:M;X:396;Y:420,,,,,,,
88657,,Id:M;X:385;Y:426,,,,,,,
88681,,Id:M;X:373;Y:434,,,,,,,
88705,,Id:M;X:362;Y:443,270,390.5,,,,,
88729,,Id:M;X:349;Y:455,,,,,,,
88753,,Id:M;X:338;Y:468,,,,,,,
88777,,Id:M;X:328;Y:479,,,,,,,
88800,,Id:M;X:322;Y:487,,,,,,,
88833,,Id:M;X:319;Y:492,,,,,,,
88857,,Id:M;X:317;Y:495,,,,,,,
88881,,Id:M;X:317;Y:497,,,,,,,
88905,,Id:M;X:318;Y:498,366,582.5,366.8473709,591.0026441,88784.1306,88934.1314,150.0008
88929,,Id:M;X:321;Y:502,,,,,,,
88953,,Id:M;X:331;Y:507,,,,,,,
88976,,Id:M;X:341;Y:513,,,,,,,
89000,,Id:M;X:355;Y:523,,,,,,,
89024,,Id:M;X:370;Y:529,,,,,,,
89049,,Id:M;X:373;Y:529,,,,,,,
89072,,Id:M;X:378;Y:523,533.5,591,516.9400596,577.3612496,88959.1162,89125.8098,166.6936
89400,,Id:M;X:378;Y:520,,,,,,,
89425,,Id:M;X:380;Y:520,,,,,,,
89449,,Id:M;X:382;Y:520,,,,,,,
89473,,Id:M;X:384;Y:520,,,,,,,
89514,,Id:M;X:387;Y:518,,,,,,,
89537,,Id:M;X:390;Y:517,,,,,,,
89561,,Id:M;X:398;Y:517,,,,,,,
89585,,Id:M;X:405;Y:517,,,,,,,
89609,,Id:M;X:410;Y:517,,,,,,,
89633,,Id:M;X:417;Y:517,,,,,,,
89657,,Id:M;X:427;Y:517,,,,,,,
89681,,Id:M;X:444;Y:517,,,,,,,
89704,,Id:M;X:463;Y:520,,,,,,,
89728,,Id:M;X:471;Y:522,,,,,,,
89753,,Id:M;X:484;Y:524,,,,,,,
89776,,Id:M;X:498;Y:525,,,,,,,
89800,,Id:M;X:513;Y:528,,,,,,,
89824,,Id:M;X:524;Y:530,,,,,,,
89849,,Id:M;X:536;Y:532,,,,,,,
89873,,Id:M;X:550;Y:534,,,,,,,
89897,,Id:M;X:566;Y:536,979.5,558.5,981.8389705,557.47517,89759.1418,89992.5042,233.3624
89921,,Id:M;X:582;Y:538,,,,,,,
89944,,Id:M;X:604;Y:542,,,,,,,
89969,,Id:M;X:619;Y:544,,,,,,,
89992,,Id:M;X:636;Y:547,,,,,,,
90017,,Id:M;X:652;Y:548,,,,,,,
90041,,Id:M;X:670;Y:548,,,,,,,
90065,,Id:M;X:684;Y:548,,,,,,,
90089,,Id:M;X:688;Y:548,,,,,,,
90113,,Id:M;X:705;Y:549,1111,557,1100.424708,568.9636068,90059.193,90217.5194,158.3264
90137,,Id:M;X:717;Y:549,,,,,,,
90161,,Id:M;X:728;Y:549,,,,,,,
90185,,Id:M;X:737;Y:549,,,,,,,
90208,,Id:M;X:747;Y:549,,,,,,,
90233,,Id:M;X:760;Y:549,,,,,,,
90257,,Id:M;X:770;Y:551,,,,,,,
90281,,Id:M;X:782;Y:553,,,,,,,
90305,,Id:M;X:793;Y:554,1227.5,576.5,1231.472275,572.2780023,90242.5002,90442.5154,200.0152
90329,,Id:M;X:805;Y:555,,,,,,,
90353,,Id:M;X:817;Y:556,,,,,,,
90377,,Id:M;X:828;Y:556,,,,,,,
90401,,Id:M;X:840;Y:558,,,,,,,
90425,,Id:M;X:855;Y:558,,,,,,,
90449,,Id:M;X:870;Y:561,,,,,,,
90473,,Id:M;X:883;Y:562,,,,,,,
90497,,Id:M;X:896;Y:563,1385.5,538,1386.770141,551.9930673,90484.1954,90684.197,200.0016
90521,,Id:M;X:907;Y:563,,,,,,,
90545,,Id:M;X:916;Y:563,,,,,,,
90568,,Id:M;X:926;Y:563,,,,,,,
90593,,Id:M;X:937;Y:563,,,,,,,
90624,,Id:M;X:941;Y:563,,,,,,,
90648,,Id:M;X:953;Y:563,,,,,,,
90673,,Id:M;X:968;Y:563,,,,,,,
90697,,Id:M;X:985;Y:563,1399.5,545,,,,,
90720,,Id:M;X:999;Y:563,,,,,,,
90744,,Id:M;X:1013;Y:563,,,,,,,
90768,,Id:M;X:1028;Y:563,,,,,,,
90792,,Id:M;X:1035;Y:563,,,,,,,
90818,,Id:M;X:1048;Y:563,,,,,,,
90841,,Id:M;X:1060;Y:563,,,,,,,
90865,,Id:M;X:1070;Y:563,,,,,,,
90888,,Id:M;X:1078;Y:563,1575,544,1556.373669,551.8205427,90717.5274,90934.2074,216.68
90913,,Id:M;X:1084;Y:563,1577.5,565.5,1556.373669,551.8205427,90717.5274,90934.2074,216.68
90937,,Id:M;X:1090;Y:563,,,,,,,
90960,,Id:M;X:1096;Y:563,,,,,,,
90984,,Id:M;X:1100;Y:563,,,,,,,
91009,,Id:M;X:1104;Y:561,,,,,,,
91033,,Id:M;X:1110;Y:561,,,,,,,
91057,,Id:M;X:1117;Y:560,,,,,,,
91081,,Id:M;X:1124;Y:559,,,,,,,
91104,,Id:M;X:1128;Y:558,,,,,,,
91273,,Id:M;X:1129;Y:558,,,,,,,
91296,,Id:M;X:1125;Y:558,,,,,,,
91321,,Id:M;X:1118;Y:557,,,,,,,
91345,,Id:M;X:1106;Y:555,,,,,,,
91369,,Id:M;X:1092;Y:553,,,,,,,
91392,,Id:M;X:1079;Y:552,,,,,,,
91417,,Id:M;X:1066;Y:549,,,,,,,
91440,,Id:M;X:1057;Y:547,,,,,,,
91465,,Id:M;X:1048;Y:547,,,,,,,
91489,,Id:M;X:1036;Y:547,,,,,,,
91512,,Id:M;X:1018;Y:544,,,,,,,
91537,,Id:M;X:1003;Y:543,,,,,,,
91561,,Id:M;X:985;Y:541,,,,,,,
91585,,Id:M;X:969;Y:540,,,,,,,
91608,,Id:M;X:952;Y:540,,,,,,,
91632,,Id:M;X:936;Y:540,,,,,,,
91657,,Id:M;X:919;Y:540,,,,,,,
91680,,Id:M;X:907;Y:540,538.5,606,534.1822881,617.1231449,91617.5554,91850.9042,233.3488
91705,,Id:M;X:892;Y:540,562,631,534.1822881,617.1231449,91617.5554,91850.9042,233.3488
91729,,Id:M;X:878;Y:540,,,,,,,
91753,,Id:M;X:864;Y:540,,,,,,,
91776,,Id:M;X:856;Y:540,,,,,,,
91800,,Id:M;X:839;Y:543,,,,,,,
91824,,Id:M;X:824;Y:545,,,,,,,
91849,,Id:M;X:803;Y:548,,,,,,,
91873,,Id:M;X:780;Y:551,,,,,,,
91896,,Id:M;X:754;Y:555,,,,,,,
91920,,Id:M;X:737;Y:556,,,,,,,
91944,,Id:M;X:721;Y:559,,,,,,,
91969,,Id:M;X:701;Y:563,,,,,,,
91992,,Id:M;X:682;Y:565,,,,,,,
92017,,Id:M;X:660;Y:568,,,,,,,
92040,,Id:M;X:650;Y:569,,,,,,,
92064,,Id:M;X:633;Y:570,,,,,,,
92089,,Id:M;X:613;Y:571,,,,,,,
92113,,Id:M;X:594;Y:573,710,626.5,,,,,
92137,,Id:M;X:585;Y:575,,,,,,,
92161,,Id:M;X:579;Y:576,,,,,,,
92313,,Id:M;X:576;Y:577,762.5,610,748.5972563,623.4985183,92117.5514,92342.5554,225.004
92336,,Id:M;X:583;Y:577,,,,,,,
92361,,Id:M;X:601;Y:577,,,,,,,
92385,,Id:M;X:631;Y:577,,,,,,,
92408,,Id:M;X:670;Y:577,,,,,,,
92432,,Id:M;X:715;Y:577,,,,,,,
92457,,Id:M;X:756;Y:577,,,,,,,
92481,,Id:M;X:793;Y:577,,,,,,,
92504,,Id:M;X:824;Y:577,,,,,,,
92528,,Id:M;X:852;Y:577,,,,,,,
92553,,Id:M;X:874;Y:577,,,,,,,
92576,,Id:M;X:889;Y:577,,,,,,,
92601,,Id:M;X:896;Y:577,,,,,,,
