Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
16,,Id:M;X:956;Y:540,,,,,,,
40,,Id:M;X:887;Y:556,,,,,,,
600,,Id:M;X:885;Y:556,893,531,,,,,
664,,Id:M;X:884;Y:556,,,,,,,
944,,Id:M;X:881;Y:556,,,,,,,
969,,Id:M;X:834;Y:518,,,,,,,
1152,,Id:M;X:834;Y:517,,,,,,,
1176,,Id:M;X:823;Y:507,,,,,,,
1201,,Id:M;X:819;Y:502,,,,,,,
1224,,Id:M;X:818;Y:500,883.5,268.5,882.922187498032,249.381880645472,1120.3986,1295.4434,175.0448
1248,,Id:M;X:815;Y:490,,,,,,,
1275,,Id:M;X:815;Y:487,,,,,,,
1296,,Id:M;X:815;Y:483,,,,,,,
1320,,Id:M;X:815;Y:469,,,,,,,
1344,,Id:M;X:815;Y:446,,,,,,,
1369,,Id:M;X:818;Y:426,,,,,,,
1393,,Id:M;X:831;Y:367,,,,,,,
1417,,Id:M;X:844;Y:331,,,,,,,
1441,,Id:M;X:847;Y:320,265,83.5,277.536080630811,78.7086422552902,1345.4114,1453.7826,108.3712
1465,,Id:M;X:847;Y:315,,,,,,,
1488,,Id:M;X:848;Y:312,,,,,,,
1516,,Id:M;X:848;Y:306,232,47.5,236.399900111414,52.4998943486112,1462.0834,1537.073,74.9895999999999
1537,,Id:M;X:848;Y:301,,,,,,,
1561,,Id:M;X:848;Y:282,,,,,,,
1584,,Id:M;X:845;Y:259,,,,,,,
1608,,Id:M;X:843;Y:241,454,162.5,,,,,
1633,,Id:M;X:843;Y:227,899.5,152.5,,,,,
1657,,Id:M;X:843;Y:205,,,,,,,
1685,,Id:M;X:841;Y:178,,,,,,,
1712,,Id:M;X:837;Y:164,,,,,,,
1738,,Id:M;X:836;Y:160,,,,,,,
1928,,Id:M;X:836;Y:158,,,,,,,
1953,,Id:M;X:834;Y:157,,,,,,,
1977,,Id:M;X:831;Y:151,,,,,,,
2000,,Id:M;X:830;Y:149,825.5,172.5,823.554242885402,143.250687295793,1820.4194,2062.1178,241.6984
2025,,Id:M;X:824;Y:144,893,207.5,823.554242885402,143.250687295793,1820.4194,2062.1178,241.6984
2049,,Id:M;X:821;Y:143,,,,,,,
2073,,Id:M;X:819;Y:140,,,,,,,
2104,,Id:M;X:816;Y:138,,,,,,,
2208,,Id:M;X:816;Y:138;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,828,149.5,821.959480585147,184.199798873079,2195.4666,2470.461,274.994400000001
2305,,Id:M;X:816;Y:138;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
2496,,Id:M;X:816;Y:138;MouseEvent:WM_RBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
2577,,Id:M;X:816;Y:138;MouseEvent:WM_RBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
2842,,Id:M;X:816;Y:138,,,,,,,
2864,,Id:M;X:817;Y:148,,,,,,,
2896,,Id:M;X:824;Y:161,,,,,,,
2921,,Id:M;X:851;Y:188,,,,,,,
2945,,Id:M;X:877;Y:205,,,,,,,
2969,,Id:M;X:889;Y:213,,,,,,,
3000,,Id:M;X:890;Y:217,872.5,229.5,857.652218884278,211.09727038991701,2737.1066,3003.7834,266.6768
3023,,Id:M;X:893;Y:237,,,,,,,
3048,,Id:M;X:896;Y:258,,,,,,,
3072,,Id:M;X:896;Y:262,,,,,,,
3104,,Id:M;X:896;Y:264,,,,,,,
3128,,Id:M;X:896;Y:266,,,,,,,
3153,,Id:M;X:896;Y:274,,,,,,,
3177,,Id:M;X:893;Y:288,,,,,,,
3201,,Id:M;X:891;Y:293,,,,,,,
3225,,Id:M;X:890;Y:295,850.5,259,865.977220911622,255.199007383848,3012.121,3253.829,241.708
3256,,Id:M;X:888;Y:297,,,,,,,
3281,,Id:M;X:884;Y:301,,,,,,,
3304,,Id:M;X:883;Y:302,,,,,,,
3529,,Id:M;X:883;Y:302;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
3593,,Id:M;X:883;Y:302;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
3825,,Id:M;X:883;Y:302,841.5,183,851.11994002929,197.770337512161,3787.1778,4078.8754,291.6976
3848,,Id:M;X:868;Y:298,,,,,,,
4097,,Id:M;X:867;Y:298,,,,,,,
4121,,Id:M;X:861;Y:280,,,,,,,
4144,,Id:M;X:859;Y:261,,,,,,,
4168,,Id:M;X:853;Y:247,,,,,,,
4229,,Id:M;X:853;Y:244,,,,,,,
4257,,Id:M;X:848;Y:226,,,,,,,
4280,,Id:M;X:844;Y:213,,,,,,,
4417,,Id:M;X:842;Y:210,,,,,,,
4720,,Id:M;X:842;Y:210;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
4833,,Id:M;X:842;Y:210;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,815,202.5,815.913449555806,195.383163844304,4603.8642,5137.1826,533.3184
5616,,Id:M;X:842;Y:210,,,,,,,
5640,,Id:M;X:844;Y:212,,,,,,,
5912,,Id:M;X:844;Y:212,,,,,,,
5937,,Id:M;X:845;Y:215,,,,,,,
5965,,Id:M;X:847;Y:218,,,,,,,
5993,,Id:M;X:848;Y:222,,,,,,,
6904,,Id:M;X:849;Y:224,,,,,,,
6928,,Id:M;X:861;Y:248,,,,,,,
6952,,Id:M;X:872;Y:268,,,,,,,
6976,,Id:M;X:875;Y:275,,,,,,,
7000,,Id:M;X:879;Y:286,878,139,870.558226290275,141.487684276104,6953.9418,7137.2658,183.324
7024,,Id:M;X:883;Y:293,,,,,,,
7057,,Id:M;X:883;Y:294,,,,,,,
7078,,Id:M;X:883;Y:298,,,,,,,
7112,,Id:M;X:886;Y:304,,,,,,,
7160,,Id:M;X:887;Y:304,,,,,,,
7433,,Id:M;X:890;Y:304,1114,121.5,1128.51172324278,102.75410556283,7420.601,7745.6418,325.0408
7457,,Id:M;X:901;Y:300,,,,,,,
7482,,Id:M;X:914;Y:297,,,,,,,
7504,,Id:M;X:944;Y:290,,,,,,,
7529,,Id:M;X:965;Y:284,,,,,,,
7553,,Id:M;X:984;Y:277,,,,,,,
7577,,Id:M;X:999;Y:270,,,,,,,
7614,,Id:M;X:1010;Y:266,,,,,,,
7648,,Id:M;X:1030;Y:264,,,,,,,
7672,,Id:M;X:1036;Y:262,,,,,,,
7696,,Id:M;X:1047;Y:258,,,,,,,
7721,,Id:M;X:1061;Y:257,,,,,,,
7744,,Id:M;X:1066;Y:256,,,,,,,
7769,,Id:M;X:1072;Y:253,,,,,,,
7794,,Id:M;X:1077;Y:252,,,,,,,
7817,,Id:M;X:1104;Y:247,1336.5,115.5,1351.30546675977,111.443369511465,7770.6674,7978.9906,208.3232
7841,,Id:M;X:1134;Y:232,1342,137.5,1351.30546675977,111.443369511465,7770.6674,7978.9906,208.3232
7867,,Id:M;X:1146;Y:192,1337.5,127.5,1351.30546675977,111.443369511465,7770.6674,7978.9906,208.3232
26952,,Id:M;X:1147;Y:171;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,541.5,326.5,549.91910685071,326.584299833279,26748.1018,26989.8314,241.729599999999
27761,,Id:M;X:1147;Y:171;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:120;Button:0,1471,52.5,1471.82498094055,75.459030873577,27373.1514,27898.1426,524.9912
30945,,Id:M;X:1147;Y:171;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
36440,,Id:M;X:1147;Y:171;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
53050,,Id:M;X:1147;Y:171;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
55961,,Id:M;X:1147;Y:171;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,647,430,,,,,
58608,,Id:M;X:1147;Y:171;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
63512,,Id:M;X:1147;Y:171;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
69812,,Id:M;X:1147;Y:171;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,599.5,608,607.264705882353,593.764705882353,69741.3386,69883.0098,141.671200000012
78433,,Id:M;X:1147;Y:171;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
80105,,Id:M;X:1147;Y:171;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
81520,,Id:M;X:1148;Y:170,,,,,,,
