Timestamp,SlideEvent,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y,Fixation.Start,Fixation.End,Fixation.Duration
230,,Id:M;X:960;Y:540,,,,,,,
254,,Id:M;X:962;Y:540,1097,550.5,1111.99573193744,542.272819774924,16.6503,299.9927,283.3424
278,,Id:M;X:966;Y:541,,,,,,,
302,,Id:M;X:972;Y:542,,,,,,,
326,,Id:M;X:982;Y:542,,,,,,,
350,,Id:M;X:1002;Y:542,,,,,,,
374,,Id:M;X:1037;Y:533,,,,,,,
470,,Id:M;X:1038;Y:534,,,,,,,
494,,Id:M;X:1033;Y:543,,,,,,,
517,,Id:M;X:1032;Y:543,,,,,,,
541,,Id:M;X:1035;Y:536,,,,,,,
566,,Id:M;X:1046;Y:528,,,,,,,
590,,Id:M;X:1073;Y:514,,,,,,,
613,,Id:M;X:1112;Y:497,,,,,,,
637,,Id:M;X:1176;Y:473,,,,,,,
661,,Id:M;X:1234;Y:451,,,,,,,
685,,Id:M;X:1264;Y:436,,,,,,,
710,,Id:M;X:1283;Y:428,,,,,,,
734,,Id:M;X:1287;Y:426,,,,,,,
758,,Id:M;X:1301;Y:422,,,,,,,
782,,Id:M;X:1320;Y:417,,,,,,,
846,,Id:M;X:1325;Y:416,1044,551,1037,531.735294117647,591.6735,875.0119,283.3384
870,,Id:M;X:1343;Y:416,,,,,,,
894,,Id:M;X:1355;Y:416,,,,,,,
918,,Id:M;X:1380;Y:413,,,,,,,
942,,Id:M;X:1410;Y:404,,,,,,,
966,,Id:M;X:1424;Y:403,,,,,,,
989,,Id:M;X:1440;Y:402,,,,,,,
1014,,Id:M;X:1445;Y:410,,,,,,,
11366,,Id:M;X:1445;Y:412,,,,,,,
11391,,Id:M;X:1402;Y:391,,,,,,,
11414,,Id:M;X:1178;Y:272,839,120,797.705979083608,111.108878091098,10993.1575,11501.4879,508.330399999999
11438,,Id:M;X:916;Y:153,,,,,,,
11462,,Id:M;X:733;Y:85,,,,,,,
11484,,Id:M;X:689;Y:63,,,,,,,
11510,,Id:M;X:684;Y:42,,,,,,,
11534,,Id:M;X:684;Y:14,,,,,,,
11558,,Id:M;X:671;Y:-35,,,,,,,
11585,,Id:M;X:636;Y:-43,,,,,,,
11606,,Id:M;X:613;Y:-29,1004.5,177.5,1004.37096813119,188.139609995901,11534.8191,11876.5111,341.691999999999
11630,,Id:M;X:611;Y:-13,,,,,,,
11822,,Id:M;X:612;Y:-2,992.5,170,1004.37096813119,188.139609995901,11534.8191,11876.5111,341.691999999999
11846,,Id:M;X:634;Y:-14,,,,,,,
11870,,Id:M;X:659;Y:0,,,,,,,
11894,,Id:M;X:693;Y:19,,,,,,,
11918,,Id:M;X:751;Y:76,,,,,,,
11941,,Id:M;X:801;Y:148,,,,,,,
11966,,Id:M;X:816;Y:179,,,,,,,
12207,,Id:M;X:820;Y:184,,,,,,,
12230,,Id:M;X:820;Y:178,,,,,,,
12341,,Id:M;X:821;Y:171,,,,,,,
12366,,Id:M;X:829;Y:153,,,,,,,
12390,,Id:M;X:839;Y:132,,,,,,,
12414,,Id:M;X:844;Y:123,824.5,110,815.891034742994,118.206132156204,12234.8407,13218.2055,983.364799999999
12566,,Id:M;X:848;Y:117,,,,,,,
12591,,Id:M;X:849;Y:117,,,,,,,
12613,,Id:M;X:849;Y:119,,,,,,,
12638,,Id:M;X:851;Y:122,,,,,,,
12662,,Id:M;X:851;Y:123,,,,,,,
12686,,Id:M;X:852;Y:130,,,,,,,
12710,,Id:M;X:852;Y:133,,,,,,,
12742,,Id:M;X:854;Y:134,,,,,,,
12765,,Id:M;X:854;Y:135,,,,,,,
12838,,Id:M;X:854;Y:136,,,,,,,
12950,,Id:M;X:854;Y:136;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
13053,,Id:M;X:854;Y:136;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
15413,,Id:K;KeyCode:88;Key:X,,,,,,,
15826,,Id:K;KeyCode:81;Key:Q,,,,,,,
17939,,Id:K;KeyCode:51;Key:D3,793.5,150,797.541993290134,118.411551994943,15367.8263,19351.2967,3983.4704
18658,,Id:K;KeyCode:57;Key:D9,,,,,,,
19019,,Id:K;KeyCode:55;Key:D7,,,,,,,
19918,,Id:M;X:854;Y:137,,,,,,,
19942,,Id:M;X:854;Y:157,,,,,,,
19965,,Id:M;X:854;Y:168,,,,,,,
19990,,Id:M;X:856;Y:174,,,,,,,
20014,,Id:M;X:858;Y:179,,,,,,,
20038,,Id:M;X:858;Y:180,,,,,,,
20062,,Id:M;X:858;Y:182,,,,,,,
20086,,Id:M;X:864;Y:188,,,,,,,
20116,,Id:M;X:883;Y:195,,,,,,,
20141,,Id:M;X:903;Y:200,,,,,,,
20170,,Id:M;X:920;Y:200,,,,,,,
20198,,Id:M;X:952;Y:196,,,,,,,
20222,,Id:M;X:960;Y:195,913,238.5,,,,,
20245,,Id:M;X:962;Y:195,,,,,,,
20269,,Id:M;X:967;Y:199,,,,,,,
20293,,Id:M;X:968;Y:202,,,,,,,
20326,,Id:M;X:968;Y:205,,,,,,,
20350,,Id:M;X:968;Y:207,,,,,,,
20371,,Id:M;X:967;Y:209,,,,,,,
20406,,Id:M;X:966;Y:212,909,178,900.142302862816,195.35016725279,20226.3655,20426.3487,199.983199999999
20430,,Id:M;X:965;Y:217,898.5,200.5,,,,,
20454,,Id:M;X:964;Y:221,,,,,,,
20478,,Id:M;X:962;Y:224,,,,,,,
20501,,Id:M;X:957;Y:232,,,,,,,
20525,,Id:M;X:950;Y:246,,,,,,,
20550,,Id:M;X:950;Y:249,,,,,,,
20770,,Id:M;X:950;Y:249;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,,,,,,,
20854,,Id:M;X:950;Y:249;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,,,,,,,
21005,,Id:M;X:950;Y:249,,,,,,,
21026,,Id:M;X:950;Y:250,,,,,,,
21093,,Id:M;X:947;Y:253,,,,,,,
21182,,Id:M;X:946;Y:254,,,,,,,
21206,,Id:M;X:942;Y:260,1049,178.5,1048.78430443417,193.374519623887,20468.0223,21259.7151,791.692800000001
21230,,Id:M;X:940;Y:264,1032,207.5,1048.78430443417,193.374519623887,20468.0223,21259.7151,791.692800000001
21259,,Id:M;X:939;Y:266,,,,,,,
21286,,Id:M;X:937;Y:274,,,,,,,
21323,,Id:M;X:937;Y:281,,,,,,,
21349,,Id:M;X:958;Y:291,,,,,,,
21373,,Id:M;X:975;Y:300,,,,,,,
21397,,Id:M;X:993;Y:311,502,255,534.681797910726,247.967236588354,21318.0199,21484.7119,166.692000000003
21422,,Id:M;X:1022;Y:322,540,235,534.681797910726,247.967236588354,21318.0199,21484.7119,166.692000000003
21457,,Id:M;X:1059;Y:338,,,,,,,
21477,,Id:M;X:1100;Y:370,,,,,,,
21501,,Id:M;X:1114;Y:399,,,,,,,
21537,,Id:M;X:1129;Y:423,,,,,,,
21558,,Id:M;X:1134;Y:445,,,,,,,
21581,,Id:M;X:1132;Y:456,,,,,,,
21602,,Id:M;X:1132;Y:460,,,,,,,
21638,,Id:M;X:1131;Y:467,,,,,,,
21668,,Id:M;X:1129;Y:469,,,,,,,
93942,,Id:M;X:1126;Y:471,777.5,645,770.306467211657,669.133096834296,93604.5407,94054.5687,450.028000000006
94006,,Id:M;X:1128;Y:459,,,,,,,
94030,,Id:M;X:1125;Y:460,,,,,,,
94102,,Id:M;X:1124;Y:460,,,,,,,
94126,,Id:M;X:1121;Y:461,,,,,,,
94155,,Id:M;X:1118;Y:463,,,,,,,
94182,,Id:M;X:1101;Y:470,,,,,,,
94206,,Id:M;X:1097;Y:471,,,,,,,
94302,,Id:M;X:1097;Y:471;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
94420,,Id:M;X:1097;Y:471,,,,,,,
94422,,Id:M;X:1097;Y:471;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
94446,,Id:M;X:1096;Y:472,,,,,,,
94470,,Id:M;X:1095;Y:473,,,,,,,
94494,,Id:M;X:1094;Y:476,,,,,,,
94518,,Id:M;X:1094;Y:477,,,,,,,
94526,,Id:M;X:1094;Y:477;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
94739,,Id:M;X:1094;Y:478,,,,,,,
94766,,Id:M;X:1098;Y:478,,,,,,,
94830,,Id:M;X:1101;Y:478,,,,,,,
94862,,Id:M;X:1104;Y:477,,,,,,,
94886,,Id:M;X:1111;Y:473,,,,,,,
94910,,Id:M;X:1124;Y:468,819.5,303.5,815.25348833188,325.229722263787,94722.6559,95064.3303,341.674400000004
94935,,Id:M;X:1145;Y:464,813.5,314.5,815.25348833188,325.229722263787,94722.6559,95064.3303,341.674400000004
94958,,Id:M;X:1172;Y:461,,,,,,,
94982,,Id:M;X:1197;Y:456,,,,,,,
95005,,Id:M;X:1213;Y:456,,,,,,,
95030,,Id:M;X:1222;Y:456,,,,,,,
95054,,Id:M;X:1224;Y:456,,,,,,,
95085,,Id:M;X:1228;Y:456,956.5,312.5,940.408192102729,325.457387503018,95081.0287,95181.0039,99.9752000000008
95120,,Id:M;X:1229;Y:458,,,,,,,
95126,,Id:M;X:1229;Y:458;MouseEvent:WM_MOUSEWHEEL;ScrollDelta:-120;Button:0,,,,,,,
95222,,Id:M;X:1230;Y:458,,,,,,,
95246,,Id:M;X:1234;Y:458,,,,,,,
95270,,Id:M;X:1235;Y:458,,,,,,,
95301,,Id:M;X:1237;Y:457,,,,,,,
96901,,Id:M;X:1238;Y:456,,,,,,,
96932,,Id:M;X:1237;Y:439,,,,,,,
96958,,Id:M;X:1234;Y:409,,,,,,,
96982,,Id:M;X:1232;Y:399,,,,,,,
97006,,Id:M;X:1227;Y:389,,,,,,,
97030,,Id:M;X:1220;Y:373,,,,,,,
97053,,Id:M;X:1216;Y:365,,,,,,,
97077,,Id:M;X:1209;Y:358,928,225,955.722694654563,240.811227672958,96947.7175,97389.4039,441.686400000006
97101,,Id:M;X:1199;Y:347,,,,,,,
97130,,Id:M;X:1191;Y:342,,,,,,,
97158,,Id:M;X:1174;Y:334,,,,,,,
97192,,Id:M;X:1151;Y:328,,,,,,,
97214,,Id:M;X:1103;Y:320,,,,,,,
97251,,Id:M;X:1056;Y:314,,,,,,,
97278,,Id:M;X:973;Y:297,,,,,,,
97302,,Id:M;X:941;Y:287,935,245.5,955.722694654563,240.811227672958,96947.7175,97389.4039,441.686400000006
97326,,Id:M;X:920;Y:281,,,,,,,
97350,,Id:M;X:907;Y:277,,,,,,,
97598,,Id:M;X:907;Y:276,,,,,,,
97621,,Id:M;X:910;Y:276,,,,,,,
97645,,Id:M;X:923;Y:276,,,,,,,
97669,,Id:M;X:952;Y:279,,,,,,,
97697,,Id:M;X:1001;Y:285,,,,,,,
97718,,Id:M;X:1058;Y:294,1126,240,1131.17635815123,237.67628226432,97406.0895,97814.4047,408.315199999997
97742,,Id:M;X:1107;Y:304,,,,,,,
97766,,Id:M;X:1143;Y:309,,,,,,,
97790,,Id:M;X:1178;Y:314,,,,,,,
97813,,Id:M;X:1203;Y:317,,,,,,,
97837,,Id:M;X:1212;Y:319,,,,,,,
97862,,Id:M;X:1216;Y:319,,,,,,,
98798,,Id:M;X:1218;Y:319,,,,,,,
98821,,Id:M;X:1220;Y:319,,,,,,,
98845,,Id:M;X:1222;Y:317,,,,,,,
98870,,Id:M;X:1222;Y:316,,,,,,,
98901,,Id:M;X:1223;Y:316,,,,,,,
98926,,Id:M;X:1223;Y:315,,,,,,,
98958,,Id:M;X:1227;Y:312,,,,,,,
98983,,Id:M;X:1232;Y:309,,,,,,,
99006,,Id:M;X:1238;Y:308,,,,,,,
